排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,資優班/特色班,課程方向,實習／專題,校車／專車資訊,通勤資訊,住宿資訊,Google地圖,課程資料來源,實習專題資料來源,校車／專車資料來源,通勤資料來源,住宿資料來源,地址資料來源,生活資料來源,資料更新日期
,050314,國立卓蘭高級中等學校,公立,中投區免試入學日間部,綜高,不限,苗栗縣,卓蘭鎮,369002 苗栗縣卓蘭鎮老庄里161號,https://www.jlsh.mlc.edu.tw,04-25892007#204,普通科:93(不限);商業經營科:25(不限);國際貿易科:25(不限);資料處理科:25(不限);電子商務科:25(不限);應用英語科:25(不限);幼兒保育科:51(不限),269,269,"普通科特色班曾規劃科學創思班、卓越人文班、文創閱讀班;各職業類科另依科本位課程發展,實際開班依當年度公告。",國立卓蘭高級中等學校同時提供普通／綜合高中學習與商業經營科、國際貿易科、資料處理科、電子商務科、應用英語科等專業方向；一般課程搭配校訂必修、多元選修與探究實作，專業類科則發展資電與工程、商管與數位應用、家政與照護、外語應用實務能力。,國立卓蘭高級中等學校普通／綜合高中端以自然科與社會領域探究、自主學習成果為主；專業類科另安排資電與工程、商管與數位應用、家政與照護、外語應用實習與專題實作，形成研究與技能並行的實作學習。,國立卓蘭高級中等學校的固定校車／學生專車服務目前沒有足以確認適用對象與路線的校方制度資訊。,可由臺鐵豐原站前轉乘 208 路公車往卓蘭方向，抵達卓蘭市區後再銜接老庄校址周邊站點到校。,學校設有學生宿舍，住宿依校方宿舍管理與申請制度辦理。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%8D%93%E8%98%AD%E9%AB%98%E7%B4%9A%E4%B8%AD%E7%AD%89%E5%AD%B8%E6%A0%A1%20369002%20%E8%8B%97%E6%A0%97%E7%B8%A3%E5%8D%93%E8%98%AD%E9%8E%AE%E8%80%81%E5%BA%84%E9%87%8C161%E8%99%9F,https://www.jlsh.mlc.edu.tw,https://www.jlsh.mlc.edu.tw,https://www.jlsh.mlc.edu.tw,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%8D%93%E8%98%AD%E9%AB%98%E7%B4%9A%E4%B8%AD%E7%AD%89%E5%AD%B8%E6%A0%A1%20369002%20%E8%8B%97%E6%A0%97%E7%B8%A3%E5%8D%93%E8%98%AD%E9%8E%AE%E8%80%81%E5%BA%84%E9%87%8C161%E8%99%9F,https://www.jlsh.mlc.edu.tw/p/403-1012-827-1.php,https://www.jlsh.mlc.edu.tw,https://www.jlsh.mlc.edu.tw,2026-09-07
,050315,國立苑裡高級中學,公立,中投區免試入學日間部,高中,不限,苗栗縣,苑裡鎮,苗栗縣苑裡鎮育才街100號,https://www.ylsh.mlc.edu.tw,037-868680#202,普通科:190(不限),190,190,"美術班;課程計畫另列普通班與實驗班課程地圖,實際甄選與編班依當年度公告。",國立苑裡高級中學普通高中課程以語文、數理、社會、自然與科技領域為基礎，搭配校訂必修、多元選修、探究與實作及自主學習，讓學生依升學與興趣規劃加深加廣學習。,國立苑裡高級中學的實作學習以自然科探究與實作、社會議題探究、校訂課程及自主學習成果為主，學生可透過實驗、研究報告、作品或成果發表完成學習成果。,國立苑裡高級中學的固定校車／學生專車服務目前沒有足以確認適用對象與路線的校方制度資訊。,可搭臺鐵至苑裡站，出站後步行約 900 公尺至學校；公車 97、616、662、839 可於「國立苑裡高中」站下車。,學校設有學生宿舍，住宿採申請方式辦理，校方並提供住宿規定與生活管理資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E8%8B%91%E8%A3%A1%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20%E8%8B%97%E6%A0%97%E7%B8%A3%E8%8B%91%E8%A3%A1%E9%8E%AE%E8%82%B2%E6%89%8D%E8%A1%97100%E8%99%9F,https://www.ylsh.mlc.edu.tw/office/div_200/108course/%E8%AA%B2%E7%A8%8B%E8%A8%88%E7%95%AB%E6%9B%B8/,https://www.ylsh.mlc.edu.tw/office/div_200/108course/%E8%AA%B2%E7%A8%8B%E8%A8%88%E7%95%AB%E6%9B%B8/,https://www.ylsh.mlc.edu.tw,https://www.ylsh.mlc.edu.tw/about/%E4%BA%A4%E9%80%9A%E8%B7%AF%E7%B7%9A/,https://www.ylsh.mlc.edu.tw/freshman/%E4%BD%8F%E5%AE%BF%E8%A6%8F%E5%AE%9A/,https://www.ylsh.mlc.edu.tw,https://www.ylsh.mlc.edu.tw,2026-09-07
,050401,國立大湖高級農工職業學校,公立,中投區免試入學日間部,高職,不限,苗栗縣,大湖鄉,苗栗縣大湖鄉大寮村竹高屋68號,https://www.thvs.mlc.edu.tw,037-992216#403,園藝科(產特):4(不限);食品加工科:4(不限);機械科:4(不限);電機科:4(不限);室內空間設計科:4(不限),20,20,"園藝科為產業特殊需求類科;另設實用技能學程與綜合職能科,實際招生科班依年度簡章。",國立大湖高級農工職業學校依園藝科、食品加工科、機械科、電機科、室內空間設計科規劃專業課程，學習涵蓋農業與食品、機械與製造、資電與工程、建築與空間，並配置專業科目、實習科目、技能應用與專題實作。,國立大湖高級農工職業學校各專業科別安排實習操作與專題實作，內容對應農業與食品、機械與製造、資電與工程、建築與空間，並結合設備操作、技能訓練、作品製作或成果發表。,有交通車。115學年度第1學期校方公布學生交通車搭乘名單、路線與時間表，包含竹南造橋線等路線，學生依分配車次與站別搭乘。,可由苗栗車站轉乘往大湖方向客運至大湖市區，再銜接大寮方向公車至竹高屋校址周邊後步行到校。,學校設有學生宿舍。115學年度第1學期已公布住宿寢室名單與入住須知。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%A4%A7%E6%B9%96%E9%AB%98%E7%B4%9A%E8%BE%B2%E5%B7%A5%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1%20%E8%8B%97%E6%A0%97%E7%B8%A3%E5%A4%A7%E6%B9%96%E9%84%89%E5%A4%A7%E5%AF%AE%E6%9D%91%E7%AB%B9%E9%AB%98%E5%B1%8B68%E8%99%9F,https://www.thvs.mlc.edu.tw/%E8%A1%8C%E6%94%BF%E5%96%AE%E4%BD%8D/%E6%95%99%E5%8B%99%E8%99%95/%E6%95%99%E5%8B%99%E8%99%95-%E7%B8%BD%E9%AB%94%E8%AA%B2%E7%A8%8B%E8%A8%88%E7%95%AB%E6%9B%B8%E5%8F%8A%E5%AD%B8%E7%94%9F%E9%81%B8%E8%AA%B2%E6%89%8B%E5%86%8A/,https://www.thvs.mlc.edu.tw/%E8%A1%8C%E6%94%BF%E5%96%AE%E4%BD%8D/%E5%AF%A6%E7%BF%92%E8%99%95/,https://www.thvs.mlc.edu.tw/2026/08/24/%E3%80%90%E5%85%AC%E5%91%8A%E3%80%91115%E5%AD%B8%E5%B9%B4%E5%BA%A6%E7%AC%AC1%E5%AD%B8%E6%9C%9F%E4%BA%A4%E9%80%9A%E8%BB%8A%E8%B7%AF%E7%B7%9A%E5%8F%8A%E6%99%82%E5%88%BB%E8%A1%A8/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%A4%A7%E6%B9%96%E9%AB%98%E7%B4%9A%E8%BE%B2%E5%B7%A5%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1%20%E8%8B%97%E6%A0%97%E7%B8%A3%E5%A4%A7%E6%B9%96%E9%84%89%E5%A4%A7%E5%AF%AE%E6%9D%91%E7%AB%B9%E9%AB%98%E5%B1%8B68%E8%99%9F,https://www.thvs.mlc.edu.tw/2026/08/24/%E3%80%90%E5%85%AC%E5%91%8A%E3%80%91115%E5%AD%B8%E5%B9%B4%E5%BA%A6%E7%AC%AC1%E5%AD%B8%E6%9C%9F-%E5%AE%BF%E8%88%8D%E5%AF%A2%E5%AE%A4%E5%90%8D%E5%96%AE%E5%8F%8A%E5%85%A5%E4%BD%8F%E9%A0%88%E7%9F%A5/,https://www.thvs.mlc.edu.tw,https://www.thvs.mlc.edu.tw,2026-09-07
,050B14,國立卓蘭高級中等學校進修部,公立,中投區免試入學進修部,進修部,不限,苗栗縣,卓蘭鎮,369002 苗栗縣卓蘭鎮老庄里161號,https://www.jlsh.mlc.edu.tw,04-25895645,資料處理科(夜間班):20(不限),20,20,"普通科特色班曾規劃科學創思班、卓越人文班、文創閱讀班;各職業類科另依科本位課程發展,實際開班依當年度公告。",國立卓蘭高級中等學校進修部以資料處理科為主要學習科別，課程兼顧一般科目與商管與數位應用專業核心，並依進修學制安排實務與技能應用課程。,國立卓蘭高級中等學校進修部的實作學習依資料處理科配置專業實習與專題實作，重點放在商管與數位應用技能操作、作品製作與成果呈現。,國立卓蘭高級中等學校進修部的固定校車／學生專車服務目前沒有足以確認適用對象與路線的校方制度資訊。,可由臺鐵豐原站前轉乘 208 路公車往卓蘭方向，抵達卓蘭市區後再銜接老庄校址周邊站點到校。,國立卓蘭高級中等學校進修部的一般招生學生住宿制度目前沒有足以確認適用對象與申請方式的校方制度資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%8D%93%E8%98%AD%E9%AB%98%E7%B4%9A%E4%B8%AD%E7%AD%89%E5%AD%B8%E6%A0%A1%E9%80%B2%E4%BF%AE%E9%83%A8%20369002%20%E8%8B%97%E6%A0%97%E7%B8%A3%E5%8D%93%E8%98%AD%E9%8E%AE%E8%80%81%E5%BA%84%E9%87%8C161%E8%99%9F,https://www.jlsh.mlc.edu.tw/p/406-1012-186131%2Cr474.php,https://www.jlsh.mlc.edu.tw/p/406-1012-186131%2Cr474.php,https://www.jlsh.mlc.edu.tw,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%8D%93%E8%98%AD%E9%AB%98%E7%B4%9A%E4%B8%AD%E7%AD%89%E5%AD%B8%E6%A0%A1%E9%80%B2%E4%BF%AE%E9%83%A8%20369002%20%E8%8B%97%E6%A0%97%E7%B8%A3%E5%8D%93%E8%98%AD%E9%8E%AE%E8%80%81%E5%BA%84%E9%87%8C161%E8%99%9F,https://www.jlsh.mlc.edu.tw,https://www.jlsh.mlc.edu.tw,https://www.jlsh.mlc.edu.tw,2026-09-07
,051307,全人學校財團法人苗栗縣全人實驗高級中等學校,私立,中投區免試入學日間部,高中,不限,苗栗縣,卓蘭鎮,苗栗縣卓蘭鎮內灣里內灣141-3號,https://holistic.org.tw,04-25896909、25896910,普通科:5(不限),5,5,"實驗教育學校,不以傳統資優班分流;以民主教育、專題式學習、追夢計畫與畢業專題為主要特色。",課程採實驗教育取向，以民主教育、專題式學習、追夢計畫與跨領域自主探索為核心，學生透過共同課程與個人學習計畫發展興趣與能力。,以專題式學習為核心，學生可進行追夢計畫、跨領域專題與畢業專題，並以作品、報告或公開成果展現學習歷程。,全人學校財團法人苗栗縣全人實驗高級中等學校的固定校車／學生專車服務目前沒有足以確認適用對象與路線的校方制度資訊。,可由臺鐵豐原站轉乘往東勢、卓蘭方向公車抵達卓蘭，再銜接內灣方向在地交通前往內灣校址。,全人學校財團法人苗栗縣全人實驗高級中等學校的一般招生學生住宿制度目前沒有足以確認適用對象與申請方式的校方制度資訊。,https://www.google.com/maps/search/?api=1&query=%E5%85%A8%E4%BA%BA%E5%AD%B8%E6%A0%A1%E8%B2%A1%E5%9C%98%E6%B3%95%E4%BA%BA%E8%8B%97%E6%A0%97%E7%B8%A3%E5%85%A8%E4%BA%BA%E5%AF%A6%E9%A9%97%E9%AB%98%E7%B4%9A%E4%B8%AD%E7%AD%89%E5%AD%B8%E6%A0%A1%20%E8%8B%97%E6%A0%97%E7%B8%A3%E5%8D%93%E8%98%AD%E9%8E%AE%E5%85%A7%E7%81%A3%E9%87%8C%E5%85%A7%E7%81%A3141-3%E8%99%9F,https://holistic.org.tw,https://holistic.org.tw,https://holistic.org.tw,https://www.google.com/maps/search/?api=1&query=%E5%85%A8%E4%BA%BA%E5%AD%B8%E6%A0%A1%E8%B2%A1%E5%9C%98%E6%B3%95%E4%BA%BA%E8%8B%97%E6%A0%97%E7%B8%A3%E5%85%A8%E4%BA%BA%E5%AF%A6%E9%A9%97%E9%AB%98%E7%B4%9A%E4%B8%AD%E7%AD%89%E5%AD%B8%E6%A0%A1%20%E8%8B%97%E6%A0%97%E7%B8%A3%E5%8D%93%E8%98%AD%E9%8E%AE%E5%85%A7%E7%81%A3%E9%87%8C%E5%85%A7%E7%81%A3141-3%E8%99%9F,https://holistic.org.tw,https://holistic.org.tw,https://holistic.org.tw,2026-09-07
,051413,苗栗縣私立龍德家事商業職業學校,私立,中投區免試入學日間部,高職,不限,苗栗縣,苑裡鎮,苗栗縣苑裡鎮房裡里南房75之1號,http://www.ldvs.mlc.edu.tw,037-851277#121、122,家具木工科(產特):15(不限),15,15,家具木工科為產業特殊需求類科;校方官網未標示另設資優班。,苗栗縣私立龍德家事商業職業學校依家具木工科規劃專業課程，學習涵蓋建築與空間，並配置專業科目、實習科目、技能應用與專題實作。,苗栗縣私立龍德家事商業職業學校各專業科別安排實習操作與專題實作，內容對應建築與空間，並結合設備操作、技能訓練、作品製作或成果發表。,苗栗縣私立龍德家事商業職業學校的固定校車／學生專車服務目前沒有足以確認適用對象與路線的校方制度資訊。,可搭 97、181 或 616 路公車，在「龍德家商」站下車後步行進入校園。,苗栗縣私立龍德家事商業職業學校的一般招生學生住宿制度目前沒有足以確認適用對象與申請方式的校方制度資訊。,https://www.google.com/maps/search/?api=1&query=%E8%8B%97%E6%A0%97%E7%B8%A3%E7%A7%81%E7%AB%8B%E9%BE%8D%E5%BE%B7%E5%AE%B6%E4%BA%8B%E5%95%86%E6%A5%AD%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1%20%E8%8B%97%E6%A0%97%E7%B8%A3%E8%8B%91%E8%A3%A1%E9%8E%AE%E6%88%BF%E8%A3%A1%E9%87%8C%E5%8D%97%E6%88%BF75%E4%B9%8B1%E8%99%9F,http://www.ldvs.mlc.edu.tw,http://www.ldvs.mlc.edu.tw,http://www.ldvs.mlc.edu.tw,https://citybus-free.taichung.gov.tw/driving-map?route=181,http://www.ldvs.mlc.edu.tw,http://www.ldvs.mlc.edu.tw,http://www.ldvs.mlc.edu.tw,2026-09-07
,054308,苗栗縣立三義高級中學,公立,中投區免試入學日間部,綜高,不限,苗栗縣,三義鄉,苗栗縣三義鄉廣盛村11鄰122號,https://sjh.mlc.edu.tw,037-872015#201,普通科:5(不限);餐飲管理科:5(不限);多媒體設計科:9(不限),19,19,"普通科、餐飲管理科、多媒體設計科並設;校方另有高中課程計畫,固定特色班依當年度公告。",苗栗縣立三義高級中學同時提供普通／綜合高中學習與餐飲管理科、多媒體設計科等專業方向；一般課程搭配校訂必修、多元選修與探究實作，專業類科則發展餐旅與服務、設計與藝術實務能力。,苗栗縣立三義高級中學普通／綜合高中端以自然科與社會領域探究、自主學習成果為主；專業類科另安排餐旅與服務、設計與藝術實習與專題實作，形成研究與技能並行的實作學習。,苗栗縣立三義高級中學的固定校車／學生專車服務目前沒有足以確認適用對象與路線的校方制度資訊。,可搭臺鐵至三義站，再轉乘往三義市區方向客運，在廣盛村校址周邊站點下車後步行到校。,苗栗縣立三義高級中學的一般招生學生住宿制度目前沒有足以確認適用對象與申請方式的校方制度資訊。,https://www.google.com/maps/search/?api=1&query=%E8%8B%97%E6%A0%97%E7%B8%A3%E7%AB%8B%E4%B8%89%E7%BE%A9%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20%E8%8B%97%E6%A0%97%E7%B8%A3%E4%B8%89%E7%BE%A9%E9%84%89%E5%BB%A3%E7%9B%9B%E6%9D%9111%E9%84%B0122%E8%99%9F,https://sjh.mlc.edu.tw,https://sjh.mlc.edu.tw,https://sjh.mlc.edu.tw,https://www.google.com/maps/search/?api=1&query=%E8%8B%97%E6%A0%97%E7%B8%A3%E7%AB%8B%E4%B8%89%E7%BE%A9%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20%E8%8B%97%E6%A0%97%E7%B8%A3%E4%B8%89%E7%BE%A9%E9%84%89%E5%BB%A3%E7%9B%9B%E6%9D%9111%E9%84%B0122%E8%99%9F,https://sjh.mlc.edu.tw,https://sjh.mlc.edu.tw,https://sjh.mlc.edu.tw,2026-09-07
,054309,苗栗縣立苑裡高級中學,公立,中投區免試入學日間部,綜高,不限,苗栗縣,苑裡鎮,35862 苗栗縣苑裡鎮客庄里新興路19號,https://yljh.mlc.edu.tw,037-857042#213,普通科:57(不限);商業經營科:13(不限);廣告設計科:13(不限),83,83,"高中部設體育班,並推動數理實驗課程班;普通科、商業經營科、廣告設計科多軌發展。",苗栗縣立苑裡高級中學同時提供普通／綜合高中學習與商業經營科、廣告設計科等專業方向；一般課程搭配校訂必修、多元選修與探究實作，專業類科則發展商管與數位應用、設計與藝術實務能力。,苗栗縣立苑裡高級中學普通／綜合高中端以自然科與社會領域探究、自主學習成果為主；專業類科另安排商管與數位應用、設計與藝術實習與專題實作，形成研究與技能並行的實作學習。,苗栗縣立苑裡高級中學的固定校車／學生專車服務目前沒有足以確認適用對象與路線的校方制度資訊。,可搭臺鐵至苑裡站，再由車站步行或短程接駁至新興路高中校區；苑裡市區公車可在車站周邊轉乘。,苗栗縣立苑裡高級中學的一般招生學生住宿制度目前沒有足以確認適用對象與申請方式的校方制度資訊。,https://www.google.com/maps/search/?api=1&query=%E8%8B%97%E6%A0%97%E7%B8%A3%E7%AB%8B%E8%8B%91%E8%A3%A1%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%2035862%20%E8%8B%97%E6%A0%97%E7%B8%A3%E8%8B%91%E8%A3%A1%E9%8E%AE%E5%AE%A2%E5%BA%84%E9%87%8C%E6%96%B0%E8%88%88%E8%B7%AF19%E8%99%9F,https://yljh.mlc.edu.tw/WebLink/Page.php?ID=42,https://yljh.mlc.edu.tw/WebLink/Page.php?ID=42,https://yljh.mlc.edu.tw,https://www.google.com/maps/search/?api=1&query=%E8%8B%97%E6%A0%97%E7%B8%A3%E7%AB%8B%E8%8B%91%E8%A3%A1%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%2035862%20%E8%8B%97%E6%A0%97%E7%B8%A3%E8%8B%91%E8%A3%A1%E9%8E%AE%E5%AE%A2%E5%BA%84%E9%87%8C%E6%96%B0%E8%88%88%E8%B7%AF19%E8%99%9F,https://yljh.mlc.edu.tw,https://yljh.mlc.edu.tw,https://yljh.mlc.edu.tw,2026-09-07
,060322,國立中興大學附屬高級中學,公立,中投區免試入學日間部,高中,不限,臺中市,大里區,臺中市大里區東榮路369號,https://www.dali.tc.edu.tw,04-24875199#321,普通科:454(不限),454,454,數理資優班、創意科學實驗班;新生特色班級依校方當年度遴選公告辦理。,普通型課程兼顧語文、人文社會、數理自然與科技領域，並發展數理資優、創意科學實驗、校訂必修、專題研究與多元選修。,自然科探究與實作、校訂必修及特色課程可延伸為科學研究與專題發表，學生可透過實驗、研究報告與成果展示累積研究經驗。,國立中興大學附屬高級中學的固定校車／學生專車服務目前沒有足以確認適用對象與路線的校方制度資訊。,可由臺中車站轉乘往大里方向市區公車，在東榮路、國光路一帶下車後步行至學校；由大慶站亦可轉乘大里方向公車。,國立中興大學附屬高級中學的一般招生學生住宿制度目前沒有足以確認適用對象與申請方式的校方制度資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E9%99%84%E5%B1%AC%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20%E8%87%BA%E4%B8%AD%E5%B8%82%E5%A4%A7%E9%87%8C%E5%8D%80%E6%9D%B1%E6%A6%AE%E8%B7%AF369%E8%99%9F,https://www.dali.tc.edu.tw/resource/openfid.php?id=2938,https://www.dali.tc.edu.tw/resource/openfid.php?id=2938,https://www.dali.tc.edu.tw,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E9%99%84%E5%B1%AC%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20%E8%87%BA%E4%B8%AD%E5%B8%82%E5%A4%A7%E9%87%8C%E5%8D%80%E6%9D%B1%E6%A6%AE%E8%B7%AF369%E8%99%9F,https://www.dali.tc.edu.tw,https://www.dali.tc.edu.tw,https://www.dali.tc.edu.tw,2026-09-07
,060323,國立中科實驗高級中學,公立,中投區免試入學日間部,高中,不限,臺中市,大雅區,臺中市大雅區平和路227號,https://www.nehs.tc.edu.tw,04-25686850#1220,普通科:76(不限),76,76,高中部設數理實驗班;課程以專題研究、小論文、科展與PBL成果發表為特色。,高中課程強調數理與科學探究，設數理實驗班，並透過專題研究、小論文、科展、PBL與多元選修培養研究與問題解決能力。,實作重點包含專題研究、小論文、科展與PBL，學生需進行問題設定、資料蒐集、實驗或設計，並完成成果發表。,國立中科實驗高級中學的固定校車／學生專車服務目前沒有足以確認適用對象與路線的校方制度資訊。,可搭 45延或 45延1 路公車，在「中科實驗高中（平和路）」站下車後步行到校。,國立中科實驗高級中學的一般招生學生住宿制度目前沒有足以確認適用對象與申請方式的校方制度資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E7%A7%91%E5%AF%A6%E9%A9%97%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20%E8%87%BA%E4%B8%AD%E5%B8%82%E5%A4%A7%E9%9B%85%E5%8D%80%E5%B9%B3%E5%92%8C%E8%B7%AF227%E8%99%9F,https://www.nehs.tc.edu.tw,https://www.nehs.tc.edu.tw,https://www.nehs.tc.edu.tw,https://citybus-free.taichung.gov.tw/driving-map?route=451,https://www.nehs.tc.edu.tw,https://www.nehs.tc.edu.tw,https://www.nehs.tc.edu.tw,2026-09-07
