排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,分數來源備註,資優班/特色班,排序分數,課程方向,實習／專題,交通方式,通勤資訊,住宿資訊,生活資料來源,交通資料來源,住宿資料來源,Google地圖,地址資料來源,課程資料來源,實習專題資料來源
,050314,國立卓蘭高級中等學校,公立,中投區免試入學日間部,綜高,不限,苗栗縣,卓蘭鎮,369002 苗栗縣卓蘭鎮老庄里161號,https://www.jlsh.mlc.edu.tw,04-25892007#204,普通科:93(不限);商業經營科:25(不限);國際貿易科:25(不限);資料處理科:25(不限);電子商務科:25(不限);應用英語科:25(不限);幼兒保育科:51(不限),269,269,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」;一般生實際招生名額;擷取時間:2026/8/10 16:44:26,"普通科特色班曾規劃科學創思班、卓越人文班、文創閱讀班;各職業類科另依科本位課程發展,實際開班依當年度公告。",,普通科與商管、國貿、資料處理、電子商務、應用英語、幼兒保育等專業群科並行;各科依學習地圖與課程計畫安排部定、校訂、多元選修及專業課程。,官網設實習處;專業群科依科別辦理實習與實作。網站未標示全校統一專題題目。,"官網115年度已公布學生專車路線時間表;公共運輸可由豐原車站搭208/208繞,或於東勢轉乘258/258繞至卓蘭站(卓蘭高中站)。",學生專車依115年度校方路線時間表;官網交通頁列208/208繞及258/258繞至卓蘭站(卓蘭高中站)。,"校方設有學生宿舍,官網並提供宿舍介紹;住宿申請依當學年度公告。",Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=369002%20%E8%8B%97%E6%A0%97%E7%B8%A3%E5%8D%93%E8%98%AD%E9%8E%AE%E8%80%81%E5%BA%84%E9%87%8C161%E8%99%9F；學校官網：https://www.jlsh.mlc.edu.tw,https://www.jlsh.mlc.edu.tw/p/412-1012-1947.php?Lang=zh-tw,https://www.jlsh.mlc.edu.tw/p/412-1012-1878.php,https://www.google.com/maps/search/?api=1&query=369002%20%E8%8B%97%E6%A0%97%E7%B8%A3%E5%8D%93%E8%98%AD%E9%8E%AE%E8%80%81%E5%BA%84%E9%87%8C161%E8%99%9F,https://www.jlsh.mlc.edu.tw/,https://www.jlsh.mlc.edu.tw/p/412-1012-1878.php,https://www.jlsh.mlc.edu.tw/p/412-1012-1440.php
,050315,國立苑裡高級中學,公立,中投區免試入學日間部,高中,不限,苗栗縣,苑裡鎮,苗栗縣苑裡鎮育才街100號,https://www.ylsh.mlc.edu.tw,037-868680#202,普通科:190(不限),190,190,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」;一般生實際招生名額;擷取時間:2026/8/10 16:44:26,"美術班;課程計畫另列普通班與實驗班課程地圖,實際甄選與編班依當年度公告。",,"普通高中課程,依校方課程計畫辦理部定必修、加深加廣、多元選修與彈性/自主學習;另有美術班及數理科技、語文社會實驗班等年度招生方案。","不設固定職業實習;專題以探究實作、自主學習、實驗班與美術成果依課程計畫辦理,網站未標示全校統一專題題目。","官網列明:臺鐵苑裡站下車後沿中山路步行900公尺至校;97、616、662、839於「國立苑裡高中站」下車,5808、5814於「苑裡國小站」下車。","鐵路使用苑裡站;公車直達站為「國立苑裡高中站」,校方交通頁另列苑裡國小站轉入校路線。","校方115學年度新生專區已公布住宿生寢室分配與住宿規定,可申請校內住宿。",Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=%E8%8B%97%E6%A0%97%E7%B8%A3%E8%8B%91%E8%A3%A1%E9%8E%AE%E8%82%B2%E6%89%8D%E8%A1%97100%E8%99%9F；學校官網：https://www.ylsh.mlc.edu.tw,https://www.ylsh.mlc.edu.tw/about/%E4%BA%A4%E9%80%9A%E8%B7%AF%E7%B7%9A/,https://www.ylsh.mlc.edu.tw/freshman/,https://www.google.com/maps/search/?api=1&query=%E8%8B%97%E6%A0%97%E7%B8%A3%E8%8B%91%E8%A3%A1%E9%8E%AE%E8%82%B2%E6%89%8D%E8%A1%97100%E8%99%9F,https://www.ylsh.mlc.edu.tw/,https://www.ylsh.mlc.edu.tw/office/div_200/108course/%E8%AA%B2%E7%A8%8B%E8%A8%88%E7%95%AB%E6%9B%B8/,https://www.ylsh.mlc.edu.tw/freshman/
,050401,國立大湖高級農工職業學校,公立,中投區免試入學日間部,高職,不限,苗栗縣,大湖鄉,苗栗縣大湖鄉大寮村竹高屋68號,https://www.thvs.mlc.edu.tw,037-992216#403,園藝科(產特):4(不限);食品加工科:4(不限);機械科:4(不限);電機科:4(不限);室內空間設計科:4(不限),20,20,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」;一般生實際招生名額;擷取時間:2026/8/10 16:44:26,"園藝科為產業特殊需求類科;另設實用技能學程與綜合職能科,實際招生科班依年度簡章。",,"園藝、食品加工、機械、電機、室內空間設計等農業、食品、工業與設計技術課程,依各科課程計畫安排專業實習與實作。",各專業科依課程計畫辦理專業實習與實作;網站未標示全校統一專題題目。,"官網115學年度第1學期已公布學生交通車路線及時刻表,包含公館、三義銅鑼、竹南造橋、後龍苗栗等路線。",學生交通車站點與時間依115學年度第1學期校方公告。,校方設有學生宿舍並公布住宿名單與入住資訊;申請資格依當學年度公告。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=%E8%8B%97%E6%A0%97%E7%B8%A3%E5%A4%A7%E6%B9%96%E9%84%89%E5%A4%A7%E5%AF%AE%E6%9D%91%E7%AB%B9%E9%AB%98%E5%B1%8B68%E8%99%9F；學校官網：https://www.thvs.mlc.edu.tw,https://www.thvs.mlc.edu.tw/2026/08/24/%E3%80%90%E5%85%AC%E5%91%8A%E3%80%91115%E5%AD%B8%E5%B9%B4%E5%BA%A6%E7%AC%AC1%E5%AD%B8%E6%9C%9F%E4%BA%A4%E9%80%9A%E8%BB%8A%E8%B7%AF%E7%B7%9A%E5%8F%8A%E6%99%82%E5%88%BB%E8%A1%A8/,https://www.thvs.mlc.edu.tw/2026/02/03/%E3%80%90%E5%85%AC%E5%91%8A%E3%80%91114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E7%AC%AC2%E5%AD%B8%E6%9C%9F%E4%BD%8F%E5%AE%BF%E5%90%8D%E5%96%AE/,https://www.google.com/maps/search/?api=1&query=%E8%8B%97%E6%A0%97%E7%B8%A3%E5%A4%A7%E6%B9%96%E9%84%89%E5%A4%A7%E5%AF%AE%E6%9D%91%E7%AB%B9%E9%AB%98%E5%B1%8B68%E8%99%9F,https://www.thvs.mlc.edu.tw/,https://www.thvs.mlc.edu.tw/,https://www.thvs.mlc.edu.tw/
,050B14,國立卓蘭高級中等學校進修部,公立,中投區免試入學進修部,進修部,不限,苗栗縣,卓蘭鎮,369002 苗栗縣卓蘭鎮老庄里161號,https://www.jlsh.mlc.edu.tw,04-25895645,資料處理科(夜間班):20(不限),20,20,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」;一般生實際招生名額;擷取時間:2026/8/10 16:44:26,"普通科特色班曾規劃科學創思班、卓越人文班、文創閱讀班;各職業類科另依科本位課程發展,實際開班依當年度公告。",,普通科與商管、國貿、資料處理、電子商務、應用英語、幼兒保育等專業群科並行;各科依學習地圖與課程計畫安排部定、校訂、多元選修及專業課程。,官網設實習處;專業群科依科別辦理實習與實作。網站未標示全校統一專題題目。,"校本部交通資訊:官網115年度已公布學生專車路線時間表;公共運輸可由豐原車站搭208/208繞,或於東勢轉乘258/258繞至卓蘭站(卓蘭高中站)。 進修部官網未標示夜間固定學生專車或夜間專用交通班次。",進修部官網未標示夜間固定學生專車、放學後公共運輸班次或固定通勤時間;不可將日間部學生專車視為進修部可搭乘。,進修部官網未標示進修部學生住宿申請資格。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=369002%20%E8%8B%97%E6%A0%97%E7%B8%A3%E5%8D%93%E8%98%AD%E9%8E%AE%E8%80%81%E5%BA%84%E9%87%8C161%E8%99%9F；學校官網：https://www.jlsh.mlc.edu.tw,https://www.jlsh.mlc.edu.tw/p/412-1012-1947.php?Lang=zh-tw,https://www.jlsh.mlc.edu.tw,https://www.google.com/maps/search/?api=1&query=369002%20%E8%8B%97%E6%A0%97%E7%B8%A3%E5%8D%93%E8%98%AD%E9%8E%AE%E8%80%81%E5%BA%84%E9%87%8C161%E8%99%9F,https://www.jlsh.mlc.edu.tw/,https://www.jlsh.mlc.edu.tw/p/412-1012-1878.php,https://www.jlsh.mlc.edu.tw/p/412-1012-1440.php
,051307,全人學校財團法人苗栗縣全人實驗高級中等學校,私立,中投區免試入學日間部,高中,不限,苗栗縣,卓蘭鎮,苗栗縣卓蘭鎮內灣里內灣141-3號,https://holistic.org.tw,04-25896909、25896910,普通科:5(不限),5,5,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」;一般生實際招生名額;擷取時間:2026/8/10 16:44:26,"實驗教育學校,不以傳統資優班分流;以民主教育、專題式學習、追夢計畫與畢業專題為主要特色。",,"以學習者自主、民主共治與PBL專題導向學習為核心,安排個人專題、團隊專題與畢業專題。",以PBL、個人專題、團隊專題與畢業專題呈現學習成果。,官網提供「如何來全人」到校道路指引;網站未標示固定大眾運輸班次或固定學生專車。,網站未標示固定通勤班次、站點或步行時間。,"住宿型實驗學校,學生以住校為主要生活與學習型態;實際住宿規範依校方公告。",Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=%E8%8B%97%E6%A0%97%E7%B8%A3%E5%8D%93%E8%98%AD%E9%8E%AE%E5%85%A7%E7%81%A3%E9%87%8C%E5%85%A7%E7%81%A3141-3%E8%99%9F；學校官網：https://holistic.org.tw,https://holistic.org.tw/news/administrative/107-where-is-holistic-in-how-to-go.html,https://holistic.org.tw/,https://www.google.com/maps/search/?api=1&query=%E8%8B%97%E6%A0%97%E7%B8%A3%E5%8D%93%E8%98%AD%E9%8E%AE%E5%85%A7%E7%81%A3%E9%87%8C%E5%85%A7%E7%81%A3141-3%E8%99%9F,https://holistic.org.tw,https://holistic.org.tw/holistic-track/corpus/54-educational-point-of-view/242-the-purpose-of-education-and-the-importance-of-project-based-learning-pbl.html,https://holistic.org.tw/holistic-track/corpus/54-educational-point-of-view/242-the-purpose-of-education-and-the-importance-of-project-based-learning-pbl.html
,051413,苗栗縣私立龍德家事商業職業學校,私立,中投區免試入學日間部,高職,不限,苗栗縣,苑裡鎮,苗栗縣苑裡鎮房裡里南房75之1號,http://www.ldvs.mlc.edu.tw,037-851277#121、122,家具木工科(產特):15(不限),15,15,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」;一般生實際招生名額;擷取時間:2026/8/10 16:44:26,家具木工科為產業特殊需求類科;校方官網未標示另設資優班。,,"依官網招生科別與課程計畫,課程方向包含家具木工科;專業科目與校訂課程依各科課程計畫辦理。",網站未標示全校統一專題題目;各專業科實習/專題以校方課程計畫與實習處公告為準。,學校官網未標示具體大眾運輸到校路線或固定學生專車班次。,網站未標示固定通勤班次、站點或步行時間。,學校官網未標示115學年度校內學生宿舍申請資訊。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=%E8%8B%97%E6%A0%97%E7%B8%A3%E8%8B%91%E8%A3%A1%E9%8E%AE%E6%88%BF%E8%A3%A1%E9%87%8C%E5%8D%97%E6%88%BF75%E4%B9%8B1%E8%99%9F；學校官網：http://www.ldvs.mlc.edu.tw,http://www.ldvs.mlc.edu.tw,http://www.ldvs.mlc.edu.tw,https://www.google.com/maps/search/?api=1&query=%E8%8B%97%E6%A0%97%E7%B8%A3%E8%8B%91%E8%A3%A1%E9%8E%AE%E6%88%BF%E8%A3%A1%E9%87%8C%E5%8D%97%E6%88%BF75%E4%B9%8B1%E8%99%9F,http://www.ldvs.mlc.edu.tw,http://www.ldvs.mlc.edu.tw,http://www.ldvs.mlc.edu.tw
,054308,苗栗縣立三義高級中學,公立,中投區免試入學日間部,綜高,不限,苗栗縣,三義鄉,苗栗縣三義鄉廣盛村11鄰122號,https://sjh.mlc.edu.tw,037-872015#201,普通科:5(不限);餐飲管理科:5(不限);多媒體設計科:9(不限),19,19,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」;一般生實際招生名額;擷取時間:2026/8/10 16:44:26,"普通科、餐飲管理科、多媒體設計科並設;校方另有高中課程計畫,固定特色班依當年度公告。",,"普通高中課程,以部定必修、加深加廣、多元選修、彈性學習與自主學習為主;校本特色依學校課程計畫辦理。","不設固定職業實習;網站未標示全校統一專題內容,探究實作與自主學習依校方課程計畫辦理。",官網提供學校位置圖;網站未標示固定大眾運輸到校班次或固定學生專車路線。,網站未標示固定通勤班次、站點或步行時間。,學校官網未標示115學年度校內學生宿舍申請資訊。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=%E8%8B%97%E6%A0%97%E7%B8%A3%E4%B8%89%E7%BE%A9%E9%84%89%E5%BB%A3%E7%9B%9B%E6%9D%9111%E9%84%B0122%E8%99%9F；學校官網：https://sjh.mlc.edu.tw,https://sjh.mlc.edu.tw/WebMap/Index.php,https://sjh.mlc.edu.tw,https://www.google.com/maps/search/?api=1&query=%E8%8B%97%E6%A0%97%E7%B8%A3%E4%B8%89%E7%BE%A9%E9%84%89%E5%BB%A3%E7%9B%9B%E6%9D%9111%E9%84%B0122%E8%99%9F,https://sjh.mlc.edu.tw,https://sjh.mlc.edu.tw,https://sjh.mlc.edu.tw
,054309,苗栗縣立苑裡高級中學,公立,中投區免試入學日間部,綜高,不限,苗栗縣,苑裡鎮,35862 苗栗縣苑裡鎮客庄里新興路19號,https://yljh.mlc.edu.tw,037-857042#213,普通科:57(不限);商業經營科:13(不限);廣告設計科:13(不限),83,83,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」;一般生實際招生名額;擷取時間:2026/8/10 16:44:26,"高中部設體育班,並推動數理實驗課程班;普通科、商業經營科、廣告設計科多軌發展。",,"普通高中課程,以部定必修、加深加廣、多元選修、彈性學習與自主學習為主;校本特色依學校課程計畫辦理。","不設固定職業實習;網站未標示全校統一專題內容,探究實作與自主學習依校方課程計畫辦理。",高中部校區位於新興路19號;校方公告指出高中部距苑裡火車站步行8–10分鐘。網站未標示固定學生專車路線。,臺鐵使用苑裡站;高中部校區步行時間依校方公告為8–10分鐘。,校方公告明確說明高中部未提供宿舍。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=35862%20%E8%8B%97%E6%A0%97%E7%B8%A3%E8%8B%91%E8%A3%A1%E9%8E%AE%E5%AE%A2%E5%BA%84%E9%87%8C%E6%96%B0%E8%88%88%E8%B7%AF19%E8%99%9F；學校官網：https://yljh.mlc.edu.tw,https://yljh.mlc.edu.tw/News/Detail.php?ID=6268,https://yljh.mlc.edu.tw/News/Detail.php?ID=6268,https://www.google.com/maps/search/?api=1&query=35862%20%E8%8B%97%E6%A0%97%E7%B8%A3%E8%8B%91%E8%A3%A1%E9%8E%AE%E5%AE%A2%E5%BA%84%E9%87%8C%E6%96%B0%E8%88%88%E8%B7%AF19%E8%99%9F,https://yljh.mlc.edu.tw/,https://yljh.mlc.edu.tw,https://yljh.mlc.edu.tw
,060322,國立中興大學附屬高級中學,公立,中投區免試入學日間部,高中,不限,臺中市,大里區,臺中市大里區東榮路369號,https://www.dali.tc.edu.tw,04-24875199#321,普通科:454(不限),454,454,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」;一般生實際招生名額;擷取時間:2026/8/10 16:44:26,數理資優班、創意科學實驗班;新生特色班級依校方當年度遴選公告辦理。,,"普通型高中課程,搭配加深加廣、多元選修、自主學習與探究實作;資優/實驗課程依校方年度公告。",不設固定職業實習;探究實作、自主學習與專題研究依高中課程及特色班規劃辦理。,"官網交通資訊列39、158於「國立興大附中」大門下車,53於側門下車;另列多線客運於仁愛醫院或內新市場下車。","固定到校公車依官網交通資訊頁;39、158停大門,53停側門。",學校官網未標示115學年度校內學生宿舍申請資訊。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E4%B8%AD%E5%B8%82%E5%A4%A7%E9%87%8C%E5%8D%80%E6%9D%B1%E6%A6%AE%E8%B7%AF369%E8%99%9F；學校官網：https://www.dali.tc.edu.tw,https://www.dali.tc.edu.tw/ischool/publish_page/46/?cid=1232,https://www.dali.tc.edu.tw,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E4%B8%AD%E5%B8%82%E5%A4%A7%E9%87%8C%E5%8D%80%E6%9D%B1%E6%A6%AE%E8%B7%AF369%E8%99%9F,https://www.dali.tc.edu.tw,https://www.dali.tc.edu.tw/,https://www.dali.tc.edu.tw/
,060323,國立中科實驗高級中學,公立,中投區免試入學日間部,高中,不限,臺中市,大雅區,臺中市大雅區平和路227號,https://www.nehs.tc.edu.tw,04-25686850#1220,普通科:76(不限),76,76,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」;一般生實際招生名額;擷取時間:2026/8/10 16:44:26,高中部設數理實驗班;課程以專題研究、小論文、科展與PBL成果發表為特色。,,實驗高中課程結合研究法、PBL、自然領域探究、小論文/科展、雙語與科學園區資源。,以探究實作、PBL、研究法、小論文與科展等研究型成果為主;不設固定職業實習。,學校官網未標示高中部固定大眾運輸到校路線或固定學生專車班次。,網站未標示固定通勤班次、站點或步行時間。,"校方設有學生宿舍,115學年度已公告住宿申請、住宿名單與入住注意事項。",Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E4%B8%AD%E5%B8%82%E5%A4%A7%E9%9B%85%E5%8D%80%E5%B9%B3%E5%92%8C%E8%B7%AF227%E8%99%9F；學校官網：https://www.nehs.tc.edu.tw,https://www.nehs.tc.edu.tw/,https://www.nehs.tc.edu.tw/%E4%BD%8F%E5%AE%BF%E7%94%9F%E5%B0%88%E5%8D%80/,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E4%B8%AD%E5%B8%82%E5%A4%A7%E9%9B%85%E5%8D%80%E5%B9%B3%E5%92%8C%E8%B7%AF227%E8%99%9F,https://www.nehs.tc.edu.tw,https://www.nehs.tc.edu.tw/,https://www.nehs.tc.edu.tw/
