排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,分數來源備註,資優班/特色班,排序分數,課程方向,實習／專題,交通方式,通勤資訊,住宿資訊,生活資料來源,交通資料來源,住宿資料來源,Google地圖,地址資料來源,課程資料來源,實習專題資料來源
,100301,國立東石高中,公立,嘉義區學校名錄,綜高,男女校,嘉義縣,朴子市,613013 嘉義縣朴子市大鄉里253號,https://www.tssh.cyc.edu.tw/,(05)3794180,普通科:30；機械科:11；汽車科:3；電機科:60；食品加工科:12,116,116,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,普通科與機械、汽車、電機、食品加工等專業群科並行；設自造實驗室，並有產攜／建教合作與技藝競賽成果。,,普通科與機械、汽車、電機、食品加工等專業群科並行；設自造實驗室，並有產攜／建教合作與技藝競賽成果。,專業群科依課程辦理機械、汽車、電機、食品等實習實作與技藝競賽；普通科以探究、自主學習與學習成果為主。網站未標示115學年度全校統一專題題目。,115學年度第1學期校方已公告學生專車搭乘時間與路線。,搭乘學生專車者依115-1校方公告之站點、時間與名冊辦理；網站未公開所有學生一致的固定通勤時間。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E7%9F%B3%E9%AB%98%E4%B8%AD+613013+%E5%98%89%E7%BE%A9%E7%B8%A3%E6%9C%B4%E5%AD%90%E5%B8%82%E5%A4%A7%E9%84%89%E9%87%8C253%E8%99%9F; https://www.tssh.cyc.edu.tw/,https://www.tssh.cyc.edu.tw/,https://www.tssh.cyc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E7%9F%B3%E9%AB%98%E4%B8%AD+613013+%E5%98%89%E7%BE%A9%E7%B8%A3%E6%9C%B4%E5%AD%90%E5%B8%82%E5%A4%A7%E9%84%89%E9%87%8C253%E8%99%9F,https://www.tssh.cyc.edu.tw/,https://www.tssh.cyc.edu.tw/,https://www.tssh.cyc.edu.tw/
,100302,國立新港藝術高中,公立,嘉義區學校名錄,高中,男女校,嘉義縣,新港鄉,616009 嘉義縣新港鄉宮後村藝高路1號,https://www.sgash.cyc.edu.tw/,(05)3747060,普通科:90,90,90,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,普通型高中；115學年度招生專區明列STEAM雙語實驗班、數位音樂科技實驗班，並結合藝術、科技與國際教育。,,普通型高中；115學年度招生專區明列STEAM雙語實驗班、數位音樂科技實驗班，並結合藝術、科技與國際教育。,不設技職類固定實習；以STEAM、數位音樂科技、AI、自走車、藝術創作與自主學習成果為主要實作形式。,115學年度校車免費搭乘，校方公布新港－朴子太保、新港－溪口梅山、新港－嘉義西區水上、新港－民雄嘉義東區、新港－北港四湖等路線。,各站點依校方115學年度免費校車路線表搭乘，實際發車時間以校方最新公告為準。,校方設男女學生宿舍；學生手冊所附宿舍管理要點已於114年6月修正，115學年度實際床位與申請時程依校方當年度公告。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%96%B0%E6%B8%AF%E8%97%9D%E8%A1%93%E9%AB%98%E4%B8%AD+616009+%E5%98%89%E7%BE%A9%E7%B8%A3%E6%96%B0%E6%B8%AF%E9%84%89%E5%AE%AE%E5%BE%8C%E6%9D%91%E8%97%9D%E9%AB%98%E8%B7%AF1%E8%99%9F; https://www.sgash.cyc.edu.tw/,https://www.sgash.cyc.edu.tw/ischool/widget/main_menu/show.php?cid=1416,https://www.sgash.cyc.edu.tw/ischool/public/resource_view/openfid.php?id=2803,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%96%B0%E6%B8%AF%E8%97%9D%E8%A1%93%E9%AB%98%E4%B8%AD+616009+%E5%98%89%E7%BE%A9%E7%B8%A3%E6%96%B0%E6%B8%AF%E9%84%89%E5%AE%AE%E5%BE%8C%E6%9D%91%E8%97%9D%E9%AB%98%E8%B7%AF1%E8%99%9F,https://www.sgash.cyc.edu.tw/,https://www.sgash.cyc.edu.tw/home?cid=1282,https://www.sgash.cyc.edu.tw/home?cid=1282
,100303,國立嘉科實驗高中,公立,嘉義區學校名錄,高中,男女校,嘉義市,西區,600023 嘉義市西區新民路580號,https://www.nehs.cyc.edu.tw/,(05)2868899,普通科:75；機械科:21,96,96,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）；原檔科系欄含「機械科」，與現行官網高中部普通型課程資訊不一致，本次未據此判定學制。,園區實驗高中，強調科技、雙語／國際化、跨域探究與永續教育；115學年度已有高中部選課輔導手冊。,,園區實驗高中，強調科技、雙語／國際化、跨域探究與永續教育；115學年度已有高中部選課輔導手冊。,不設技職類固定實習；以科技、跨域探究、雙語／國際課程與自主學習成果為主。網站未標示115學年度全校統一專題題目。,高中部115學年度招生與報到使用嘉義市西區新民路580號新民校區；官網未標示115-1固定學生專車完整路線。,固定通勤班次與站點網站未標示；Google地圖欄以高中部新民校區建立查詢。,學校官網未標示115學年度高中部校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%98%89%E7%A7%91%E5%AF%A6%E9%A9%97%E9%AB%98%E4%B8%AD+600023+%E5%98%89%E7%BE%A9%E5%B8%82%E8%A5%BF%E5%8D%80%E6%96%B0%E6%B0%91%E8%B7%AF580%E8%99%9F; https://www.nehs.cyc.edu.tw/,https://chiayi.ugm.one/modules/nnkieh_enroll/index.php?sn=9,https://www.nehs.cyc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%98%89%E7%A7%91%E5%AF%A6%E9%A9%97%E9%AB%98%E4%B8%AD+600023+%E5%98%89%E7%BE%A9%E5%B8%82%E8%A5%BF%E5%8D%80%E6%96%B0%E6%B0%91%E8%B7%AF580%E8%99%9F,https://www.nehs.cyc.edu.tw/,https://sites.google.com/nehs.cyc.edu.tw/nehscycnewcourse/%E8%AA%B2%E7%A8%8B%E8%AB%AE%E8%A9%A2,https://sites.google.com/nehs.cyc.edu.tw/nehscycnewcourse/%E8%AA%B2%E7%A8%8B%E8%AB%AE%E8%A9%A2
,100402,國立民雄農工,公立,嘉義區學校名錄,高職,男女校,嘉義縣,民雄鄉,621013 嘉義縣民雄鄉文隆村81號,https://www.mhvs.cyc.edu.tw/,(05)2267120,汽車科:21；電機科:21；園藝科:10；食品加工科:21,73,73,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,汽車、電機、園藝、食品加工等專業科；115學年度持續辦理專題實作、技能競賽與專業實習。,,汽車、電機、園藝、食品加工等專業科；115學年度持續辦理專題實作、技能競賽與專業實習。,各專業科依課程辦理實習、技能訓練、專題實作與創意競賽；115年官網仍有全國專題實作與創意競賽指導成果。,115學年度校方已開放學生專車申請並公布各站搭車位置參考；開學後會依實際搭車人數調整車次。,校方要求依公告路線提前5分鐘候車；115專車招標／路線仍可能依實際搭乘人數調整，以生輔組最新公告為準。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%B0%91%E9%9B%84%E8%BE%B2%E5%B7%A5+621013+%E5%98%89%E7%BE%A9%E7%B8%A3%E6%B0%91%E9%9B%84%E9%84%89%E6%96%87%E9%9A%86%E6%9D%9181%E8%99%9F; https://www.mhvs.cyc.edu.tw/,https://www.mhvs.cyc.edu.tw/modules/tadnews/page.php?ncsn=392&nsn=8370,https://www.mhvs.cyc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%B0%91%E9%9B%84%E8%BE%B2%E5%B7%A5+621013+%E5%98%89%E7%BE%A9%E7%B8%A3%E6%B0%91%E9%9B%84%E9%84%89%E6%96%87%E9%9A%86%E6%9D%9181%E8%99%9F,https://www.mhvs.cyc.edu.tw/,https://www.mhvs.cyc.edu.tw/,https://www.mhvs.cyc.edu.tw/
,101303,私立同濟高中,私立,嘉義區學校名錄,高中,男女校,嘉義縣,大林鎮,嘉義縣大林鎮中興路二段303號,http://www.tjsh.cyc.edu.tw/,(05)2652248,普通科(日)；普通科(夜),,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）；簡章本區日間部招生名額表未列此校，未填入推測名額；該校已停辦，115學年度招生、課程、交通與住宿資料不適用。,學校已於2025年停辦；115學年度無現行招生、課程或校務服務。,,學校已於2025年停辦；115學年度無現行招生、課程或校務服務。,學校已停辦，115學年度不適用實習／專題課程。,學校已停辦，115學年度無現行到校交通服務。,115學年度不適用學生通勤資訊。,學校已停辦，115學年度不適用住宿申請。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E5%90%8C%E6%BF%9F%E9%AB%98%E4%B8%AD+%E5%98%89%E7%BE%A9%E7%B8%A3%E5%A4%A7%E6%9E%97%E9%8E%AE%E4%B8%AD%E8%88%88%E8%B7%AF%E4%BA%8C%E6%AE%B5303%E8%99%9F; http://www.tjsh.cyc.edu.tw/,https://schbase.cyc.edu.tw/schbase/pub/sch_dsp.php?sch_id=101303,https://schbase.cyc.edu.tw/schbase/pub/sch_dsp.php?sch_id=101303,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E5%90%8C%E6%BF%9F%E9%AB%98%E4%B8%AD+%E5%98%89%E7%BE%A9%E7%B8%A3%E5%A4%A7%E6%9E%97%E9%8E%AE%E4%B8%AD%E8%88%88%E8%B7%AF%E4%BA%8C%E6%AE%B5303%E8%99%9F,http://www.tjsh.cyc.edu.tw/,https://schbase.cyc.edu.tw/schbase/pub/sch_dsp.php?sch_id=101303,https://schbase.cyc.edu.tw/schbase/pub/sch_dsp.php?sch_id=101303
,101304,私立協同高中,私立,嘉義區學校名錄,高中,男女校,嘉義縣,民雄鄉,嘉義縣民雄鄉建國路二段31號,https://www.cmsh.cyc.edu.tw/,(05)2213045,普通科:104,104,104,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,普通型高中及完全中學體系；115學年度課程依校方與嘉義縣課程平台公開計畫辦理。,,普通型高中及完全中學體系；115學年度課程依校方與嘉義縣課程平台公開計畫辦理。,不設技職類固定實習；以探究實作、自主學習與高中課程成果為主。網站未標示115學年度全校統一專題題目。,學校官網／115學年度公開資料未標示完整固定學生專車或大眾運輸到校路線。,網站未標示固定通勤站點與時間；Google地圖欄已依官方校址建立查詢入口。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E5%8D%94%E5%90%8C%E9%AB%98%E4%B8%AD+%E5%98%89%E7%BE%A9%E7%B8%A3%E6%B0%91%E9%9B%84%E9%84%89%E5%BB%BA%E5%9C%8B%E8%B7%AF%E4%BA%8C%E6%AE%B531%E8%99%9F; https://www.cmsh.cyc.edu.tw/,https://www.cmsh.cyc.edu.tw/,https://www.cmsh.cyc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E5%8D%94%E5%90%8C%E9%AB%98%E4%B8%AD+%E5%98%89%E7%BE%A9%E7%B8%A3%E6%B0%91%E9%9B%84%E9%84%89%E5%BB%BA%E5%9C%8B%E8%B7%AF%E4%BA%8C%E6%AE%B531%E8%99%9F,https://www.cmsh.cyc.edu.tw/,https://course.cyc.edu.tw/course/pub/cou_dsp.php?sch_id=101304,https://course.cyc.edu.tw/course/pub/cou_dsp.php?sch_id=101304
,101406,私立萬能工商,私立,嘉義區學校名錄,高職,男女校,嘉義縣,水上鄉,608 嘉義縣水上鄉萬能路1號,https://www.wnvs.cyc.edu.tw/zh-hant/,(05)2687777,資訊科(日)；餐飲管理科(日)；烘焙科(日)；汽車修護科(日)；水電技術科(日)；餐飲技術科(日)；多媒體技術科(日),,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）；簡章本區日間部招生名額表未列此校，未填入推測名額,資訊、餐飲／烘焙、汽修、水電、多媒體等技職方向；重視實作、證照、專題與建教合作，另有僑生專班。,,資訊、餐飲／烘焙、汽修、水電、多媒體等技職方向；重視實作、證照、專題與建教合作，另有僑生專班。,資訊科等專業科明列硬體、程式、網頁、APP、網路、AI與專題製作；其他科別亦以實作、證照、競賽及建教合作為主。,官網有住宿、交通與生活支援說明，但未公開115學年度一般生固定學生專車完整站點表。,一般生固定通勤班次與時間網站未標示；實際交通安排應依校方正式通知。,官網國際處提供境外學生住宿與生活支援說明；一般生115學年度校內住宿申請資格與床位網站未標示。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E8%90%AC%E8%83%BD%E5%B7%A5%E5%95%86+608+%E5%98%89%E7%BE%A9%E7%B8%A3%E6%B0%B4%E4%B8%8A%E9%84%89%E8%90%AC%E8%83%BD%E8%B7%AF1%E8%99%9F; https://www.wnvs.cyc.edu.tw/zh-hant/,https://www.wnvs.cyc.edu.tw/zh-hant/departments/international/,https://www.wnvs.cyc.edu.tw/zh-hant/departments/international/,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E8%90%AC%E8%83%BD%E5%B7%A5%E5%95%86+608+%E5%98%89%E7%BE%A9%E7%B8%A3%E6%B0%B4%E4%B8%8A%E9%84%89%E8%90%AC%E8%83%BD%E8%B7%AF1%E8%99%9F,https://www.wnvs.cyc.edu.tw/zh-hant/,https://www.wnvs.cyc.edu.tw/zh-hant/,https://www.wnvs.cyc.edu.tw/zh-hant/
,104319,嘉義縣立竹崎高中,公立,嘉義區學校名錄,高中,男女校,嘉義縣,竹崎鄉,604008 嘉義縣竹崎鄉文化路23號,https://www.ccjh.cyc.edu.tw/,(05)2611006,普通科:50,50,50,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,普通型高中；高中招生網設特色班級、學生通學與住宿專區，並持續辦理科展、國樂／樂旗等多元學習。,,普通型高中；高中招生網設特色班級、學生通學與住宿專區，並持續辦理科展、國樂／樂旗等多元學習。,不設技職類固定實習；以探究、自主學習、科展、藝文及課程成果為主。網站未標示115學年度全校統一專題題目。,115學年度學生交通車已開放登記；校方通學專區说明学生交通车共9条，另可搭嘉义县公车梅山经竹崎、松脚、溪心寮等路线到校。,高中生交通車依115學年度登記與編排搭乘；公車班次依嘉義縣公車當日營運資訊。,校方設學生宿舍，新宿舍113學年度啟用；高中招生網明列宿舍生活資訊，實際115學年度床位依校方安排。,https://www.google.com/maps/search/?api=1&query=%E5%98%89%E7%BE%A9%E7%B8%A3%E7%AB%8B%E7%AB%B9%E5%B4%8E%E9%AB%98%E4%B8%AD+604008+%E5%98%89%E7%BE%A9%E7%B8%A3%E7%AB%B9%E5%B4%8E%E9%84%89%E6%96%87%E5%8C%96%E8%B7%AF23%E8%99%9F; https://www.ccjh.cyc.edu.tw/,https://sites.google.com/ccjh.cyc.edu.tw/bus/home,https://sites.google.com/ccjh.cyc.edu.tw/high/%E5%AE%BF%E8%88%8D%E7%94%9F%E6%B4%BB%E8%B3%87%E8%A8%8A,https://www.google.com/maps/search/?api=1&query=%E5%98%89%E7%BE%A9%E7%B8%A3%E7%AB%8B%E7%AB%B9%E5%B4%8E%E9%AB%98%E4%B8%AD+604008+%E5%98%89%E7%BE%A9%E7%B8%A3%E7%AB%B9%E5%B4%8E%E9%84%89%E6%96%87%E5%8C%96%E8%B7%AF23%E8%99%9F,https://www.ccjh.cyc.edu.tw/,https://www.ccjh.cyc.edu.tw/p/406-1000-466%2Cr21.php,https://www.ccjh.cyc.edu.tw/p/406-1000-466%2Cr21.php
,104326,嘉義縣立永慶高中,公立,嘉義區學校名錄,高中,男女校,嘉義縣,太保市,61248 嘉義縣太保市信義二路1號,https://www.ycsh.cyc.edu.tw/,(05)3627226,普通科:56,56,56,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,普通型高中；115課程包含AI特色科技班、學術資優班、體育班及校本課程，並推動雙語與國際教育。,,普通型高中；115課程包含AI特色科技班、學術資優班、體育班及校本課程，並推動雙語與國際教育。,不設技職類固定實習；AI特色科技班含程式設計、人工智慧概論與人工智慧專題，資優課程另含多類專題研究。,高鐵嘉義站可搭BRT至嘉義縣政府站後步行；嘉義火車站可至轉運站搭往朴子、布袋方向客運於縣政府站下車後步行。,校方交通指南列BRT約30分鐘一班、嘉義轉運站往朴子／布袋方向約20–30分鐘一班；實際班次以營運單位為準。,校園規劃明列學生宿舍，並有宿舍管理員負責住宿事務；115學年度實際床位與申請依校方公告。,https://www.google.com/maps/search/?api=1&query=%E5%98%89%E7%BE%A9%E7%B8%A3%E7%AB%8B%E6%B0%B8%E6%85%B6%E9%AB%98%E4%B8%AD+61248+%E5%98%89%E7%BE%A9%E7%B8%A3%E5%A4%AA%E4%BF%9D%E5%B8%82%E4%BF%A1%E7%BE%A9%E4%BA%8C%E8%B7%AF1%E8%99%9F; https://www.ycsh.cyc.edu.tw/,https://www.ycsh.cyc.edu.tw/modules/tadnews/page.php?nsn=103,https://www.ycsh.cyc.edu.tw/modules/tadnews/index.php?nsn=205,https://www.google.com/maps/search/?api=1&query=%E5%98%89%E7%BE%A9%E7%B8%A3%E7%AB%8B%E6%B0%B8%E6%85%B6%E9%AB%98%E4%B8%AD+61248+%E5%98%89%E7%BE%A9%E7%B8%A3%E5%A4%AA%E4%BF%9D%E5%B8%82%E4%BF%A1%E7%BE%A9%E4%BA%8C%E8%B7%AF1%E8%99%9F,https://www.ycsh.cyc.edu.tw/,https://www.ycsh.cyc.edu.tw/modules/tadnews/page.php?nsn=977,https://www.ycsh.cyc.edu.tw/modules/tadnews/page.php?nsn=977
,200302,國立嘉義女中,公立,嘉義區學校名錄,高中,女校,嘉義市,西區,嘉義市西區垂楊路243號,https://www.cygsh.cy.edu.tw/,(05)2254603,普通科(男):16；普通科(女):454,470,470,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）；原檔科系/性別招生欄含異常項目，本次學制與男女校依學校現行官網判定。,115學年度設人文社會科學資優班、數理資優班、AI電資實驗班、醫藥科技實驗班。,,115學年度設人文社會科學資優班、數理資優班、AI電資實驗班、醫藥科技實驗班。,不設技職類固定實習；以探究與實作、自主學習、AI電資／醫藥科技實驗及資優研究成果為主。,校方設「交通及位置」頁並整理公車與客運資訊；學校位於嘉義市西區垂楊路243號。,固定通勤時間依實際公車／客運班次；網站未標示115學年度固定學生專車。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%98%89%E7%BE%A9%E5%A5%B3%E4%B8%AD+%E5%98%89%E7%BE%A9%E5%B8%82%E8%A5%BF%E5%8D%80%E5%9E%82%E6%A5%8A%E8%B7%AF243%E8%99%9F; https://www.cygsh.cy.edu.tw/,https://www.cygsh.cy.edu.tw/p/412-1013-1724.php,https://www.cygsh.cy.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%98%89%E7%BE%A9%E5%A5%B3%E4%B8%AD+%E5%98%89%E7%BE%A9%E5%B8%82%E8%A5%BF%E5%8D%80%E5%9E%82%E6%A5%8A%E8%B7%AF243%E8%99%9F,https://www.cygsh.cy.edu.tw/,https://www.cygsh.cy.edu.tw/,https://www.cygsh.cy.edu.tw/
