排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,分數來源備註,資優班/特色班,排序分數,課程方向,實習／專題,交通方式,通勤資訊,住宿資訊,生活資料來源,交通資料來源,住宿資料來源,Google地圖,地址資料來源,課程資料來源,實習專題資料來源
,020301,國立蘭陽女中,公立,宜蘭區學校名錄,高中,女校,宜蘭縣,宜蘭市,260026 宜蘭縣宜蘭市女中路二段355號,https://www.lygsh.ilc.edu.tw/home,03-9333819,普通科(女):424,424,424,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。；115學年度宜蘭區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,語文資優班、舞蹈資優班、數理實驗班、雙語實驗班；實際招生與編班依115學年度校方公告。,,普通型高中課程，搭配加深加廣、多元選修、微課程、校本特色與自主學習；另依語文、舞蹈、數理與雙語特色課程分流。,不設固定職業實習；以自主學習、探究實作、校本微課程與成果發表為主要實作形式。網站未標示全校統一專題題目。,官網明列：臺鐵宜蘭站步行至校約1.3公里、約17分鐘；宜蘭轉運站步行至校約1.1公里、約15分鐘。另提供國道5號自駕路線。,鐵路通勤以宜蘭站為主要節點；國道客運可至宜蘭轉運站後步行到校。步行時間以校方交通頁公布為準。,校方設有學生宿舍；115學年度行事曆明列宿舍申請、生活座談與核准住宿名單公告時程。,https://www.google.com/maps/search/?api=1&query=260026+%E5%AE%9C%E8%98%AD%E7%B8%A3%E5%AE%9C%E8%98%AD%E5%B8%82%E5%A5%B3%E4%B8%AD%E8%B7%AF%E4%BA%8C%E6%AE%B5355%E8%99%9F; https://www.lygsh.ilc.edu.tw/home,https://www.lygsh.ilc.edu.tw/home?cid=203,https://www.lygsh.ilc.edu.tw/home?cid=2191,https://www.google.com/maps/search/?api=1&query=260026+%E5%AE%9C%E8%98%AD%E7%B8%A3%E5%AE%9C%E8%98%AD%E5%B8%82%E5%A5%B3%E4%B8%AD%E8%B7%AF%E4%BA%8C%E6%AE%B5355%E8%99%9F,https://www.lygsh.ilc.edu.tw/home?cid=203,https://www.lygsh.ilc.edu.tw/home,https://www.lygsh.ilc.edu.tw/ischool/publish_page/0/?cid=1405
,020302,國立宜蘭高中,公立,宜蘭區學校名錄,高中,男女校,宜蘭縣,宜蘭市,26051 宜蘭縣宜蘭市復興路三段8號,https://www.ylsh.ilc.edu.tw/,03-9324153,普通科(男):358；普通科(女):33,391,391,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。；115學年度宜蘭區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,數理資優班、科學實驗班、雙語實驗班、美術資優班、體育班；班別與甄選依115學年度公告。,,普通型高中課程，包含部定必修、加深加廣、多元選修、彈性自主學習與校訂必修「宜蘭學」等校本課程。,不設固定職業實習；以自主學習、自然科探究、科展、小論文與跨領域專題成果為主，官網設有自主學習成果發表專區。,臺鐵宜蘭站或國道客運至宜蘭轉運站後，可轉乘市區公車771線至「文化中心（宜蘭高中）」站；自駕由國5宜蘭交流道經東港路、校舍路、復興路到校。,主要公共運輸節點為宜蘭站、宜蘭轉運站與「文化中心（宜蘭高中）」站；771線約20分鐘一班的資訊以相關交通公告為準。,校內有學生宿舍；校方高一新生專區設「學生宿舍資訊」入口，校園環境介紹亦明列學生宿舍。,https://www.google.com/maps/search/?api=1&query=26051+%E5%AE%9C%E8%98%AD%E7%B8%A3%E5%AE%9C%E8%98%AD%E5%B8%82%E5%BE%A9%E8%88%88%E8%B7%AF%E4%B8%89%E6%AE%B58%E8%99%9F; https://www.ylsh.ilc.edu.tw/,https://www.ylsh.ilc.edu.tw/ischool/publish_page/24/?cid=626,https://www.ylsh.ilc.edu.tw/ischool/publish_page/15/?cid=494,https://www.google.com/maps/search/?api=1&query=26051+%E5%AE%9C%E8%98%AD%E7%B8%A3%E5%AE%9C%E8%98%AD%E5%B8%82%E5%BE%A9%E8%88%88%E8%B7%AF%E4%B8%89%E6%AE%B58%E8%99%9F,https://www.ylsh.ilc.edu.tw/,https://www.ylsh.ilc.edu.tw/home?cid=1603,https://www.ylsh.ilc.edu.tw/ischool/publish_page/61/?cid=1877
,020308,國立羅東高中,公立,宜蘭區學校名錄,高中,男女校,宜蘭縣,羅東鎮,265010 宜蘭縣羅東鎮公正路324號,https://www.ldsh.ilc.edu.tw/,03-9567645,普通科:386,386,386,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。；115學年度宜蘭區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,體育班、藝才（資優）班、學術資優班、雙語實驗班、科學實驗班；以115學年度總體課程計畫與甄選公告為準。,,普通型高中115學年度總體課程，搭配普通班、體育班、藝才／學術資優與雙語、科學實驗課程，以及多元選修與自主學習。,不設固定職業實習；以自主學習、專題閱讀研究、小論文、科展與跨領域成果發表為主要實作形式。,校方115-1公告指出「學58」羅東高中往南方澳路線自115年9月1日起停駛，替代路線為1767、1797；741宜蘭轉運站－南方澳路線由縣府籌備中。,需搭公路客運者，校方建議使用i-Bus掌握即時班次；目前以1767、1797作為學58停駛後的替代路線，後續依校方最新公告。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=265010+%E5%AE%9C%E8%98%AD%E7%B8%A3%E7%BE%85%E6%9D%B1%E9%8E%AE%E5%85%AC%E6%AD%A3%E8%B7%AF324%E8%99%9F; https://www.ldsh.ilc.edu.tw/,"https://www.ldsh.ilc.edu.tw/p/406-1015-193159,r13.php?Lang=zh-tw",https://www.ldsh.ilc.edu.tw/,https://www.google.com/maps/search/?api=1&query=265010+%E5%AE%9C%E8%98%AD%E7%B8%A3%E7%BE%85%E6%9D%B1%E9%8E%AE%E5%85%AC%E6%AD%A3%E8%B7%AF324%E8%99%9F,https://www.ldsh.ilc.edu.tw/,"https://www.ldsh.ilc.edu.tw/p/406-1015-189277,r46.php?Lang=zh-tw",https://www.ldsh.ilc.edu.tw/
,020403,國立宜蘭高商,公立,宜蘭區學校名錄,高職,男女校,宜蘭縣,宜蘭市,260 宜蘭縣宜蘭市延平路50號,https://www.ilvs.ilc.edu.tw/,03-9384147,國際貿易科:54；資料處理科:89；多媒體設計科:26；應用英語科:29；應用日語科:29；商業經營科:17,244,244,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。；115學年度宜蘭區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,網站未標示固定資優班；以國際貿易、資料處理、多媒體設計、應用英語、應用日語、商業經營等商管、外語與設計專業群科為特色。,,技術型高中課程，重點涵蓋商業管理、國際貿易、資訊應用、多媒體設計及應用外語；依各科課程計畫安排專業、實習、彈性與自主學習。,設專業及實習科目，例如門市經營實務、數位科技應用、會計軟體應用、程式語言與設計、多媒體製作與應用、外語文書與簡報實務等；網站未標示全校統一專題題目。,官網明列：宜蘭轉運站或臺鐵宜蘭站後站可轉乘771縣公車至「宜蘭高商站」；另列學生通學公車472、771等路線。,公共運輸可使用宜蘭站、宜蘭轉運站轉乘771縣；學生通學路線另依校方交通頁公告的472、771等班次。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=260+%E5%AE%9C%E8%98%AD%E7%B8%A3%E5%AE%9C%E8%98%AD%E5%B8%82%E5%BB%B6%E5%B9%B3%E8%B7%AF50%E8%99%9F; https://www.ilvs.ilc.edu.tw/,https://www.ilvs.ilc.edu.tw/ischool/publish_page/111/?cid=3133,https://www.ilvs.ilc.edu.tw/,https://www.google.com/maps/search/?api=1&query=260+%E5%AE%9C%E8%98%AD%E7%B8%A3%E5%AE%9C%E8%98%AD%E5%B8%82%E5%BB%B6%E5%B9%B3%E8%B7%AF50%E8%99%9F,https://www.ilvs.ilc.edu.tw/ischool/publish_page/111/?cid=3133,https://www.ilvs.ilc.edu.tw/resource/openfid.php?id=7762,https://www.ilvs.ilc.edu.tw/ischool/publish_page/5/?cid=85
,020404,國立羅東高商,公立,宜蘭區學校名錄,綜高,男女校,宜蘭縣,羅東鎮,265 宜蘭縣羅東鎮中山路四段360號,https://www.ltcvs.ilc.edu.tw/home,03-9512875,國際貿易科:21；資料處理科:50；餐飲管理科:28；多媒體設計科:20；表演藝術科:15；機械科:28；汽車科:59；資訊科:30；商業經營科:10；資料處理科:10,271,271,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。；115學年度宜蘭區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,日間部設商業經營、國際貿易、資料處理、多媒體設計、餐飲管理與綜合高中；綜高含學術自然、學術社會、資訊應用、國際貿易、多媒體設計、餐飲服務等學程。,,技術型與綜合高中並行，涵蓋商管、資訊、設計、餐旅及學術自然／社會等方向；另有實用技能學程與進修部。,商管群辦理專題製作成果發表競賽與作品觀摩，並依各群科安排專業實習、實作、多元選修及跨校課程。,官網交通頁要求以公路客運即時動態資訊查詢「羅東高商」或「維揚路」附近站牌；網站未標示固定單一路線號碼。,主要公車下車點以「羅東高商」或「維揚路」站牌查詢為準；班次應以公路客運即時動態與校方交通頁確認。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=265+%E5%AE%9C%E8%98%AD%E7%B8%A3%E7%BE%85%E6%9D%B1%E9%8E%AE%E4%B8%AD%E5%B1%B1%E8%B7%AF%E5%9B%9B%E6%AE%B5360%E8%99%9F; https://www.ltcvs.ilc.edu.tw/home,https://www.ltcvs.ilc.edu.tw/ischool/publish_page/105/?cid=2730,https://www.ltcvs.ilc.edu.tw/home,https://www.google.com/maps/search/?api=1&query=265+%E5%AE%9C%E8%98%AD%E7%B8%A3%E7%BE%85%E6%9D%B1%E9%8E%AE%E4%B8%AD%E5%B1%B1%E8%B7%AF%E5%9B%9B%E6%AE%B5360%E8%99%9F,https://www.ltcvs.ilc.edu.tw/home,https://www.ltcvs.ilc.edu.tw/ischool/publish_page/21/,https://www.ltcvs.ilc.edu.tw/ischool/public/resource_view/open.php?file=c76ef717a0f4e598f7a515119b7b4492.pdf
,020405,國立蘇澳海事,公立,宜蘭區學校名錄,高職,男女校,宜蘭縣,蘇澳鎮,270 宜蘭縣蘇澳鎮蘇港路213號,https://www.savs.ilc.edu.tw/,03-9951661,電子科:4；觀光事業科:8；漁業科:3；輪機科:11；水產養殖科:4；航運管理科:6；水產食品科:5；進修部水產食品科:16,57,57,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。；115學年度宜蘭區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,以漁業、輪機、水產食品、水產養殖、電子、航運管理、觀光事業等海事水產與技術群科為特色；另設體育班及實用技能學程。,,技術型高中以海事、水產、電子、航運與觀光餐旅專業為主，各科依課程計畫安排專業理論、實習及技能訓練。,依漁業、輪機、水產、電子、航運與餐旅等科別進行專業實習、技能訓練與技藝競賽；網站未標示全校統一專題題目。,官網明列：臺鐵蘇澳站下車步行約10分鐘；蘇澳新站可搭計程車約5分鐘，或轉電聯車至蘇澳站再步行。另提供國5蘇澳交流道與台9、台2自駕路線。,鐵路通勤以蘇澳站最直接，步行約10分鐘；蘇澳新站需轉乘或計程車，時間以校方交通頁為準。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=270+%E5%AE%9C%E8%98%AD%E7%B8%A3%E8%98%87%E6%BE%B3%E9%8E%AE%E8%98%87%E6%B8%AF%E8%B7%AF213%E8%99%9F; https://www.savs.ilc.edu.tw/,https://www.savs.ilc.edu.tw/ischool/publish_page/0/?cid=1232,https://www.savs.ilc.edu.tw/,https://www.google.com/maps/search/?api=1&query=270+%E5%AE%9C%E8%98%AD%E7%B8%A3%E8%98%87%E6%BE%B3%E9%8E%AE%E8%98%87%E6%B8%AF%E8%B7%AF213%E8%99%9F,https://www.savs.ilc.edu.tw/ischool/publish_page/0/?cid=1232,https://www.savs.ilc.edu.tw/,https://www.savs.ilc.edu.tw/
,020407,國立羅東高工,公立,宜蘭區學校名錄,綜高,男女校,宜蘭縣,冬山鄉,269022 宜蘭縣冬山鄉廣興路117號,https://www.ltivs.ilc.edu.tw/,03-9514196,電子科:59；電機科:59；建築科:59；製圖科:29；綜合高中:111；資訊科:30；製圖科:11,358,358,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。；115學年度宜蘭區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,以資訊、電子、電機、機械、製圖、汽車、建築等工業群科為核心；另有綜合高中、實用技能學程與建教合作課程。,,115學年度日校專業群科課程涵蓋資訊、電子、電機、機械、製圖、汽車、建築等工業技術，另有綜高與建教、實用技能課程。,各科設大量專業實習，例如機械基礎、加工、製圖、電學、控制等；官網可見專題實作課程與全國專題實作／創意競賽成果。,官網明列：羅東火車站步行至校約30–40分鐘；並提供由宜蘭、蘇澳方向經國5或台9、台7丙到校的自駕路線。,臺鐵通勤可由羅東站步行約30–40分鐘；公車路線以校方地理位置頁所連結的即時交通資訊為準。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=269022+%E5%AE%9C%E8%98%AD%E7%B8%A3%E5%86%AC%E5%B1%B1%E9%84%89%E5%BB%A3%E8%88%88%E8%B7%AF117%E8%99%9F; https://www.ltivs.ilc.edu.tw/,https://www.ltivs.ilc.edu.tw/p/412-1000-134.php?Lang=zh-tw,https://www.ltivs.ilc.edu.tw/,https://www.google.com/maps/search/?api=1&query=269022+%E5%AE%9C%E8%98%AD%E7%B8%A3%E5%86%AC%E5%B1%B1%E9%84%89%E5%BB%A3%E8%88%88%E8%B7%AF117%E8%99%9F,https://www.ltivs.ilc.edu.tw/p/412-1000-134.php?Lang=zh-tw,https://www.ltivs.ilc.edu.tw/p/412-1000-82.php?Lang=zh-tw,https://www.ltivs.ilc.edu.tw/p/412-1000-206.php?Lang=zh-tw
,020409,國立頭城家商,公立,宜蘭區學校名錄,高職,男女校,宜蘭縣,頭城鎮,261 宜蘭縣頭城鎮新興路111號,https://www.tcvs.ilc.edu.tw/,03-9771131,餐飲管理科:16,16,16,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。；115學年度宜蘭區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,以商業、電子商務、資料處理、餐飲、觀光、幼保、美容等家商與服務群科實務為特色；另有實用技能學程與進修部。,,技術型高中課程以商管、電子商務、資訊、餐旅、幼保與美容等專業方向為主，依各科課程計畫與課程地圖安排。,實習處有中餐、烘焙、餐飲服務、文書處理、程式設計、網頁設計、美髮／美顏等技藝競賽與校外實習規範；課表亦可見專題實作。,115學年度新生專區公告：國光客運加班車06:05自幸福轉運站發車，約06:45到頭城家商；1766由南方澳05:55發車，約08:05到頭城家商站。,115年9月國光加班車及1766班次依校方公告；10月後相關路線由宜展客運經營，時間以客運公司與校方後續公告為準。,校內有學生宿舍，男35床、女27床，共62床；每房約4–6人，校方公布住宿費與設備，申請依當學年度公告。,https://www.google.com/maps/search/?api=1&query=261+%E5%AE%9C%E8%98%AD%E7%B8%A3%E9%A0%AD%E5%9F%8E%E9%8E%AE%E6%96%B0%E8%88%88%E8%B7%AF111%E8%99%9F; https://www.tcvs.ilc.edu.tw/,https://www.tcvs.ilc.edu.tw/boxlists/1293?menu_id=188,https://www.tcvs.ilc.edu.tw/pages/248,https://www.google.com/maps/search/?api=1&query=261+%E5%AE%9C%E8%98%AD%E7%B8%A3%E9%A0%AD%E5%9F%8E%E9%8E%AE%E6%96%B0%E8%88%88%E8%B7%AF111%E8%99%9F,https://www.tcvs.ilc.edu.tw/,https://www.tcvs.ilc.edu.tw/pages/127,https://www.tcvs.ilc.edu.tw/boxlists/533?menu_id=70
,021301,私立慧燈高中,私立,宜蘭區學校名錄,高中,男女校,宜蘭縣,員山鄉,264014 宜蘭縣員山鄉協進路88號,https://web.hdsh.ilc.edu.tw/,03-9229968,普通科:118,118,118,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。；115學年度宜蘭區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,住宿型中學；高中部以升學、自主學習、國際雙軌與多元特色活動為主要特色，實際班別依115學年度公告。,,普通型高中課程，重視升學學科、自主學習與國際／語言學習；官網設自主學習專區、計畫書與成果報告格式。,不設固定職業實習；自主學習包含專題與研究實作，官網可見學生完成程式設計、機構製作等自主專案成果。,官網Q&A列出由臺北各轉運站搭國道客運至宜蘭轉運站；學校另依學生往返路線安排中小型巴士或大型遊覽專車定點接送。,高中學生返家交通可依路線搭校方定點接送專車；站點與費用須向校方交通組確認。校方另提供上放學交通路線介紹與地圖指引。,校方明確為住宿型學校，學生平日住校，設宿舍生活與晚間作息管理；住宿安排依校方當年度規定。,https://www.google.com/maps/search/?api=1&query=264014+%E5%AE%9C%E8%98%AD%E7%B8%A3%E5%93%A1%E5%B1%B1%E9%84%89%E5%8D%94%E9%80%B2%E8%B7%AF88%E8%99%9F; https://web.hdsh.ilc.edu.tw/,"https://web.hdsh.ilc.edu.tw/p/405-1000-370,c194.php","https://web.hdsh.ilc.edu.tw/p/405-1000-370,c194.php",https://www.google.com/maps/search/?api=1&query=264014+%E5%AE%9C%E8%98%AD%E7%B8%A3%E5%93%A1%E5%B1%B1%E9%84%89%E5%8D%94%E9%80%B2%E8%B7%AF88%E8%99%9F,https://web.hdsh.ilc.edu.tw/,"https://web.hdsh.ilc.edu.tw/p/405-1000-5388,c168.php","https://web.hdsh.ilc.edu.tw/p/406-1000-8537,r33.php?Lang=zh-tw"
,021310,私立中道高中,私立,宜蘭區學校名錄,綜高,男女校,宜蘭縣,壯圍鄉,宜蘭縣壯圍鄉中央路三段312巷7號,https://www.cdsh.ilc.edu.tw/,03-9306696,普通科:80；(產特):3；產特:11；(產特):4；(產特):5；綜合高中:96；商業經營科:29,228,228,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。；115學年度宜蘭區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,普通高中與綜合高中並行，並有商業經營等專業方向；校方另以升學、交通車與住宿管理為特色。,,依115學年度學校課程計畫辦理普通高中與綜合高中課程；綜高依學術及專門方向選修，實際學程以校方當年度課程計畫為準。,依普通／綜高課程安排自主學習與專業實作；網站未標示115學年度全校統一專題題目。,官網首頁設「查詢交通車」與交通公告，學生交通車依校方查詢系統及當學年度公告安排；網站首頁未公開完整固定站點表。,需要搭乘校車者應以校方「查詢交通車」系統確認路線與站點；舊版新生專區亦有學生搭乘交通車須知。,校方设学生宿舍，官網有住宿公告、新生宿舍床位安排、住宿規定與晚間作息資料；目前實際床位依115學年度公告。,https://www.google.com/maps/search/?api=1&query=%E5%AE%9C%E8%98%AD%E7%B8%A3%E5%A3%AF%E5%9C%8D%E9%84%89%E4%B8%AD%E5%A4%AE%E8%B7%AF%E4%B8%89%E6%AE%B5312%E5%B7%B77%E8%99%9F; https://www.cdsh.ilc.edu.tw/,https://www.cdsh.ilc.edu.tw/,https://www.cdsh.ilc.edu.tw/index.php/en/2020-04-14-09-31-33?start=10,https://www.google.com/maps/search/?api=1&query=%E5%AE%9C%E8%98%AD%E7%B8%A3%E5%A3%AF%E5%9C%8D%E9%84%89%E4%B8%AD%E5%A4%AE%E8%B7%AF%E4%B8%89%E6%AE%B5312%E5%B7%B77%E8%99%9F,https://www.cdsh.ilc.edu.tw/index.php/ar/2018-09-07-09-07-17/1270-115,https://www.cdsh.ilc.edu.tw/index.php/ar/2018-09-07-09-07-17/1270-115,https://www.cdsh.ilc.edu.tw/index.php/ar/2018-09-07-09-07-17/1270-115
