排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,資優班/特色班,課程方向,實習／專題,校車／專車資訊,通勤資訊,住宿資訊,Google地圖,課程資料來源,實習專題資料來源,校車／專車資料來源,通勤資料來源,住宿資料來源,地址資料來源,生活資料來源,資料更新日期
,061306,臺中市私立明台高級中學,私立,彰化區免試入學日間部,高職,不限,臺中市,霧峰區,413 臺中市霧峰區萊園路91號,https://www.mths.tc.edu.tw/,,資料處理科:2(不限)；觀光事業科:5(不限)；餐飲管理科:5(不限)；幼兒保育科:2(不限)；美容科:2(不限)；室內設計科:2(不限),18,18,請以各校當年度公告為準,臺中市私立明台高級中學：臺中市明台高級中學依資料處理科、觀光事業科、餐飲管理科、幼兒保育科、美容科、室內設計科規劃專業課程，學習涵蓋建築與空間、商管與數位應用、餐旅與服務、家政與照護，並配置專業科目、實習科目、技能應用與專題實作。,臺中市私立明台高級中學：臺中市明台高級中學各專業科別安排實習操作與專題實作，內容對應建築與空間、商管與數位應用、餐旅與服務、家政與照護，並結合設備操作、技能訓練、作品製作或成果發表。,臺中市私立明台高級中學：有校車。115學年度新生可登記搭乘校車，校方提供站名代碼與校車申請系統。,臺中市私立明台高級中學：可搭 291 路公車，在「明台高中」站下車後步行進入校園。,臺中市私立明台高級中學：臺中市明台高級中學的一般招生學生住宿制度目前沒有足以確認適用對象與申請方式的校方制度資訊。,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E4%B8%AD%E5%B8%82%E7%A7%81%E7%AB%8B%E6%98%8E%E5%8F%B0%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20413%20%E8%87%BA%E4%B8%AD%E5%B8%82%E9%9C%A7%E5%B3%B0%E5%8D%80%E8%90%8A%E5%9C%92%E8%B7%AF91%E8%99%9F,https://www.mths.tc.edu.tw/index,https://www.mths.tc.edu.tw/InternshipOffice,https://www.mths.tc.edu.tw/announcement/9149bbe0-7679-11f1-b357-cbe6b899b5a1?page=1,https://citybus-free.taichung.gov.tw/driving-map?route=291,https://www.mths.tc.edu.tw,https://www.mths.tc.edu.tw,https://www.mths.tc.edu.tw,2026-09-08
,063408,臺中市立霧峰農業工業高級中等學校,公立,彰化區免試入學日間部,高職,不限,臺中市,霧峰區,413010 臺中市霧峰區中正路1222號,https://wufai.tc.edu.tw/,,餐飲管理科:1(不限),1,1,請以各校當年度公告為準,臺中市立霧峰農業工業高級中等學校依園藝科、食品加工科、機械科、汽車科、電子科、電機科規劃專業課程，學習涵蓋農業與食品、機械與製造、資電與工程、餐旅與服務，並配置專業科目、實習科目、技能應用與專題實作。,臺中市立霧峰農業工業高級中等學校各專業科別安排實習操作與專題實作，內容對應農業與食品、機械與製造、資電與工程、餐旅與服務，並結合設備操作、技能訓練、作品製作或成果發表。,臺中市立霧峰農業工業高級中等學校的固定校車／學生專車服務目前沒有足以確認適用對象與路線的校方制度資訊。,臺中市立霧峰農業工業高級中等學校：可由臺中車站或大里轉乘 291 路公車，在「霧峰農工」站下車後步行到校。,臺中市立霧峰農業工業高級中等學校的一般招生學生住宿制度目前沒有足以確認適用對象與申請方式的校方制度資訊。,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E4%B8%AD%E5%B8%82%E7%AB%8B%E9%9C%A7%E5%B3%B0%E8%BE%B2%E6%A5%AD%E5%B7%A5%E6%A5%AD%E9%AB%98%E7%B4%9A%E4%B8%AD%E7%AD%89%E5%AD%B8%E6%A0%A1%20413010%20%E8%87%BA%E4%B8%AD%E5%B8%82%E9%9C%A7%E5%B3%B0%E5%8D%80%E4%B8%AD%E6%AD%A3%E8%B7%AF1222%E8%99%9F,https://wufai.tc.edu.tw,https://wufai.tc.edu.tw,https://wufai.tc.edu.tw,https://citybus-free.taichung.gov.tw/driving-map?route=291,https://wufai.tc.edu.tw,https://wufai.tc.edu.tw,https://wufai.tc.edu.tw,2026-09-08
,063C08,臺中市立霧峰農業工業高級中等學校進修部,公立,彰化區免試入學進修部,進修部,不限,臺中市,霧峰區,413010 臺中市霧峰區中正路1222號,https://wufai.tc.edu.tw/,,食品加工科(夜間班):1(不限)；汽車科(夜間班):1(不限),2,2,請以各校當年度公告為準,臺中市立霧峰農業工業高級中等學校進修部以食品加工科、汽車科為主要學習科別，課程兼顧一般科目與農業與食品、機械與製造專業核心，並依進修學制安排實務與技能應用課程。,臺中市立霧峰農業工業高級中等學校進修部的實作學習依食品加工科、汽車科配置專業實習與專題實作，重點放在農業與食品、機械與製造技能操作、作品製作與成果呈現。,臺中市立霧峰農業工業高級中等學校進修部的固定校車／學生專車服務目前沒有足以確認適用對象與路線的校方制度資訊。,臺中市立霧峰農業工業高級中等學校進修部：可由臺中車站或大里轉乘 291 路公車，在「霧峰農工」站下車後步行到校。,臺中市立霧峰農業工業高級中等學校進修部的一般招生學生住宿制度目前沒有足以確認適用對象與申請方式的校方制度資訊。,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E4%B8%AD%E5%B8%82%E7%AB%8B%E9%9C%A7%E5%B3%B0%E8%BE%B2%E6%A5%AD%E5%B7%A5%E6%A5%AD%E9%AB%98%E7%B4%9A%E4%B8%AD%E7%AD%89%E5%AD%B8%E6%A0%A1%E9%80%B2%E4%BF%AE%E9%83%A8%20413010%20%E8%87%BA%E4%B8%AD%E5%B8%82%E9%9C%A7%E5%B3%B0%E5%8D%80%E4%B8%AD%E6%AD%A3%E8%B7%AF1222%E8%99%9F,https://wufai.tc.edu.tw,https://wufai.tc.edu.tw,https://wufai.tc.edu.tw,https://citybus-free.taichung.gov.tw/driving-map?route=291,https://wufai.tc.edu.tw,https://wufai.tc.edu.tw,https://wufai.tc.edu.tw,2026-09-08
,070301,國立彰化女子高級中學,公立,彰化區免試入學日間部,高中,女生,彰化縣,彰化市,500 彰化縣彰化市光復路62號,https://www.chgsh.chc.edu.tw/,,普通科:386(女生),386,386,請以各校當年度公告為準,國立彰化女子高級中學：115學年度以普通高中部定課程為基礎，搭配校訂必修、多元選修、自然與社會探究實作、自主學習及生涯探索。,國立彰化女子高級中學：以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段主要的實作／專題型學習。,國立彰化女子高級中學：目前沒有公開固定的高中部校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,國立彰化女子高級中學：可由臺鐵彰化站轉乘彰化市區公車至學校所在道路周邊站點，下車後步行到校。,國立彰化女子高級中學：目前沒有公開的一般高中職學生固定住宿申請資訊；特定隊伍、特殊班別或特殊身分住宿不視為一般學生住宿。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%BD%B0%E5%8C%96%E5%A5%B3%E5%AD%90%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20500%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E5%85%89%E5%BE%A9%E8%B7%AF62%E8%99%9F,https://www.chgsh.chc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.chgsh.chc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.chgsh.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%BD%B0%E5%8C%96%E5%A5%B3%E5%AD%90%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20500%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E5%85%89%E5%BE%A9%E8%B7%AF62%E8%99%9F,https://www.chgsh.chc.edu.tw/,https://www.chgsh.chc.edu.tw/,https://www.chgsh.chc.edu.tw/,2026-09-08
,070304,國立員林高級中學,公立,彰化區免試入學日間部,高中,不限,彰化縣,員林市,51048 彰化縣員林市靜修路79號,https://www.ylsh.chc.edu.tw/,,普通科:418(不限),418,418,請以各校當年度公告為準,國立員林高級中學：115學年度以普通高中部定課程為基礎，搭配校訂必修、多元選修、自然與社會探究實作、自主學習及生涯探索。,國立員林高級中學：以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段主要的實作／專題型學習。,國立員林高級中學：目前沒有公開固定的高中部校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,國立員林高級中學：可由臺鐵員林站轉乘員林市區公車至學校周邊站點，下車後步行到校。,國立員林高級中學：目前沒有公開的一般高中職學生固定住宿申請資訊；特定隊伍、特殊班別或特殊身分住宿不視為一般學生住宿。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%93%A1%E6%9E%97%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%2051048%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%93%A1%E6%9E%97%E5%B8%82%E9%9D%9C%E4%BF%AE%E8%B7%AF79%E8%99%9F,https://www.ylsh.chc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.ylsh.chc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.ylsh.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%93%A1%E6%9E%97%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%2051048%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%93%A1%E6%9E%97%E5%B8%82%E9%9D%9C%E4%BF%AE%E8%B7%AF79%E8%99%9F,https://www.ylsh.chc.edu.tw/,https://www.ylsh.chc.edu.tw/,https://www.ylsh.chc.edu.tw/,2026-09-08
,070307,國立彰化高級中學,公立,彰化區免試入學日間部,高中,男生,彰化縣,彰化市,500017 彰化縣彰化市中興路78號,https://www.chsh.chc.edu.tw/,,普通科:494(男生),494,494,請以各校當年度公告為準,國立彰化高級中學：115學年度以普通高中部定課程為基礎，搭配校訂必修、多元選修、自然與社會探究實作、自主學習及生涯探索。,國立彰化高級中學：以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段主要的實作／專題型學習。,國立彰化高級中學：目前沒有公開固定的高中部校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,國立彰化高級中學：可由臺鐵彰化站轉乘彰化市區公車至學校所在道路周邊站點，下車後步行到校。,國立彰化高級中學：學校設有學生宿舍。115學年度持續辦理高一新生床位及住宿生生活管理，宿舍並提供餐食。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%BD%B0%E5%8C%96%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20500017%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E4%B8%AD%E8%88%88%E8%B7%AF78%E8%99%9F,https://www.chsh.chc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.chsh.chc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.chsh.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%BD%B0%E5%8C%96%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20500017%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E4%B8%AD%E8%88%88%E8%B7%AF78%E8%99%9F,https://www.chsh.chc.edu.tw/p/412-1009-142.php?Lang=zh-tw,https://www.chsh.chc.edu.tw/,https://www.chsh.chc.edu.tw/,2026-09-08
,070316,國立鹿港高級中學,公立,彰化區免試入學日間部,綜高,不限,彰化縣,鹿港鎮,505 彰化縣鹿港鎮東石里中山路661號,https://www.lksh.chc.edu.tw/,,普通科:134(不限)；汽車科:53(不限)；商業經營科:79(不限)；國際貿易科:57(不限)；水產養殖科:25(不限),348,348,請以各校當年度公告為準,國立鹿港高級中學：普通科與綜合高中學習路徑並行，115學年度技術型方向包含商業經營、國際貿易、資料處理等，另有體育班與多元選修。,國立鹿港高級中學：各專業科別依115學年度課程安排實習、實作與專題製作，學生透過操作、作品或成果發表整合所學。,國立鹿港高級中學：有學生專車。115學年度第一學期共安排10台學生專車，校方公布各路線、站點、發車時間與整學期登記方式。,國立鹿港高級中學：可由臺鐵彰化站轉乘往鹿港方向的公車，在鹿港市區學校周邊站點下車後步行到校。,國立鹿港高級中學：學校設有學生宿舍。115新生專區列有宿舍規定與住宿資訊，住宿生依校方程序辦理入住。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E9%B9%BF%E6%B8%AF%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20505%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E9%B9%BF%E6%B8%AF%E9%8E%AE%E6%9D%B1%E7%9F%B3%E9%87%8C%E4%B8%AD%E5%B1%B1%E8%B7%AF661%E8%99%9F,https://www.lksh.chc.edu.tw/p/405-1005-187007%2Cc1470.php?Lang=zh-tw | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.lksh.chc.edu.tw/p/405-1005-187007%2Cc1470.php?Lang=zh-tw | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.lksh.chc.edu.tw/p/406-1005-195157%2Cr14.php?Lang=zh-tw,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E9%B9%BF%E6%B8%AF%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20505%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E9%B9%BF%E6%B8%AF%E9%8E%AE%E6%9D%B1%E7%9F%B3%E9%87%8C%E4%B8%AD%E5%B1%B1%E8%B7%AF661%E8%99%9F,https://www.lksh.chc.edu.tw/p/412-1005-92.php?Lang=zh-tw,https://www.lksh.chc.edu.tw/,https://www.lksh.chc.edu.tw/,2026-09-08
,070319,國立溪湖高級中學,公立,彰化區免試入學日間部,綜高,不限,彰化縣,溪湖鎮,51452 彰化縣溪湖鎮大溪路二段86號,https://www.hhsh.chc.edu.tw/,,綜合高中:383(不限),383,383,請以各校當年度公告為準,國立溪湖高級中學：115學年度以普通科與綜合高中為主，另設語文實驗班、數理實驗班，課程包含校訂必修、多元選修、探究實作與自主學習。,國立溪湖高級中學：以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段主要的實作／專題型學習。,國立溪湖高級中學：有學生專車。115學年度新生可依甲、乙、丙區站點地圖選擇鄰近站點並提出搭乘申請。,國立溪湖高級中學：可由臺鐵員林站轉乘往溪湖方向的客運，在溪湖市區學校周邊站點下車後步行到校。,國立溪湖高級中學：學校設有學生住宿申請。115學年度新生報到資料包含住宿申請注意事項，住宿依校方程序辦理。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%BA%AA%E6%B9%96%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%2051452%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E6%BA%AA%E6%B9%96%E9%8E%AE%E5%A4%A7%E6%BA%AA%E8%B7%AF%E4%BA%8C%E6%AE%B586%E8%99%9F,https://www.hhsh.chc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.hhsh.chc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.hhsh.chc.edu.tw/ischool/publish_page/5/?cid=1853,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%BA%AA%E6%B9%96%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%2051452%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E6%BA%AA%E6%B9%96%E9%8E%AE%E5%A4%A7%E6%BA%AA%E8%B7%AF%E4%BA%8C%E6%AE%B586%E8%99%9F,https://www.hhsh.chc.edu.tw/ischool/public/news_view/show.php?nid=12842,https://www.hhsh.chc.edu.tw/,https://www.hhsh.chc.edu.tw/,2026-09-08
,070401,國立彰化師範大學附屬高級工業職業學校,公立,彰化區免試入學日間部,高職,不限,彰化縣,彰化市,500 彰化縣彰化市工校街1號,https://www.sivs.chc.edu.tw/,,機械科:54(不限)；鑄造科(產特):31(不限)；汽車科:43(不限)；資訊科:25(不限)；電子科:58(不限)；控制科:30(不限)；電機科:50(不限)；建築科:55(不限)；機械木模科(產特):32(不限)；機電科:61(不限)；製圖科:30(不限),469,469,請以各校當年度公告為準,國立彰化師範大學附屬高級工業職業學校：115學年度以機械科、鑄造科(產特)、汽車科、資訊科、電子科、控制科、電機科、建築科等專業科別為主，各科配置專業核心、校訂選修、實習實作與職涯銜接課程。,國立彰化師範大學附屬高級工業職業學校：各專業科別依115學年度課程安排實習、實作與專題製作，學生透過操作、作品或成果發表整合所學。,國立彰化師範大學附屬高級工業職業學校：目前沒有公開固定的高中部校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,國立彰化師範大學附屬高級工業職業學校：可由臺鐵彰化站轉乘彰化市區公車至學校所在道路周邊站點，下車後步行到校。,國立彰化師範大學附屬高級工業職業學校：學校設有學生宿舍。115學年度上學期公布高一新生住宿錄取名單、床位與入住注意事項。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%BD%B0%E5%8C%96%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E9%99%84%E5%B1%AC%E9%AB%98%E7%B4%9A%E5%B7%A5%E6%A5%AD%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1%20500%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E5%B7%A5%E6%A0%A1%E8%A1%971%E8%99%9F,https://www.sivs.chc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.sivs.chc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.sivs.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%BD%B0%E5%8C%96%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E9%99%84%E5%B1%AC%E9%AB%98%E7%B4%9A%E5%B7%A5%E6%A5%AD%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1%20500%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E5%B7%A5%E6%A0%A1%E8%A1%971%E8%99%9F,https://www.sivs.chc.edu.tw/files/15-1000-32948%2Cc88-1.php,https://www.sivs.chc.edu.tw/,https://www.sivs.chc.edu.tw/,2026-09-08
,070402,國立永靖高級工業職業學校,公立,彰化區免試入學日間部,高職,不限,彰化縣,永靖鄉,51247 彰化縣永靖鄉永坡路101號,https://www.yjvs.chc.edu.tw/,,機械科:82(不限)；資訊科:27(不限)；電機科:51(不限)；建築科:28(不限)；化工科:57(不限)；製圖科:25(不限)；室內空間設計科:27(不限),297,297,請以各校當年度公告為準,國立永靖高級工業職業學校：115學年度以機械科、資訊科、電機科、建築科、化工科、製圖科、室內空間設計科等專業科別為主，各科配置專業核心、校訂選修、實習實作與職涯銜接課程。,國立永靖高級工業職業學校：各專業科別依115學年度課程安排實習、實作與專題製作，學生透過操作、作品或成果發表整合所學。,國立永靖高級工業職業學校：有學生通學專車。115學年度校方已辦理學生通學專車採購，依學期路線與站點安排學生上下學。,國立永靖高級工業職業學校：可由臺鐵員林站轉乘往永靖方向公車，在永靖市區學校周邊站點下車後步行到校。,國立永靖高級工業職業學校：目前沒有公開的一般高中職學生固定住宿申請資訊；特定隊伍、特殊班別或特殊身分住宿不視為一般學生住宿。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%B0%B8%E9%9D%96%E9%AB%98%E7%B4%9A%E5%B7%A5%E6%A5%AD%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1%2051247%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E6%B0%B8%E9%9D%96%E9%84%89%E6%B0%B8%E5%9D%A1%E8%B7%AF101%E8%99%9F,https://www.yjvs.chc.edu.tw/home?cid=1883 | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.yjvs.chc.edu.tw/home?cid=1883 | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.yjvs.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%B0%B8%E9%9D%96%E9%AB%98%E7%B4%9A%E5%B7%A5%E6%A5%AD%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1%2051247%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E6%B0%B8%E9%9D%96%E9%84%89%E6%B0%B8%E5%9D%A1%E8%B7%AF101%E8%99%9F,https://www.yjvs.chc.edu.tw/,https://www.yjvs.chc.edu.tw/,https://www.yjvs.chc.edu.tw/,2026-09-08
