排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,分數來源備註,資優班/特色班,排序分數,課程方向,實習／專題,交通方式,通勤資訊,住宿資訊,生活資料來源,交通資料來源,住宿資料來源,Google地圖,地址資料來源,課程資料來源,實習專題資料來源
,061306,臺中市私立明台高級中學,私立,彰化區免試入學日間部,高職,不限,臺中市,霧峰區,413 臺中市霧峰區萊園路91號,https://www.mths.tc.edu.tw/,,資料處理科:2(不限)；觀光事業科:5(不限)；餐飲管理科:5(不限)；幼兒保育科:2(不限)；美容科:2(不限)；室內設計科:2(不限),18,18,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,技術型課程以餐飲、觀光、室內設計、美容、幼保、資料處理等專業方向為主，另有餐飲技術、寵物經營、表演技術、美髮／美顏等實務類課程。,官網實習處說明包含實務教學、業師協同、實務增能、產學合作與就業銜接；各科成果以專業實作與技藝成果為主。,官網115學年度公告提供新生校車填報與站名代碼查詢；官網首頁未標示固定公車到校路線。,校車站點與搭乘方式由校方當學年度校車公告管理；官網未標示其他固定通勤班次或步行時間。,學校官網未標示115學年度校內學生宿舍申請資訊。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=413%20%E8%87%BA%E4%B8%AD%E5%B8%82%E9%9C%A7%E5%B3%B0%E5%8D%80%E8%90%8A%E5%9C%92%E8%B7%AF91%E8%99%9F；學校官網：https://www.mths.tc.edu.tw/,https://www.mths.tc.edu.tw/,https://www.mths.tc.edu.tw/,https://www.google.com/maps/search/?api=1&query=413%20%E8%87%BA%E4%B8%AD%E5%B8%82%E9%9C%A7%E5%B3%B0%E5%8D%80%E8%90%8A%E5%9C%92%E8%B7%AF91%E8%99%9F,https://www.mths.tc.edu.tw/,https://www.mths.tc.edu.tw/,https://www.mths.tc.edu.tw/InternshipOffice
,063408,臺中市立霧峰農業工業高級中等學校,公立,彰化區免試入學日間部,高職,不限,臺中市,霧峰區,413010 臺中市霧峰區中正路1222號,https://wufai.tc.edu.tw/,,餐飲管理科:1(不限),1,1,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,農業、食品與餐旅、汽車、機械、電機、電子等技術型課程；本表招生科別包含餐飲管理、食品加工與汽車。,官網設實習處及各專業科，課程以專業實習與技能實作為核心；網站未標示全校統一專題題目。,官方交通資料列明：臺中車站可搭200、107、108或50路公車至「霧峰農工」；高鐵臺中站可搭151路前往霧峰地區。,官網交通資料已列固定公車路線；進修部夜間回程班次網站未標示。,學校官網未標示115學年度校內學生宿舍申請資訊。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=413010%20%E8%87%BA%E4%B8%AD%E5%B8%82%E9%9C%A7%E5%B3%B0%E5%8D%80%E4%B8%AD%E6%AD%A3%E8%B7%AF1222%E8%99%9F；學校官網：https://wufai.tc.edu.tw/,https://school.tc.edu.tw/open-message/193518/get-file/656d1978ee73253190624865.pdf,https://wufai.tc.edu.tw/,https://www.google.com/maps/search/?api=1&query=413010%20%E8%87%BA%E4%B8%AD%E5%B8%82%E9%9C%A7%E5%B3%B0%E5%8D%80%E4%B8%AD%E6%AD%A3%E8%B7%AF1222%E8%99%9F,https://wufai.tc.edu.tw/,https://wufai.tc.edu.tw/,https://wufai.tc.edu.tw/
,063C08,臺中市立霧峰農業工業高級中等學校進修部,公立,彰化區免試入學進修部,進修部,不限,臺中市,霧峰區,413010 臺中市霧峰區中正路1222號,https://wufai.tc.edu.tw/,,食品加工科(夜間班):1(不限)；汽車科(夜間班):1(不限),2,2,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,農業、食品與餐旅、汽車、機械、電機、電子等技術型課程；本表招生科別包含餐飲管理、食品加工與汽車。,官網設實習處及各專業科，課程以專業實習與技能實作為核心；網站未標示全校統一專題題目。,官方交通資料列明：臺中車站可搭200、107、108或50路公車至「霧峰農工」；高鐵臺中站可搭151路前往霧峰地區。 進修部官網未標示日間部學生專車是否適用夜間班。,進修部官網未標示夜間專用交通班次；不可將日間部學生專車視為進修部可搭乘。,進修部官網未標示進修部學生住宿申請資格。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=413010%20%E8%87%BA%E4%B8%AD%E5%B8%82%E9%9C%A7%E5%B3%B0%E5%8D%80%E4%B8%AD%E6%AD%A3%E8%B7%AF1222%E8%99%9F；學校官網：https://wufai.tc.edu.tw/,https://school.tc.edu.tw/open-message/193518/get-file/656d1978ee73253190624865.pdf,https://wufai.tc.edu.tw/,https://www.google.com/maps/search/?api=1&query=413010%20%E8%87%BA%E4%B8%AD%E5%B8%82%E9%9C%A7%E5%B3%B0%E5%8D%80%E4%B8%AD%E6%AD%A3%E8%B7%AF1222%E8%99%9F,https://wufai.tc.edu.tw/,https://wufai.tc.edu.tw/,https://wufai.tc.edu.tw/
,070301,國立彰化女子高級中學,公立,彰化區免試入學日間部,高中,女生,彰化縣,彰化市,500 彰化縣彰化市光復路62號,https://www.chgsh.chc.edu.tw/,,普通科:386(女生),386,386,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,普通高中學術課程，另有語文資優、數理資優、雙語實驗等特色班級，並提供多元選修與自主學習。,自主學習規劃可採實作實驗、專題製作、實察體驗、小論文等形式；不設固定職業實習。,官網交通路線資訊指出，從臺鐵彰化站沿光復路步行到校約10分鐘。,臺鐵彰化站至校可直接步行；官網未標示固定學生專車。,校方設有學生宿舍，官網公開宿舍管理與聯絡資訊；實際床位依當學年度住宿公告。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=500%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E5%85%89%E5%BE%A9%E8%B7%AF62%E8%99%9F；學校官網：https://www.chgsh.chc.edu.tw/,https://www.chgsh.chc.edu.tw/公告訊息/sample-page/交通路線圖/,https://www.chgsh.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=500%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E5%85%89%E5%BE%A9%E8%B7%AF62%E8%99%9F,https://www.chgsh.chc.edu.tw/公告訊息/sample-page/本校現況/,https://www.chgsh.chc.edu.tw/公告訊息/sample-page/本校現況/,https://www.chgsh.chc.edu.tw/
,070304,國立員林高級中學,公立,彰化區免試入學日間部,高中,不限,彰化縣,員林市,51048 彰化縣員林市靜修路79號,https://www.ylsh.chc.edu.tw/,,普通科:418(不限),418,418,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,普通高中學術課程，搭配多元選修、彈性學習與自主學習。,不設固定職業實習；自主學習／探究成果依課程與學生規劃進行，網站未標示全校統一專題題目。,官網乘車資訊列有員林客運到校路線；校門外設Moovo「員林高中站」。,官網資料指出臺鐵員林站至學校約900公尺，騎公共自行車約6至10分鐘。,校方設有學生宿舍，官網規章專區列有宿舍管理、生活管理與住宿費用規定。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=51048%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%93%A1%E6%9E%97%E5%B8%82%E9%9D%9C%E4%BF%AE%E8%B7%AF79%E8%99%9F；學校官網：https://www.ylsh.chc.edu.tw/,https://www.ylsh.chc.edu.tw/ischool/publish_page/69/?cid=1081,https://www.ylsh.chc.edu.tw/home?cid=1050,https://www.google.com/maps/search/?api=1&query=51048%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%93%A1%E6%9E%97%E5%B8%82%E9%9D%9C%E4%BF%AE%E8%B7%AF79%E8%99%9F,https://www.ylsh.chc.edu.tw/home?cid=307,https://www.ylsh.chc.edu.tw/,https://www.ylsh.chc.edu.tw/home?cid=1050
,070307,國立彰化高級中學,公立,彰化區免試入學日間部,高中,男生,彰化縣,彰化市,500017 彰化縣彰化市中興路78號,https://www.chsh.chc.edu.tw/,,普通科:494(男生),494,494,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,普通高中學術課程，並有自主學習、科學研究、AI／機器人與音樂等特色學習活動。,官網可見數學研究專題、科展、黑客松與AI成果發表等專題成果；不設固定職業實習。,學校官網設「交通資訊／交通路線」入口，但首頁文字未標示固定公車路線或學生專車班次。,網站未標示固定通勤班次或彰化車站至校步行時間。,校方設有學生宿舍並有住宿相關公告；實際入住資格與床位依當學年度公告。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=500017%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E4%B8%AD%E8%88%88%E8%B7%AF78%E8%99%9F；學校官網：https://www.chsh.chc.edu.tw/,https://www.chsh.chc.edu.tw/app/,https://www.chsh.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=500017%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E4%B8%AD%E8%88%88%E8%B7%AF78%E8%99%9F,https://www.chsh.chc.edu.tw/,https://www.chsh.chc.edu.tw/,https://www.chsh.chc.edu.tw/
,070316,國立鹿港高級中學,公立,彰化區免試入學日間部,綜高,不限,彰化縣,鹿港鎮,505 彰化縣鹿港鎮東石里中山路661號,https://www.lksh.chc.edu.tw/,,普通科:134(不限)；汽車科:53(不限)；商業經營科:79(不限)；國際貿易科:57(不限)；水產養殖科:25(不限),348,348,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,普通科與汽車、商業經營、國際貿易、水產養殖等技術型科別並行，兼具普通高中與技職方向。,汽車科官網列有專題實作與專業維修實習；商業類可見經濟專題研究；進修部課程亦有專題製作。,官網設「地理交通」與學生專車資訊入口；官網首頁未標示固定公車班次。,學生專車站點與時間依校方公告；網站未標示其他固定通勤班次或步行時間。,校方設有學生宿舍並有宿舍管理規定；實際床位與申請資格依當學年度公告。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=505%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E9%B9%BF%E6%B8%AF%E9%8E%AE%E6%9D%B1%E7%9F%B3%E9%87%8C%E4%B8%AD%E5%B1%B1%E8%B7%AF661%E8%99%9F；學校官網：https://www.lksh.chc.edu.tw/,https://www.lksh.chc.edu.tw/,https://www.lksh.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=505%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E9%B9%BF%E6%B8%AF%E9%8E%AE%E6%9D%B1%E7%9F%B3%E9%87%8C%E4%B8%AD%E5%B1%B1%E8%B7%AF661%E8%99%9F,https://www.lksh.chc.edu.tw/p/412-1005-1470.php?Lang=zh-tw,https://www.lksh.chc.edu.tw/,https://www.lksh.chc.edu.tw/p/412-1005-453.php
,070319,國立溪湖高級中學,公立,彰化區免試入學日間部,綜高,不限,彰化縣,溪湖鎮,51452 彰化縣溪湖鎮大溪路二段86號,https://www.hhsh.chc.edu.tw/,,綜合高中:383(不限),383,383,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,綜合高中課程，依課程計畫與選課進行學術／專門學程分流；網站未標示單一固定專業方向。,網站未標示全校統一實習或專題內容。,學校官網未標示具體大眾運輸路線或固定學生專車班次。,網站未標示固定通勤班次或步行時間。,校方設有學生宿舍，官網公布學生宿舍聯絡資訊；申請與床位依當學年度公告。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=51452%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E6%BA%AA%E6%B9%96%E9%8E%AE%E5%A4%A7%E6%BA%AA%E8%B7%AF%E4%BA%8C%E6%AE%B586%E8%99%9F；學校官網：https://www.hhsh.chc.edu.tw/,https://www.hhsh.chc.edu.tw/,https://www.hhsh.chc.edu.tw/home?cid=876,https://www.google.com/maps/search/?api=1&query=51452%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E6%BA%AA%E6%B9%96%E9%8E%AE%E5%A4%A7%E6%BA%AA%E8%B7%AF%E4%BA%8C%E6%AE%B586%E8%99%9F,https://www.hhsh.chc.edu.tw/home?cid=876,https://www.hhsh.chc.edu.tw/,https://www.hhsh.chc.edu.tw/
,070401,國立彰化師範大學附屬高級工業職業學校,公立,彰化區免試入學日間部,高職,不限,彰化縣,彰化市,500 彰化縣彰化市工校街1號,https://www.sivs.chc.edu.tw/,,機械科:54(不限)；鑄造科(產特):31(不限)；汽車科:43(不限)；資訊科:25(不限)；電子科:58(不限)；控制科:30(不限)；電機科:50(不限)；建築科:55(不限)；機械木模科(產特):32(不限)；機電科:61(不限)；製圖科:30(不限),469,469,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,機械、鑄造、汽車、資訊、電子、控制、電機、建築、機電、製圖、機械木模等工業技術課程。,各科以工場實習、機電控制、電子電路、製造／設計與專題實作為核心；控制科可見PLC、智慧家庭、機器人等專題導向實作。,官方交通資料列明：臺鐵彰化站可搭彰化客運／臺中客運101路，在「和調里」或「原民館」下車後步行約10分鐘到校。,官網交通資料另列高鐵轉乘動線；固定通勤方式以101路與站點步行為主。,校方設有學生宿舍及宿舍管理資訊；申請資格與床位依當學年度公告。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=500%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E5%B7%A5%E6%A0%A1%E8%A1%971%E8%99%9F；學校官網：https://www.sivs.chc.edu.tw/,https://www.sivs.chc.edu.tw/ezfiles/0/1000/attach/94/pta_27909_4573997_47327.pdf,https://www.sivs.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=500%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E5%B7%A5%E6%A0%A1%E8%A1%971%E8%99%9F,https://www.sivs.chc.edu.tw/,https://www.sivs.chc.edu.tw/,https://www.sivs.chc.edu.tw/ezfiles/0/1000/img/17/467795997.pdf
,070402,國立永靖高級工業職業學校,公立,彰化區免試入學日間部,高職,不限,彰化縣,永靖鄉,51247 彰化縣永靖鄉永坡路101號,https://www.yjvs.chc.edu.tw/,,機械科:82(不限)；資訊科:27(不限)；電機科:51(不限)；建築科:28(不限)；化工科:57(不限)；製圖科:25(不限)；室內空間設計科:27(不限),297,297,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,機械、資訊、電機、建築、化工、製圖、室內空間設計等工業技術課程。,以各科專業實習與技能實作為主；網站未標示全校統一專題題目。,學校官網首頁未標示具體大眾運輸路線或固定學生專車班次。,網站未標示固定通勤班次或步行時間。,學校官網未標示115學年度校內學生宿舍申請資訊。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=51247%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E6%B0%B8%E9%9D%96%E9%84%89%E6%B0%B8%E5%9D%A1%E8%B7%AF101%E8%99%9F；學校官網：https://www.yjvs.chc.edu.tw/,https://www.yjvs.chc.edu.tw/,https://www.yjvs.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=51247%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E6%B0%B8%E9%9D%96%E9%84%89%E6%B0%B8%E5%9D%A1%E8%B7%AF101%E8%99%9F,https://www.yjvs.chc.edu.tw/,https://www.yjvs.chc.edu.tw/,https://www.yjvs.chc.edu.tw/
