排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,資優班/特色班,課程方向,實習／專題,校車／專車資訊,通勤資訊,住宿資訊,Google地圖,課程資料來源,實習專題資料來源,校車／專車資料來源,通勤資料來源,住宿資料來源,地址資料來源,生活資料來源,資料更新日期
,030305,國立中央大學附屬中壢高中,公立,桃連區日間部,綜高,男女校,桃園市,中壢區,桃園市中壢區三光路115號,http://www.clhs.tyc.edu.tw,(03)4932181,普通科:612；機械科:62；模具科:31；生物產業機電科:62；汽車科:52,819,819,,115學年度普通科課程包含「閱讀理解與表達」、「壢中小大學」、自然科學探究與實作、多元選修與班群深化選修，並提供數理資優等學習路徑。,以自然科學探究與實作、閱讀表達、壢中小大學與自主學習成果為主要專題型學習，學生可依班群延伸研究與成果發表。,有學生專車與交通車。115-1設大湳、大溪、中壢客運總站接駁、南崁、藝文特區、龍潭石門等路線，另有正班公車入校服務。,可由臺鐵中壢站轉乘市區公車；機場捷運A22老街溪站步行約15分鐘，A21環北站步行約21分鐘，校門旁亦有YouBike中壢高中站。,國立中央大學附屬中壢高中目前沒有公開的一般高中職學生固定住宿申請制度資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%A4%AE%E5%A4%A7%E5%AD%B8%E9%99%84%E5%B1%AC%E4%B8%AD%E5%A3%A2%E9%AB%98%E4%B8%AD%20%E6%A1%83%E5%9C%92%E5%B8%82%E4%B8%AD%E5%A3%A2%E5%8D%80%E4%B8%89%E5%85%89%E8%B7%AF115%E8%99%9F,https://www.clhs.tyc.edu.tw/ischool/publish_page/536/?cid=13502,https://www.clhs.tyc.edu.tw/ischool/publish_page/536/?cid=13502,https://www.clhs.tyc.edu.tw/ischool/temp/file/A_bWFpbl9tZW51KnVwbG9hZGVyX3VpZCoxNzgxMTQ2NjAxMzM5/6df3998660dd4bb519c2d2ba7f9e08d1.pdf,https://www.clhs.tyc.edu.tw/ischool/temp/file/A_bWFpbl9tZW51KnVwbG9hZGVyX3VpZCoxNzgxMTQ2NjAxMzM5/6df3998660dd4bb519c2d2ba7f9e08d1.pdf,http://www.clhs.tyc.edu.tw,http://www.clhs.tyc.edu.tw,http://www.clhs.tyc.edu.tw,2026-09-08
,030403,國立北科大附屬桃園農工,公立,桃連區日間部,高職,男女校,桃園市,桃園區,桃園市桃園區成功路二段144號,http://www.tyai.tyc.edu.tw,(03)3333921,機械科:62；模具科:31；生物產業機電科:62；汽車科:52；動力機械科:31；電子科:62；電機科:62；化工科:62；農場經營科:26；園藝科:31；畜產保健科:31；進修部：機械科:24；模具科:24；汽車科:24；電子科:24；電機科:24；化工科:24,656,656,,國立北科大附屬桃園農工115學年度課程以機械科、模具科、生物產業機電科、汽車科、動力機械科、電子科、電機科等專業方向為主，各科配置專業核心、實習實作、校訂選修與職涯銜接課程。,國立北科大附屬桃園農工各專業科別依115學年度課程安排專業實作、實習科目與專題製作，透過操作、作品或成果發表整合所學。,國立北科大附屬桃園農工目前沒有公開固定的高中部校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由臺鐵桃園站轉乘桃園市區公車至國立北科大附屬桃園農工周邊站點，下車後步行到校。,國立北科大附屬桃園農工目前沒有公開的一般高中職學生固定住宿申請制度資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%8C%97%E7%A7%91%E5%A4%A7%E9%99%84%E5%B1%AC%E6%A1%83%E5%9C%92%E8%BE%B2%E5%B7%A5%20%E6%A1%83%E5%9C%92%E5%B8%82%E6%A1%83%E5%9C%92%E5%8D%80%E6%88%90%E5%8A%9F%E8%B7%AF%E4%BA%8C%E6%AE%B5144%E8%99%9F,https://www.tyai.tyc.edu.tw/,https://www.tyai.tyc.edu.tw/,http://www.tyai.tyc.edu.tw,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%8C%97%E7%A7%91%E5%A4%A7%E9%99%84%E5%B1%AC%E6%A1%83%E5%9C%92%E8%BE%B2%E5%B7%A5%20%E6%A1%83%E5%9C%92%E5%B8%82%E6%A1%83%E5%9C%92%E5%8D%80%E6%88%90%E5%8A%9F%E8%B7%AF%E4%BA%8C%E6%AE%B5144%E8%99%9F | https://ebus.tycg.gov.tw/ebus/,http://www.tyai.tyc.edu.tw,http://www.tyai.tyc.edu.tw,http://www.tyai.tyc.edu.tw,2026-09-08
,720301,國立馬祖高中,公立,桃連區日間部,綜高,男女校,連江縣,南竿鄉,連江縣南竿鄉介壽村374號,http://www.mssh.matsu.edu.tw,(0836)25668,綜合高中:33；普通科:135；機械科:29,197,197,,課程兼具普通高中學科、綜合高中探索與機械專業方向，並透過校訂課程、選修及實作學習銜接升學與在地需求。,國立馬祖高中各專業科別依115學年度課程安排專業實作、實習科目與專題製作，透過操作、作品或成果發表整合所學。,國立馬祖高中目前沒有公開固定的高中部校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可利用南竿公車前往介壽地區，於介壽村周邊下車後步行至國立馬祖高中；往返南竿機場可先至介壽轉乘。,國立馬祖高中目前沒有公開的一般高中職學生固定住宿申請制度資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E9%A6%AC%E7%A5%96%E9%AB%98%E4%B8%AD%20%E9%80%A3%E6%B1%9F%E7%B8%A3%E5%8D%97%E7%AB%BF%E9%84%89%E4%BB%8B%E5%A3%BD%E6%9D%91374%E8%99%9F,https://www.mssh.matsu.edu.tw/p/412-1014-2319.php?Lang=zh-tw,https://www.mssh.matsu.edu.tw/p/412-1014-2319.php?Lang=zh-tw,http://www.mssh.matsu.edu.tw,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E9%A6%AC%E7%A5%96%E9%AB%98%E4%B8%AD%20%E9%80%A3%E6%B1%9F%E7%B8%A3%E5%8D%97%E7%AB%BF%E9%84%89%E4%BB%8B%E5%A3%BD%E6%9D%91374%E8%99%9F,http://www.mssh.matsu.edu.tw,http://www.mssh.matsu.edu.tw,http://www.mssh.matsu.edu.tw,2026-09-08
,033302,市立龍潭高中,公立,桃連區日間部,高職,男女校,桃園市,龍潭區,桃園市龍潭區神龍路155號,http://www.ltsh.tyc.edu.tw/bin/home.php,(03)4792829,電子科:31；園藝科:29；造園科:28；畜產保健科:31；食品加工科:31；電機科:24,174,174,,市立龍潭高中115學年度課程以電子科、園藝科、造園科、畜產保健科、食品加工科、電機科等專業方向為主，各科配置專業核心、實習實作、校訂選修與職涯銜接課程。,市立龍潭高中各專業科別依115學年度課程安排專業實作、實習科目與專題製作，透過操作、作品或成果發表整合所學。,市立龍潭高中目前沒有公開固定的高中部校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可先到龍潭市區，再轉乘桃園客運／市區公車至市立龍潭高中周邊站點，下車後步行到校。,市立龍潭高中目前沒有公開的一般高中職學生固定住宿申請制度資訊。,https://www.google.com/maps/search/?api=1&query=%E5%B8%82%E7%AB%8B%E9%BE%8D%E6%BD%AD%E9%AB%98%E4%B8%AD%20%E6%A1%83%E5%9C%92%E5%B8%82%E9%BE%8D%E6%BD%AD%E5%8D%80%E7%A5%9E%E9%BE%8D%E8%B7%AF155%E8%99%9F,https://www.ltsh.tyc.edu.tw/files/11-1001-232.php,https://www.ltsh.tyc.edu.tw/files/11-1001-232.php,http://www.ltsh.tyc.edu.tw/bin/home.php,https://www.google.com/maps/search/?api=1&query=%E5%B8%82%E7%AB%8B%E9%BE%8D%E6%BD%AD%E9%AB%98%E4%B8%AD%20%E6%A1%83%E5%9C%92%E5%B8%82%E9%BE%8D%E6%BD%AD%E5%8D%80%E7%A5%9E%E9%BE%8D%E8%B7%AF155%E8%99%9F | https://ebus.tycg.gov.tw/ebus/,http://www.ltsh.tyc.edu.tw/bin/home.php,http://www.ltsh.tyc.edu.tw/bin/home.php,http://www.ltsh.tyc.edu.tw/bin/home.php,2026-09-08
,033304,市立桃園高中,公立,桃連區日間部,高中,男女校,桃園市,桃園區,桃園市桃園區成功路三段38號,http://www.tysh.tyc.edu.tw,(03)3946001,普通科:700,700,700,,115學年度以普通高中課程為主，結合校訂必修、多元選修、探究與實作；另設舞蹈、體育等特色學習資源。,市立桃園高中高中課程以自然科學探究與實作、社會領域探究、自主學習及課程成果發表作為主要實作／專題型學習。,有學生專車。115學年度校方設學生專車資訊專區，並同步提供周邊公車與上下學交通調查。,可由臺鐵桃園站轉乘桃園市區公車至市立桃園高中周邊站點，下車後步行到校。,校園設有學生宿舍；校舍配置中列有學生宿舍空間。,https://www.google.com/maps/search/?api=1&query=%E5%B8%82%E7%AB%8B%E6%A1%83%E5%9C%92%E9%AB%98%E4%B8%AD%20%E6%A1%83%E5%9C%92%E5%B8%82%E6%A1%83%E5%9C%92%E5%8D%80%E6%88%90%E5%8A%9F%E8%B7%AF%E4%B8%89%E6%AE%B538%E8%99%9F,https://www.tysh.tyc.edu.tw/ischool/publish_page/88/?cid=2496,https://www.tysh.tyc.edu.tw/ischool/publish_page/88/?cid=2496,https://www.tysh.tyc.edu.tw/ischool/publish_page/12/?cid=311,https://www.google.com/maps/search/?api=1&query=%E5%B8%82%E7%AB%8B%E6%A1%83%E5%9C%92%E9%AB%98%E4%B8%AD%20%E6%A1%83%E5%9C%92%E5%B8%82%E6%A1%83%E5%9C%92%E5%8D%80%E6%88%90%E5%8A%9F%E8%B7%AF%E4%B8%89%E6%AE%B538%E8%99%9F | https://ebus.tycg.gov.tw/ebus/,https://www.tysh.tyc.edu.tw/ischool/rfile/c4a618d81e0634ef148c2fcb95028bb5,http://www.tysh.tyc.edu.tw,http://www.tysh.tyc.edu.tw,2026-09-08
,033306,市立武陵高中,公立,桃連區日間部,高中,男女校,桃園市,桃園區,桃園市桃園區中山路889號,http://www.wlsh.tyc.edu.tw,(03)3698170,普通科:651,651,651,,115學年度以普通高中核心課程為主，搭配校訂必修、多元選修、週期性課程與自主學習，提供跨領域與深化選修。,市立武陵高中高中課程以自然科學探究與實作、社會領域探究、自主學習及課程成果發表作為主要實作／專題型學習。,有學生專車服務。115學年度新生報到資料列有專車業務與專車詢問窗口，供新生辦理上下學交通需求。,可由臺鐵桃園站或中壢站搭1、1A、1B等中山路幹線公車，在武陵高中周邊站點下車後步行到校。,市立武陵高中目前沒有公開的一般高中職學生固定住宿申請制度資訊。,https://www.google.com/maps/search/?api=1&query=%E5%B8%82%E7%AB%8B%E6%AD%A6%E9%99%B5%E9%AB%98%E4%B8%AD%20%E6%A1%83%E5%9C%92%E5%B8%82%E6%A1%83%E5%9C%92%E5%8D%80%E4%B8%AD%E5%B1%B1%E8%B7%AF889%E8%99%9F,https://www.wlsh.tyc.edu.tw/p/405-1000-24524%2Cc399.php?Lang=zh-tw,https://www.wlsh.tyc.edu.tw/p/405-1000-24524%2Cc399.php?Lang=zh-tw,https://www.wlsh.tyc.edu.tw/p/404-1000-42656.php?Lang=zh-tw,https://ebus.tycg.gov.tw/ebus/,http://www.wlsh.tyc.edu.tw,http://www.wlsh.tyc.edu.tw,http://www.wlsh.tyc.edu.tw,2026-09-08
,033316,市立楊梅高中,公立,桃連區日間部,綜高,男女校,桃園市,楊梅區,桃園市楊梅區高獅路5號,http://www.ymhs.tyc.edu.tw/,(03)4789618,普通科:447；資訊科:64；電子科:32,543,543,,市立楊梅高中兼具一般學術課程與資訊科、電子科等專業方向，115學年度透過校訂課程、多元選修、實作學習與生涯探索提供不同升學路徑。,市立楊梅高中各專業科別依115學年度課程安排專業實作、實習科目與專題製作，透過操作、作品或成果發表整合所學。,市立楊梅高中目前沒有公開固定的高中部校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由臺鐵楊梅站或埔心站轉乘楊梅地區公車至市立楊梅高中周邊站點，再步行到校。,市立楊梅高中目前沒有公開的一般高中職學生固定住宿申請制度資訊。,https://www.google.com/maps/search/?api=1&query=%E5%B8%82%E7%AB%8B%E6%A5%8A%E6%A2%85%E9%AB%98%E4%B8%AD%20%E6%A1%83%E5%9C%92%E5%B8%82%E6%A5%8A%E6%A2%85%E5%8D%80%E9%AB%98%E7%8D%85%E8%B7%AF5%E8%99%9F,https://www.ymhs.tyc.edu.tw/ischool/publish_page/218/,https://www.ymhs.tyc.edu.tw/ischool/publish_page/218/,http://www.ymhs.tyc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%B8%82%E7%AB%8B%E6%A5%8A%E6%A2%85%E9%AB%98%E4%B8%AD%20%E6%A1%83%E5%9C%92%E5%B8%82%E6%A5%8A%E6%A2%85%E5%8D%80%E9%AB%98%E7%8D%85%E8%B7%AF5%E8%99%9F | https://ebus.tycg.gov.tw/ebus/,http://www.ymhs.tyc.edu.tw/,http://www.ymhs.tyc.edu.tw/,http://www.ymhs.tyc.edu.tw/,2026-09-08
,033325,市立陽明高中,公立,桃連區日間部,高中,男女校,桃園市,桃園區,桃園市桃園區德壽街8號,http://www.pymhs.tyc.edu.tw,(03)3672706,普通科:649,649,649,,市立陽明高中115學年度以普通高中部定課程為基礎，搭配校訂必修、多元選修、自然與社會探究實作、自主學習與生涯探索。,市立陽明高中高中課程以自然科學探究與實作、社會領域探究、自主學習及課程成果發表作為主要實作／專題型學習。,市立陽明高中目前沒有公開固定的高中部校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由臺鐵桃園站後站轉乘102路至介壽路口／桃園監理站一帶，再步行到校；中壢方向可搭1路市區公車前往。,市立陽明高中目前沒有公開的一般高中職學生固定住宿申請制度資訊。,https://www.google.com/maps/search/?api=1&query=%E5%B8%82%E7%AB%8B%E9%99%BD%E6%98%8E%E9%AB%98%E4%B8%AD%20%E6%A1%83%E5%9C%92%E5%B8%82%E6%A1%83%E5%9C%92%E5%8D%80%E5%BE%B7%E5%A3%BD%E8%A1%978%E8%99%9F,https://www.pymhs.tyc.edu.tw/,https://www.pymhs.tyc.edu.tw/,http://www.pymhs.tyc.edu.tw,https://www.pymhs.tyc.edu.tw/uploads/1561518278860jeeaaRca.pdf,http://www.pymhs.tyc.edu.tw,http://www.pymhs.tyc.edu.tw,http://www.pymhs.tyc.edu.tw,2026-09-08
,033327,市立內壢高中,公立,桃連區日間部,綜高,男女校,桃園市,中壢區,桃園市中壢區成章四街120號,http://www.nlhs.tyc.edu.tw,(03)4528080,普通科:622；綜合高中:138,760,760,,115入學課程手冊涵蓋普通科與綜合高中學習路徑，配置校訂課程、多元選修、探究實作與自主學習。,市立內壢高中高中課程以自然科學探究與實作、社會領域探究、自主學習及課程成果發表作為主要實作／專題型學習。,市立內壢高中目前沒有公開固定的高中部校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由臺鐵中壢站或內壢站轉乘桃園市區公車至市立內壢高中周邊站點，再步行到校。,市立內壢高中目前沒有公開的一般高中職學生固定住宿申請制度資訊。,https://www.google.com/maps/search/?api=1&query=%E5%B8%82%E7%AB%8B%E5%85%A7%E5%A3%A2%E9%AB%98%E4%B8%AD%20%E6%A1%83%E5%9C%92%E5%B8%82%E4%B8%AD%E5%A3%A2%E5%8D%80%E6%88%90%E7%AB%A0%E5%9B%9B%E8%A1%97120%E8%99%9F,https://www.nlhs.tyc.edu.tw/home?cid=9218,https://www.nlhs.tyc.edu.tw/home?cid=9218,http://www.nlhs.tyc.edu.tw,https://www.google.com/maps/search/?api=1&query=%E5%B8%82%E7%AB%8B%E5%85%A7%E5%A3%A2%E9%AB%98%E4%B8%AD%20%E6%A1%83%E5%9C%92%E5%B8%82%E4%B8%AD%E5%A3%A2%E5%8D%80%E6%88%90%E7%AB%A0%E5%9B%9B%E8%A1%97120%E8%99%9F | https://ebus.tycg.gov.tw/ebus/,http://www.nlhs.tyc.edu.tw,http://www.nlhs.tyc.edu.tw,http://www.nlhs.tyc.edu.tw,2026-09-08
,033407,市立中壢高商,公立,桃連區日間部,高職,男女校,桃園市,中壢區,桃園市中壢區中央西路二段141巷100號,http://www.clvsc.tyc.edu.tw,(03)4929871,商業經營科:132；國際貿易科:132；資料處理科:99；多媒體設計科:33；商業經營科:18；資料處理科:18,432,432,,市立中壢高商115學年度課程以商業經營科、國際貿易科、資料處理科、多媒體設計科等專業方向為主，各科配置專業核心、實習實作、校訂選修與職涯銜接課程。,市立中壢高商各專業科別依115學年度課程安排專業實作、實習科目與專題製作，透過操作、作品或成果發表整合所學。,115年暑期輔導設中壢客運總站往返學校的交通接駁車；此接駁資料適用暑期輔導期間。,可由臺鐵中壢站或內壢站轉乘桃園市區公車至市立中壢高商周邊站點，再步行到校。,市立中壢高商目前沒有公開的一般高中職學生固定住宿申請制度資訊。,https://www.google.com/maps/search/?api=1&query=%E5%B8%82%E7%AB%8B%E4%B8%AD%E5%A3%A2%E9%AB%98%E5%95%86%20%E6%A1%83%E5%9C%92%E5%B8%82%E4%B8%AD%E5%A3%A2%E5%8D%80%E4%B8%AD%E5%A4%AE%E8%A5%BF%E8%B7%AF%E4%BA%8C%E6%AE%B5141%E5%B7%B7100%E8%99%9F,https://www.clvsc.tyc.edu.tw/p/412-1000-1207.php?Lang=zh-tw,https://www.clvsc.tyc.edu.tw/p/412-1000-1207.php?Lang=zh-tw,https://www.clvsc.tyc.edu.tw/p/406-1000-22962%2Cr671.php?Lang=zh-tw,https://www.google.com/maps/search/?api=1&query=%E5%B8%82%E7%AB%8B%E4%B8%AD%E5%A3%A2%E9%AB%98%E5%95%86%20%E6%A1%83%E5%9C%92%E5%B8%82%E4%B8%AD%E5%A3%A2%E5%8D%80%E4%B8%AD%E5%A4%AE%E8%A5%BF%E8%B7%AF%E4%BA%8C%E6%AE%B5141%E5%B7%B7100%E8%99%9F | https://ebus.tycg.gov.tw/ebus/,http://www.clvsc.tyc.edu.tw,http://www.clvsc.tyc.edu.tw,http://www.clvsc.tyc.edu.tw,2026-09-08
,033408,市立中壢家商,公立,桃連區日間部,高職,男女校,桃園市,中壢區,桃園市中壢區德育路36號,https://www.clvs.tyc.edu.tw/ischool/publish_page/0/,(03)4271627,資料處理科:32；家政科:64；流行服飾科:64；服裝科:18；資訊科:36；資料處理科:180；時尚造型科:72；餐飲管理科:72,538,538,,市立中壢家商115學年度課程以資料處理科、家政科、流行服飾科、服裝科、資訊科、時尚造型科、餐飲管理科等專業方向為主，各科配置專業核心、實習實作、校訂選修與職涯銜接課程。,市立中壢家商各專業科別依115學年度課程安排專業實作、實習科目與專題製作，透過操作、作品或成果發表整合所學。,市立中壢家商目前沒有公開固定的高中部校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,臺鐵中壢站距校不遠，可由車站步行約10至15分鐘至德育路校區；亦可搭市區公車至中壢市區後步行到校。,市立中壢家商目前沒有公開的一般高中職學生固定住宿申請制度資訊。,https://www.google.com/maps/search/?api=1&query=%E5%B8%82%E7%AB%8B%E4%B8%AD%E5%A3%A2%E5%AE%B6%E5%95%86%20%E6%A1%83%E5%9C%92%E5%B8%82%E4%B8%AD%E5%A3%A2%E5%8D%80%E5%BE%B7%E8%82%B2%E8%B7%AF36%E8%99%9F,https://www.clvs.tyc.edu.tw/,https://www.clvs.tyc.edu.tw/,https://www.clvs.tyc.edu.tw/ischool/publish_page/0/,https://www.google.com/maps/search/?api=1&query=%E5%B8%82%E7%AB%8B%E4%B8%AD%E5%A3%A2%E5%AE%B6%E5%95%86%20%E6%A1%83%E5%9C%92%E5%B8%82%E4%B8%AD%E5%A3%A2%E5%8D%80%E5%BE%B7%E8%82%B2%E8%B7%AF36%E8%99%9F,https://www.clvs.tyc.edu.tw/ischool/publish_page/0/,https://www.clvs.tyc.edu.tw/ischool/publish_page/0/,https://www.clvs.tyc.edu.tw/ischool/publish_page/0/,2026-09-08
,034306,市立南崁高中,公立,桃連區日間部,高中,男女校,桃園市,蘆竹區,桃園市蘆竹區仁愛路二段1號,https://www.nksh.tyc.edu.tw/ischool/publish_page/0/,(03)3525580,普通科:384,384,384,,市立南崁高中115學年度普通科課程以部定必修為基礎，並配置校訂必修、多元選修、自然與社會探究實作及自主學習；內容依該校115學年度課程計畫架構整理。,市立南崁高中的主要實作學習包含自然科與社會領域探究實作、自主學習與學習成果；校訂課程、多元選修或特色班可再延伸為專題研究與成果發表。,有專車；115學年度校方招生資料明列臺北／大臺北與桃園地區均有學生專車。,另可搭國光、亞通、首都、葛瑪蘭或長榮客運至南崁站，步行約10分鐘到校。,市立南崁高中的一般高中部住宿目前沒有公開的校內宿舍申請、床位或收費方案；特定班級、專案或其他部別住宿另行區分。,https://www.google.com/maps/search/?api=1&query=%E5%B8%82%E7%AB%8B%E5%8D%97%E5%B4%81%E9%AB%98%E4%B8%AD%20%E6%A1%83%E5%9C%92%E5%B8%82%E8%98%86%E7%AB%B9%E5%8D%80%E4%BB%81%E6%84%9B%E8%B7%AF%E4%BA%8C%E6%AE%B51%E8%99%9F,https://www.nksh.tyc.edu.tw/home?cid=13102,https://www.nksh.tyc.edu.tw/ischool/publish_page/0/,https://www.nksh.tyc.edu.tw/ischool/wr/file/1/13543/a9d3b03ef11c8d8b94a57830316da057.pdf,https://www.nksh.tyc.edu.tw/ischool/wr/file/1/13543/a9d3b03ef11c8d8b94a57830316da057.pdf；https://www.google.com/maps/search/?api=1&query=%E6%A1%83%E5%9C%92%E5%B8%82%E8%98%86%E7%AB%B9%E5%8D%80%E4%BB%81%E6%84%9B%E8%B7%AF%E4%BA%8C%E6%AE%B51%E8%99%9F,https://www.nksh.tyc.edu.tw/ischool/publish_page/0/,https://www.nksh.tyc.edu.tw/ischool/publish_page/0/,https://www.nksh.tyc.edu.tw/home?cid=13102；https://www.nksh.tyc.edu.tw/ischool/publish_page/0/；https://www.nksh.tyc.edu.tw/ischool/wr/file/1/13543/a9d3b03ef11c8d8b94a57830316da057.pdf；https://www.google.com/maps/search/?api=1&query=%E6%A1%83%E5%9C%92%E5%B8%82%E8%98%86%E7%AB%B9%E5%8D%80%E4%BB%81%E6%84%9B%E8%B7%AF%E4%BA%8C%E6%AE%B51%E8%99%9F,2026-09-08
,034312,市立大溪高中,公立,桃連區日間部,高中,男女校,桃園市,大溪區,桃園市大溪區康莊路641號,http://www.dssh.tyc.edu.tw,(03)3878628,普通科:350,350,350,,市立大溪高中115學年度以普通高中部定課程為基礎，搭配校訂必修、多元選修、自然與社會探究實作、自主學習與生涯探索。,市立大溪高中高中課程以自然科學探究與實作、社會領域探究、自主學習及課程成果發表作為主要實作／專題型學習。,有學生專案公車。校方協請桃園客運開設桃園、龍潭、中壢等方向共9條路線；屬一般公車型態，非契約型校車。,可由桃園、中壢或龍潭方向搭桃園客運前往大溪；校方學生專案公車亦規劃桃園、龍潭、中壢等方向共9條路線。,市立大溪高中目前沒有公開的一般高中職學生固定住宿申請制度資訊。,https://www.google.com/maps/search/?api=1&query=%E5%B8%82%E7%AB%8B%E5%A4%A7%E6%BA%AA%E9%AB%98%E4%B8%AD%20%E6%A1%83%E5%9C%92%E5%B8%82%E5%A4%A7%E6%BA%AA%E5%8D%80%E5%BA%B7%E8%8E%8A%E8%B7%AF641%E8%99%9F,https://www.dssh.tyc.edu.tw/,https://www.dssh.tyc.edu.tw/,https://www.dssh.tyc.edu.tw/ischool/publish_page/46/?cid=1544,https://www.dssh.tyc.edu.tw/ischool/publish_page/46/?cid=1544,http://www.dssh.tyc.edu.tw,http://www.dssh.tyc.edu.tw,http://www.dssh.tyc.edu.tw,2026-09-08
