排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,分數來源備註,資優班/特色班,排序分數,課程方向,實習／專題,交通方式,通勤資訊,住宿資訊,生活資料來源,交通資料來源,住宿資料來源,Google地圖,地址資料來源,課程資料來源,實習專題資料來源
,030305,國立中央大學附屬中壢高中,公立,桃連區日間部,綜高,男女校,桃園市,中壢區,桃園市中壢區三光路115號,http://www.clhs.tyc.edu.tw,(03)4932181,普通科:612；機械科:62；模具科:31；生物產業機電科:62；汽車科:52,819,819,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。；115學年度桃連區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,,,普通／學術課程與專業方向並行，招生或課程方向包含普通科、機械科、模具科、生物產業機電科、汽車科；實際分流與選修依115學年度學校課程計畫辦理。,專業群科依各科課程辦理實習實作、技能訓練與專題製作；網站未標示115學年度全校統一專題題目時，以各科／實習處公告為準。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；請依官方校址與即時大眾運輸班次查詢。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E6%A1%83%E5%9C%92%E5%B8%82%E4%B8%AD%E5%A3%A2%E5%8D%80%E4%B8%89%E5%85%89%E8%B7%AF115%E8%99%9F; http://www.clhs.tyc.edu.tw,http://www.clhs.tyc.edu.tw,http://www.clhs.tyc.edu.tw,https://www.google.com/maps/search/?api=1&query=%E6%A1%83%E5%9C%92%E5%B8%82%E4%B8%AD%E5%A3%A2%E5%8D%80%E4%B8%89%E5%85%89%E8%B7%AF115%E8%99%9F,http://www.clhs.tyc.edu.tw,http://www.clhs.tyc.edu.tw,http://www.clhs.tyc.edu.tw
,030403,國立北科大附屬桃園農工,公立,桃連區日間部,高職,男女校,桃園市,桃園區,桃園市桃園區成功路二段144號,http://www.tyai.tyc.edu.tw,(03)3333921,機械科:62；模具科:31；生物產業機電科:62；汽車科:52；動力機械科:31；電子科:62；電機科:62；化工科:62；農場經營科:26；園藝科:31；畜產保健科:31；進修部：機械科:24；模具科:24；汽車科:24；電子科:24；電機科:24；化工科:24,656,656,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。；115學年度桃連區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,,,技術型高中主要專業方向包含機械科、模具科、生物產業機電科、汽車科、動力機械科、電子科、電機科、化工科、農場經營科、園藝科等；依各科115學年度課程計畫安排專業科目、實習實作與校訂選修。,專業群科依各科課程辦理實習實作、技能訓練與專題製作；網站未標示115學年度全校統一專題題目時，以各科／實習處公告為準。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；請依官方校址與即時大眾運輸班次查詢。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E6%A1%83%E5%9C%92%E5%B8%82%E6%A1%83%E5%9C%92%E5%8D%80%E6%88%90%E5%8A%9F%E8%B7%AF%E4%BA%8C%E6%AE%B5144%E8%99%9F; http://www.tyai.tyc.edu.tw,http://www.tyai.tyc.edu.tw,http://www.tyai.tyc.edu.tw,https://www.google.com/maps/search/?api=1&query=%E6%A1%83%E5%9C%92%E5%B8%82%E6%A1%83%E5%9C%92%E5%8D%80%E6%88%90%E5%8A%9F%E8%B7%AF%E4%BA%8C%E6%AE%B5144%E8%99%9F,http://www.tyai.tyc.edu.tw,http://www.tyai.tyc.edu.tw,http://www.tyai.tyc.edu.tw
,720301,國立馬祖高中,公立,桃連區日間部,綜高,男女校,連江縣,南竿鄉,連江縣南竿鄉介壽村374號,http://www.mssh.matsu.edu.tw,(0836)25668,綜合高中:33；普通科:135；機械科:29,197,197,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。；115學年度桃連區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,,,普通／學術課程與專業方向並行，招生或課程方向包含綜合高中、普通科、機械科；實際分流與選修依115學年度學校課程計畫辦理。,專業群科依各科課程辦理實習實作、技能訓練與專題製作；網站未標示115學年度全校統一專題題目時，以各科／實習處公告為準。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；請依官方校址與即時大眾運輸班次查詢。,校方設有學生住宿制度，官網公布「馬祖高中學生住宿管理實施規定」。,https://www.google.com/maps/search/?api=1&query=%E9%80%A3%E6%B1%9F%E7%B8%A3%E5%8D%97%E7%AB%BF%E9%84%89%E4%BB%8B%E5%A3%BD%E6%9D%91374%E8%99%9F; http://www.mssh.matsu.edu.tw,http://www.mssh.matsu.edu.tw,https://www.mssh.matsu.edu.tw/p/405-1014-107795%2Cc2599.php?Lang=zh-tw,https://www.google.com/maps/search/?api=1&query=%E9%80%A3%E6%B1%9F%E7%B8%A3%E5%8D%97%E7%AB%BF%E9%84%89%E4%BB%8B%E5%A3%BD%E6%9D%91374%E8%99%9F,http://www.mssh.matsu.edu.tw,https://www.mssh.matsu.edu.tw/,http://www.mssh.matsu.edu.tw
,033302,市立龍潭高中,公立,桃連區日間部,高職,男女校,桃園市,龍潭區,桃園市龍潭區神龍路155號,http://www.ltsh.tyc.edu.tw/bin/home.php,(03)4792829,電子科:31；園藝科:29；造園科:28；畜產保健科:31；食品加工科:31；電機科:24,174,174,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。；115學年度桃連區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,,,技術型高中主要專業方向包含電子科、園藝科、造園科、畜產保健科、食品加工科、電機科；依各科115學年度課程計畫安排專業科目、實習實作與校訂選修。,專業群科依各科課程辦理實習實作、技能訓練與專題製作；網站未標示115學年度全校統一專題題目時，以各科／實習處公告為準。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；請依官方校址與即時大眾運輸班次查詢。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E6%A1%83%E5%9C%92%E5%B8%82%E9%BE%8D%E6%BD%AD%E5%8D%80%E7%A5%9E%E9%BE%8D%E8%B7%AF155%E8%99%9F; http://www.ltsh.tyc.edu.tw/bin/home.php,http://www.ltsh.tyc.edu.tw/bin/home.php,http://www.ltsh.tyc.edu.tw/bin/home.php,https://www.google.com/maps/search/?api=1&query=%E6%A1%83%E5%9C%92%E5%B8%82%E9%BE%8D%E6%BD%AD%E5%8D%80%E7%A5%9E%E9%BE%8D%E8%B7%AF155%E8%99%9F,http://www.ltsh.tyc.edu.tw/bin/home.php,http://www.ltsh.tyc.edu.tw/bin/home.php,http://www.ltsh.tyc.edu.tw/bin/home.php
,033304,市立桃園高中,公立,桃連區日間部,高中,男女校,桃園市,桃園區,桃園市桃園區成功路三段38號,http://www.tysh.tyc.edu.tw,(03)3946001,普通科:700,700,700,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。；115學年度桃連區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,,,普通型高中課程，以部定必修、加深加廣、多元選修、彈性學習與自主學習為主；校本與特色課程依115學年度學校課程計畫辦理。,不設技職類固定實習；以探究與實作、自主學習及學習歷程成果為主。網站未標示115學年度全校統一專題題目。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；請依官方校址與即時大眾運輸班次查詢。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E6%A1%83%E5%9C%92%E5%B8%82%E6%A1%83%E5%9C%92%E5%8D%80%E6%88%90%E5%8A%9F%E8%B7%AF%E4%B8%89%E6%AE%B538%E8%99%9F; http://www.tysh.tyc.edu.tw,http://www.tysh.tyc.edu.tw,http://www.tysh.tyc.edu.tw,https://www.google.com/maps/search/?api=1&query=%E6%A1%83%E5%9C%92%E5%B8%82%E6%A1%83%E5%9C%92%E5%8D%80%E6%88%90%E5%8A%9F%E8%B7%AF%E4%B8%89%E6%AE%B538%E8%99%9F,http://www.tysh.tyc.edu.tw,https://www.tysh.tyc.edu.tw/ischool/publish_page/93/,https://www.tysh.tyc.edu.tw/ischool/publish_page/93/
,033306,市立武陵高中,公立,桃連區日間部,高中,男女校,桃園市,桃園區,桃園市桃園區中山路889號,http://www.wlsh.tyc.edu.tw,(03)3698170,普通科:651,651,651,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。；115學年度桃連區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,,,普通型高中課程，以部定必修、加深加廣、多元選修、彈性學習與自主學習為主；校本與特色課程依115學年度學校課程計畫辦理。,不設技職類固定實習；以探究與實作、自主學習及學習歷程成果為主。網站未標示115學年度全校統一專題題目。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；請依官方校址與即時大眾運輸班次查詢。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E6%A1%83%E5%9C%92%E5%B8%82%E6%A1%83%E5%9C%92%E5%8D%80%E4%B8%AD%E5%B1%B1%E8%B7%AF889%E8%99%9F; http://www.wlsh.tyc.edu.tw,http://www.wlsh.tyc.edu.tw,http://www.wlsh.tyc.edu.tw,https://www.google.com/maps/search/?api=1&query=%E6%A1%83%E5%9C%92%E5%B8%82%E6%A1%83%E5%9C%92%E5%8D%80%E4%B8%AD%E5%B1%B1%E8%B7%AF889%E8%99%9F,http://www.wlsh.tyc.edu.tw,https://www.wlsh.tyc.edu.tw/p/412-1000-399-1.php,https://www.wlsh.tyc.edu.tw/p/412-1000-399-1.php
,033316,市立楊梅高中,公立,桃連區日間部,綜高,男女校,桃園市,楊梅區,桃園市楊梅區高獅路5號,http://www.ymhs.tyc.edu.tw/,(03)4789618,普通科:447；資訊科:64；電子科:32,543,543,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。；115學年度桃連區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,,,普通／學術課程與專業方向並行，招生或課程方向包含普通科、資訊科、電子科；實際分流與選修依115學年度學校課程計畫辦理。,專業群科依各科課程辦理實習實作、技能訓練與專題製作；網站未標示115學年度全校統一專題題目時，以各科／實習處公告為準。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；請依官方校址與即時大眾運輸班次查詢。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E6%A1%83%E5%9C%92%E5%B8%82%E6%A5%8A%E6%A2%85%E5%8D%80%E9%AB%98%E7%8D%85%E8%B7%AF5%E8%99%9F; http://www.ymhs.tyc.edu.tw/,http://www.ymhs.tyc.edu.tw/,http://www.ymhs.tyc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E6%A1%83%E5%9C%92%E5%B8%82%E6%A5%8A%E6%A2%85%E5%8D%80%E9%AB%98%E7%8D%85%E8%B7%AF5%E8%99%9F,http://www.ymhs.tyc.edu.tw/,https://www.ymhs.tyc.edu.tw/ischool/publish_page/12/?cid=143,https://www.ymhs.tyc.edu.tw/ischool/publish_page/12/?cid=143
,033325,市立陽明高中,公立,桃連區日間部,高中,男女校,桃園市,桃園區,桃園市桃園區德壽街8號,http://www.pymhs.tyc.edu.tw,(03)3672706,普通科:649,649,649,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。；115學年度桃連區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,,,普通型高中課程，以部定必修、加深加廣、多元選修、彈性學習與自主學習為主；校本與特色課程依115學年度學校課程計畫辦理。,不設技職類固定實習；以探究與實作、自主學習及學習歷程成果為主。網站未標示115學年度全校統一專題題目。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；請依官方校址與即時大眾運輸班次查詢。,校方115學年度第1學期已公告住宿生須知與寢室資訊，確認設有學生住宿。,https://www.google.com/maps/search/?api=1&query=%E6%A1%83%E5%9C%92%E5%B8%82%E6%A1%83%E5%9C%92%E5%8D%80%E5%BE%B7%E5%A3%BD%E8%A1%978%E8%99%9F; http://www.pymhs.tyc.edu.tw,http://www.pymhs.tyc.edu.tw,https://www.pymhs.tyc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E6%A1%83%E5%9C%92%E5%B8%82%E6%A1%83%E5%9C%92%E5%8D%80%E5%BE%B7%E5%A3%BD%E8%A1%978%E8%99%9F,http://www.pymhs.tyc.edu.tw,http://www.pymhs.tyc.edu.tw,http://www.pymhs.tyc.edu.tw
,033327,市立內壢高中,公立,桃連區日間部,綜高,男女校,桃園市,中壢區,桃園市中壢區成章四街120號,http://www.nlhs.tyc.edu.tw,(03)4528080,普通科:622；綜合高中:138,760,760,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。；115學年度桃連區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,,,普通／學術課程與專業方向並行，招生或課程方向包含普通科、綜合高中；實際分流與選修依115學年度學校課程計畫辦理。,專業群科依各科課程辦理實習實作、技能訓練與專題製作；網站未標示115學年度全校統一專題題目時，以各科／實習處公告為準。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；請依官方校址與即時大眾運輸班次查詢。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E6%A1%83%E5%9C%92%E5%B8%82%E4%B8%AD%E5%A3%A2%E5%8D%80%E6%88%90%E7%AB%A0%E5%9B%9B%E8%A1%97120%E8%99%9F; http://www.nlhs.tyc.edu.tw,http://www.nlhs.tyc.edu.tw,http://www.nlhs.tyc.edu.tw,https://www.google.com/maps/search/?api=1&query=%E6%A1%83%E5%9C%92%E5%B8%82%E4%B8%AD%E5%A3%A2%E5%8D%80%E6%88%90%E7%AB%A0%E5%9B%9B%E8%A1%97120%E8%99%9F,http://www.nlhs.tyc.edu.tw,http://www.nlhs.tyc.edu.tw,http://www.nlhs.tyc.edu.tw
,033407,市立中壢高商,公立,桃連區日間部,高職,男女校,桃園市,中壢區,桃園市中壢區中央西路二段141巷100號,http://www.clvsc.tyc.edu.tw,(03)4929871,商業經營科:132；國際貿易科:132；資料處理科:99；多媒體設計科:33；商業經營科:18；資料處理科:18,432,432,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。；115學年度桃連區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,,,技術型高中主要專業方向包含商業經營科、國際貿易科、資料處理科、多媒體設計科；依各科115學年度課程計畫安排專業科目、實習實作與校訂選修。,專業群科依各科課程辦理實習實作、技能訓練與專題製作；網站未標示115學年度全校統一專題題目時，以各科／實習處公告為準。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；請依官方校址與即時大眾運輸班次查詢。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E6%A1%83%E5%9C%92%E5%B8%82%E4%B8%AD%E5%A3%A2%E5%8D%80%E4%B8%AD%E5%A4%AE%E8%A5%BF%E8%B7%AF%E4%BA%8C%E6%AE%B5141%E5%B7%B7100%E8%99%9F; http://www.clvsc.tyc.edu.tw,http://www.clvsc.tyc.edu.tw,http://www.clvsc.tyc.edu.tw,https://www.google.com/maps/search/?api=1&query=%E6%A1%83%E5%9C%92%E5%B8%82%E4%B8%AD%E5%A3%A2%E5%8D%80%E4%B8%AD%E5%A4%AE%E8%A5%BF%E8%B7%AF%E4%BA%8C%E6%AE%B5141%E5%B7%B7100%E8%99%9F,http://www.clvsc.tyc.edu.tw,http://www.clvsc.tyc.edu.tw,http://www.clvsc.tyc.edu.tw
