排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,資優班/特色班,課程方向,實習／專題,校車／專車資訊,通勤資訊,住宿資訊,Google地圖,課程資料來源,實習專題資料來源,校車／專車資料來源,通勤資料來源,住宿資料來源,地址資料來源,生活資料來源,資料更新日期
,040302,國立竹東高中,公立,竹苗區學校名錄,高中,,新竹縣,竹東鎮,新竹縣竹東鎮大林路2號,https://www.ctsh.hcc.edu.tw/,(03)5962024,普通科(日)；普通科(夜)；商業經營科(夜),,,請以各校當年度公告為準,國立竹東高中：日間部普通科以部定必修、校訂必修、多元選修、自然與社會探究實作及自主學習為主；進修部另設普通科與商業經營科課程。,國立竹東高中的專業科別依115學年度課程安排實作、實習科目與專題製作，透過操作、作品或成果發表整合專業學習。,有學生交通車。115學年度第一學期規劃25台交通車，包含竹北等方向及東門城專車，校方公布路線、站點、時間與搭乘規定。,國立竹東高中：可由臺鐵內灣線竹東站前往竹東市區，再步行至大林路校區；亦可利用竹東地區公車至學校周邊站點。,國立竹東高中目前無公開的一般高中職學生固定住宿申請制度資訊；特定隊伍、特殊班別或特殊身分住宿不視為一般學生住宿。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E7%AB%B9%E6%9D%B1%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%B9%E6%9D%B1%E9%8E%AE%E5%A4%A7%E6%9E%97%E8%B7%AF2%E8%99%9F,https://www.ctsh.hcc.edu.tw/,https://www.ctsh.hcc.edu.tw/,https://www.ctsh.hcc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E7%AB%B9%E6%9D%B1%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%B9%E6%9D%B1%E9%8E%AE%E5%A4%A7%E6%9E%97%E8%B7%AF2%E8%99%9F,https://www.ctsh.hcc.edu.tw/,https://www.ctsh.hcc.edu.tw/,https://www.ctsh.hcc.edu.tw/,2026-09-08
,040304,國立關西高中,公立,竹苗區學校名錄,高職,,新竹縣,關西鎮,新竹縣關西鎮東安里中山東路2號,https://www.khsh.hcc.edu.tw/home,(03)5872049,園藝科(日)；食品加工科(日)；畜產保健科(日)；家政科(日)；綜合職能科(日),,,請以各校當年度公告為準,國立關西高中：115學年度同時設普通型與技術型課程；職業類科涵蓋園藝、食品加工、畜產保健、家政等方向，並以食農與專業實作連結在地產業。,國立關西高中：職業類科依課程安排農業、食品與家政等實作與專題；食農教育與ZTC專題成果可讓學生整合作品與學習成果。,有學生專車。115學年度提供專車報名、路線規劃與放學停放位置資訊，供學生上下學使用。,國立關西高中：可由新竹、竹北、新埔或關西市區搭乘新竹客運至國立關西高中周邊站點，下車後步行到校。,國立關西高中目前無公開的一般高中職學生固定住宿申請制度資訊；特定隊伍、特殊班別或特殊身分住宿不視為一般學生住宿。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E9%97%9C%E8%A5%BF%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E9%97%9C%E8%A5%BF%E9%8E%AE%E6%9D%B1%E5%AE%89%E9%87%8C%E4%B8%AD%E5%B1%B1%E6%9D%B1%E8%B7%AF2%E8%99%9F,https://www.khsh.hcc.edu.tw/home?cid=18542,https://www.khsh.hcc.edu.tw/home?cid=18542,https://www.khsh.hcc.edu.tw/home?cid=25517,https://www.khsh.hcc.edu.tw/home?cid=9111,https://www.khsh.hcc.edu.tw/home,https://www.khsh.hcc.edu.tw/home,https://www.khsh.hcc.edu.tw/home,2026-09-08
,040308,國立陽明交大附中,公立,竹苗區學校名錄,綜高,,新竹縣,竹北市,新竹縣竹北市中央路3號,https://www.cphs.nycu.edu.tw/home,(03)5517330,普通科(日)；舞蹈班(日)；體育班(日)；資訊科(日)；商業經營科(日)；門市服務科(日),,,請以各校當年度公告為準,國立陽明交大附中：課程兼具普通高中學術學習與資訊、商業經營等專業方向，另有舞蹈、體育班；校本課程結合跨域探究、專題與陽明交大學術資源。,國立陽明交大附中：透過科學探究、問題導向學習、專題學習與自主學習進行研究與成果呈現，資訊與商業方向另安排專業實作。,有交通車。校方設有跨新竹縣市與苗栗地區的多條學生交通路線，供學生上下學使用。,國立陽明交大附中：可由臺鐵竹北站轉乘竹北市區公車至中央路周邊，再步行到校；高鐵新竹站／六家站亦可轉乘市區公車。,學校設有學生宿舍，住宿生依校方宿舍管理與申請規定入住。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E5%A4%A7%E9%99%84%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%B9%E5%8C%97%E5%B8%82%E4%B8%AD%E5%A4%AE%E8%B7%AF3%E8%99%9F,https://www.cphs.nycu.edu.tw/home,https://www.cphs.nycu.edu.tw/home,https://www.cpshs.hcc.edu.tw/ischool/publish_page/0/?cid=1711,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E5%A4%A7%E9%99%84%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%B9%E5%8C%97%E5%B8%82%E4%B8%AD%E5%A4%AE%E8%B7%AF3%E8%99%9F,https://www.cpshs.hcc.edu.tw/ischool/publish_page/0/?cid=1711,https://www.cphs.nycu.edu.tw/home,https://www.cphs.nycu.edu.tw/home,2026-09-08
,041303,私立義民高中,私立,竹苗區學校名錄,綜高,,新竹縣,竹北市,新竹縣竹北市中正西路15號,http://www.ymsh.hcc.edu.tw,(03)5552020,普通科(日)；資訊科(日)；資料處理科(日)；資料處理科(夜)；廣告設計科(日)；幼兒保育科(日)；廣告技術科(日)；商用資訊科(日),,,請以各校當年度公告為準,私立義民高中的115學年度課程涵蓋資訊科、資料處理科、廣告設計科、幼兒保育科、廣告技術科、商用資訊科等方向，各科配置專業核心、校訂選修與實作課程。,私立義民高中的專業科別依115學年度課程安排實作、實習科目與專題製作，透過操作、作品或成果發表整合專業學習。,有校車。115學年度新生與在校生交通安排包含校車登記與路線接送，搭乘學生依校方排定站點上下車。,私立義民高中：可由臺鐵竹北站轉乘竹北市區公車至中正西路周邊站點，再步行到校。,私立義民高中目前無公開的一般高中職學生固定住宿申請制度資訊；特定隊伍、特殊班別或特殊身分住宿不視為一般學生住宿。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E7%BE%A9%E6%B0%91%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%B9%E5%8C%97%E5%B8%82%E4%B8%AD%E6%AD%A3%E8%A5%BF%E8%B7%AF15%E8%99%9F,http://www.ymsh.hcc.edu.tw/,http://www.ymsh.hcc.edu.tw/,http://www.ymsh.hcc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E7%BE%A9%E6%B0%91%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%B9%E5%8C%97%E5%B8%82%E4%B8%AD%E6%AD%A3%E8%A5%BF%E8%B7%AF15%E8%99%9F,http://www.ymsh.hcc.edu.tw,http://www.ymsh.hcc.edu.tw,http://www.ymsh.hcc.edu.tw,2026-09-08
,041305,私立忠信高中,私立,竹苗區學校名錄,高中,,新竹縣,新豐鄉,新竹縣新豐鄉忠信街178號,https://www.chhs.hcc.edu.tw/,(03)5595775,普通科(日),,,請以各校當年度公告為準,私立忠信高中115學年度以普通高中部定課程為基礎，搭配校訂必修、多元選修、自然與社會探究實作、自主學習及生涯探索。,私立忠信高中以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段主要的實作／專題型學習。,有學生專車。校方招生資訊提供校專車及竹北快線路線圖，供學生上下學使用。,私立忠信高中：可由臺鐵新豐站轉乘新豐地區公車至忠信街周邊站點，再步行到校。,私立忠信高中目前無公開的一般高中職學生固定住宿申請制度資訊；特定隊伍、特殊班別或特殊身分住宿不視為一般學生住宿。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E5%BF%A0%E4%BF%A1%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E6%96%B0%E8%B1%90%E9%84%89%E5%BF%A0%E4%BF%A1%E8%A1%97178%E8%99%9F,https://www.chhs.hcc.edu.tw/,https://www.chhs.hcc.edu.tw/,https://2026-lip.chhs.hcc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E5%BF%A0%E4%BF%A1%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E6%96%B0%E8%B1%90%E9%84%89%E5%BF%A0%E4%BF%A1%E8%A1%97178%E8%99%9F,https://www.chhs.hcc.edu.tw/,https://www.chhs.hcc.edu.tw/,https://www.chhs.hcc.edu.tw/,2026-09-08
,041306,私立東泰高中,私立,竹苗區學校名錄,綜高,,新竹縣,竹東鎮,新竹縣竹東鎮東峰路343號,http://www.ttsh.hcc.edu.tw,(03)5961232,普通科(日)；汽車科(日)；汽車科(夜)；資訊科(日)；資料處理科(日)；餐飲管理科(日)；餐飲管理科(夜)；時尚造型科(日)；綜合職能科(日)；烘焙食品科(日)；汽車修護科(日)；水電技術科(日)；微電腦修護科(日)；商用資訊科(日)；餐飲技術科(日),,,請以各校當年度公告為準,私立東泰高中：課程涵蓋普通科、汽車、資訊、資料處理、餐飲管理、時尚造型等方向，並配置專業實作、技能學習與多元選修。,私立東泰高中的專業科別依115學年度課程安排實作、實習科目與專題製作，透過操作、作品或成果發表整合專業學習。,有校車。115學年度新生系統可直接選填校車，路線涵蓋湖口、竹北、苗栗、竹南、南庄、北埔、寶山、南寮、關西、尖石、六家、龍潭等方向。,私立東泰高中：可由臺鐵內灣線竹東站轉乘竹東地區公車至東峰路周邊站點，再步行到校。,學校設有住宿選項。115學年度新生報到系統可直接選填住宿，住宿學生依校方安排辦理入住。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E6%9D%B1%E6%B3%B0%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%B9%E6%9D%B1%E9%8E%AE%E6%9D%B1%E5%B3%B0%E8%B7%AF343%E8%99%9F,https://www.ttsh.hcc.edu.tw/,https://www.ttsh.hcc.edu.tw/,https://app.ttsh.hcc.edu.tw/enrollment/,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E6%9D%B1%E6%B3%B0%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%B9%E6%9D%B1%E9%8E%AE%E6%9D%B1%E5%B3%B0%E8%B7%AF343%E8%99%9F,https://app.ttsh.hcc.edu.tw/enrollment/,http://www.ttsh.hcc.edu.tw,http://www.ttsh.hcc.edu.tw,2026-09-08
,041307,私立仰德高中,私立,竹苗區學校名錄,高職,,新竹縣,新豐鄉,新竹縣新豐鄉員山133號,https://www.ydvs.hcc.edu.tw/,(03)5592158,資料處理科(夜)；餐飲管理科(日)；餐飲管理科(夜)；電子商務科(日)；時尚造型科(日)；綜合職能科(日)；烘焙食品科(日)；餐飲技術科(日),,,請以各校當年度公告為準,私立仰德高中：115學年度以餐飲管理、電子商務、時尚造型等專業方向為主，另有實用技能及進修部課程規劃。,私立仰德高中的專業科別依115學年度課程安排實作、實習科目與專題製作，透過操作、作品或成果發表整合專業學習。,有交通車。校方總務處設交通車時刻表與票價資訊，學生依公告路線及站點搭乘。,私立仰德高中：可由臺鐵新豐站轉乘新豐地區公車至員山校區周邊，再步行到校。,私立仰德高中目前無公開的一般高中職學生固定住宿申請制度資訊；特定隊伍、特殊班別或特殊身分住宿不視為一般學生住宿。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E4%BB%B0%E5%BE%B7%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E6%96%B0%E8%B1%90%E9%84%89%E5%93%A1%E5%B1%B1133%E8%99%9F,https://www.ydvs.hcc.edu.tw/overall-curriculum-plan/,https://www.ydvs.hcc.edu.tw/overall-curriculum-plan/,https://www.ydvs.hcc.edu.tw/general/general-bus-schedule/,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E4%BB%B0%E5%BE%B7%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E6%96%B0%E8%B1%90%E9%84%89%E5%93%A1%E5%B1%B1133%E8%99%9F,https://www.ydvs.hcc.edu.tw/,https://www.ydvs.hcc.edu.tw/,https://www.ydvs.hcc.edu.tw/,2026-09-08
,041401,私立內思高工,私立,竹苗區學校名錄,高職,,新竹縣,新埔鎮,新竹縣新埔鎮楊新路一段40號,https://www.savs.hcc.edu.tw/,(03)5882520,機械科(日)；資訊科(日)；電子科(日)；電機科(日)；多媒體設計科(日),,,請以各校當年度公告為準,私立內思高工：115學年度以機械、資訊、電子、電機、多媒體設計等專業方向為主，各科配置專業核心、實作及校訂選修課程。,私立內思高工的專業科別依115學年度課程安排實作、實習科目與專題製作，透過操作、作品或成果發表整合專業學習。,有校車。115學年度第一學期設北埔、橫山、竹中、香山、武陵、後湖、湖口、工業區、長安、新庄子、成功等路線，並公布站點與時刻。,私立內思高工：可由新竹、竹北方向搭客運至新埔市區，再沿楊新路一段方向轉乘或步行到校。,私立內思高工目前無公開的一般高中職學生固定住宿申請制度資訊；特定隊伍、特殊班別或特殊身分住宿不視為一般學生住宿。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E5%85%A7%E6%80%9D%E9%AB%98%E5%B7%A5%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E6%96%B0%E5%9F%94%E9%8E%AE%E6%A5%8A%E6%96%B0%E8%B7%AF%E4%B8%80%E6%AE%B540%E8%99%9F,https://www.savs.hcc.edu.tw/,https://www.savs.hcc.edu.tw/,https://www.savs.hcc.edu.tw/ischool/publish_page/411/?cid=21686,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E5%85%A7%E6%80%9D%E9%AB%98%E5%B7%A5%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E6%96%B0%E5%9F%94%E9%8E%AE%E6%A5%8A%E6%96%B0%E8%B7%AF%E4%B8%80%E6%AE%B540%E8%99%9F,https://www.savs.hcc.edu.tw/,https://www.savs.hcc.edu.tw/,https://www.savs.hcc.edu.tw/,2026-09-08
,044311,新竹縣立六家高級中學,公立,竹苗區學校名錄,高中,,新竹縣,竹北市,新竹縣竹北市嘉興路356號,https://ljsh.hcc.edu.tw/,(03)5503824,普通科(日)；體育班(日),,,請以各校當年度公告為準,新竹縣立六家高級中學115學年度以普通高中部定課程為基礎，搭配校訂必修、多元選修、自然與社會探究實作、自主學習及生涯探索；另設體育班等特色班別。,新竹縣立六家高級中學以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段主要的實作／專題型學習。,有交通車。115學年度第一學期由校方辦理委外學生交通車，學生依路線與登記方式申請搭乘。,新竹縣立六家高級中學：可由高鐵新竹站／臺鐵六家站轉乘竹北市區公車至嘉興路周邊站點，再步行到校。,新竹縣立六家高級中學目前無公開的一般高中職學生固定住宿申請制度資訊；特定隊伍、特殊班別或特殊身分住宿不視為一般學生住宿。,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%8B%E5%85%AD%E5%AE%B6%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%B9%E5%8C%97%E5%B8%82%E5%98%89%E8%88%88%E8%B7%AF356%E8%99%9F,https://ljsh.hcc.edu.tw/p/426-1089-6.php?Lang=zh-tw,https://ljsh.hcc.edu.tw/p/426-1089-6.php?Lang=zh-tw,https://ljsh.hcc.edu.tw/p/406-1089-549850%2Cr11.php,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%8B%E5%85%AD%E5%AE%B6%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%B9%E5%8C%97%E5%B8%82%E5%98%89%E8%88%88%E8%B7%AF356%E8%99%9F,https://ljsh.hcc.edu.tw/,https://ljsh.hcc.edu.tw/,https://ljsh.hcc.edu.tw/,2026-09-08
,044320,新竹縣立湖口高中,公立,竹苗區學校名錄,綜高,,新竹縣,湖口鄉,新竹縣湖口鄉達生路601號,https://hkhs.hcc.edu.tw/,(03)5992588,普通科(日)；體育班(日)；商業經營科(日),,,請以各校當年度公告為準,新竹縣立湖口高中的115學年度課程涵蓋商業經營科等方向，各科配置專業核心、校訂選修與實作課程；另設體育班。,新竹縣立湖口高中的專業科別依115學年度課程安排實作、實習科目與專題製作，透過操作、作品或成果發表整合專業學習。,有學生專車。115學年度第一學期設竹北、東林、縱貫等路線，校方公布站點調整與搭乘資訊。,新竹縣立湖口高中：可由臺鐵湖口站下車，沿湖口市區步行約10分鐘至學校側門；亦可利用湖口市區公車轉乘。,新竹縣立湖口高中目前無公開的一般高中職學生固定住宿申請制度資訊；特定隊伍、特殊班別或特殊身分住宿不視為一般學生住宿。,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%8B%E6%B9%96%E5%8F%A3%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E6%B9%96%E5%8F%A3%E9%84%89%E9%81%94%E7%94%9F%E8%B7%AF601%E8%99%9F,https://hkhs.hcc.edu.tw/,https://hkhs.hcc.edu.tw/,https://hkhs.hcc.edu.tw/p/404-1015-553164.php?Lang=zh-tw,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%8B%E6%B9%96%E5%8F%A3%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E6%B9%96%E5%8F%A3%E9%84%89%E9%81%94%E7%94%9F%E8%B7%AF601%E8%99%9F,https://hkhs.hcc.edu.tw/,https://hkhs.hcc.edu.tw/,https://hkhs.hcc.edu.tw/,2026-09-08
