排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,資優班/特色班,課程方向,實習／專題,校車／專車資訊,通勤資訊,住宿資訊,Google地圖,課程資料來源,實習專題資料來源,校車／專車資料來源,通勤資料來源,住宿資料來源,地址資料來源,生活資料來源,資料更新日期
,100301,國立東石高級中學,公立,臺南區免試入學日間部,綜高,男女校,嘉義縣,朴子市,613013 嘉義縣朴子市大鄉里253號,https://www.tssh.cyc.edu.tw/,(05)3794180,普通科:5(不限)；食品加工科:3(不限)；機械科:4(不限)；汽車科:1(不限),13,13,普通科與機械、汽車、電機、食品加工等專業群科並行；設自造實驗室，並有產攜／建教合作與技藝競賽成果。,國立東石高級中學：普通科與食品加工、機械、汽車等專業方向並行；115學年度另有國際教育、AI科技數理與運動科學等實驗學習資源。,國立東石高級中學：各專業科別依115學年度課程安排實習、實作與專題製作，學生透過操作、作品或成果發表整合所學。,國立東石高級中學：目前沒有可公開確認的一般高中部固定校車／學生專車路線；一般公共運輸方式另列於「通勤資訊」。,國立東石高級中學：可由臺鐵嘉義站或高鐵嘉義站轉乘往朴子方向的公車，在朴子市區學校周邊站點下車後步行到校。,學校設有學生住宿申請，115學年度新生專區提供學生住宿申請表，住宿依校方程序辦理。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E7%9F%B3%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20613013%20%E5%98%89%E7%BE%A9%E7%B8%A3%E6%9C%B4%E5%AD%90%E5%B8%82%E5%A4%A7%E9%84%89%E9%87%8C253%E8%99%9F,https://www.tssh.cyc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.tssh.cyc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.tssh.cyc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E7%9F%B3%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20613013%20%E5%98%89%E7%BE%A9%E7%B8%A3%E6%9C%B4%E5%AD%90%E5%B8%82%E5%A4%A7%E9%84%89%E9%87%8C253%E8%99%9F,https://www.tssh.cyc.edu.tw/sub/content/index.aspx?Parser=1%2C22%2C455%2C91,https://www.tssh.cyc.edu.tw/,https://www.tssh.cyc.edu.tw/,2026-09-08
,100B01,國立東石高級中學進修部,公立,臺南區免試入學進修部,進修部,男女校,嘉義縣,朴子市,613013 嘉義縣朴子市大鄉里253號,https://www.tssh.cyc.edu.tw/,(05)3794180,食品科(夜間班):4(不限),4,4,進修部主要招生方向為食品科；實際課程與特色依115學年度進修部公告。,國立東石高級中學進修部：115學年度以食品科(夜間班)為主要學習方向，課程配置一般科目、專業科目及實作／實習內容，依進修部課程計畫分年修習。,國立東石高級中學進修部：依115學年度進修部課程安排專業實作、實習科目與成果任務，將夜間課程所學應用於操作與專題成果。,國立東石高級中學進修部：目前沒有可公開確認的一般高中部固定校車／學生專車路線；一般公共運輸方式另列於「通勤資訊」。,國立東石高級中學進修部：可由臺鐵嘉義站或高鐵嘉義站轉乘往朴子方向的公車，在朴子市區學校周邊站點下車後步行到校。,國立東石高級中學進修部：目前沒有可公開確認的一般高中職學生固定住宿申請方案；特定隊伍、特殊班別或特殊身分住宿不視為一般學生住宿。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E7%9F%B3%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%E9%80%B2%E4%BF%AE%E9%83%A8%20613013%20%E5%98%89%E7%BE%A9%E7%B8%A3%E6%9C%B4%E5%AD%90%E5%B8%82%E5%A4%A7%E9%84%89%E9%87%8C253%E8%99%9F,https://www.tssh.cyc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.tssh.cyc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.tssh.cyc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E7%9F%B3%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%E9%80%B2%E4%BF%AE%E9%83%A8%20613013%20%E5%98%89%E7%BE%A9%E7%B8%A3%E6%9C%B4%E5%AD%90%E5%B8%82%E5%A4%A7%E9%84%89%E9%87%8C253%E8%99%9F,https://www.tssh.cyc.edu.tw/,https://www.tssh.cyc.edu.tw/,https://www.tssh.cyc.edu.tw/,2026-09-08
,110302,國立新豐高級中學,公立,臺南區免試入學日間部,綜高,男女校,臺南市,歸仁區,711 臺南市歸仁區中正北路一段148號,https://www.sfsh.tn.edu.tw/home,06-2304082,綜合高中:328(不限),328,328,普通／綜合高中與專業方向並行，主要招生方向包含綜合高中；實際分流依115學年度校方公告。,國立新豐高級中學：115學年度以綜合高中學術與專門學程為主，透過校訂課程、多元選修、探究實作與生涯探索進行分流。,國立新豐高級中學：以自然科學探究與實作、社會領域探究、自主學習及成果發表作為主要實作／專題型學習。,有學生專車。115-1設永康、市政、新化、安南、茄萣等路線，校方公布發車時間、站點、座位與搭乘名單。,國立新豐高級中學：可由臺鐵保安站、臺南站或沿線主要轉運點轉乘大台南公車往歸仁方向，在中正北路學校周邊下車後步行到校。,國立新豐高級中學：目前沒有可公開確認的一般高中職學生固定住宿申請方案；特定隊伍、特殊班別或特殊身分住宿不視為一般學生住宿。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%96%B0%E8%B1%90%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20711%20%E8%87%BA%E5%8D%97%E5%B8%82%E6%AD%B8%E4%BB%81%E5%8D%80%E4%B8%AD%E6%AD%A3%E5%8C%97%E8%B7%AF%E4%B8%80%E6%AE%B5148%E8%99%9F,https://www.sfsh.tn.edu.tw/home | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.sfsh.tn.edu.tw/home | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.sfsh.tn.edu.tw/ischool/publish_page/0/?nid=22755,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%96%B0%E8%B1%90%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20711%20%E8%87%BA%E5%8D%97%E5%B8%82%E6%AD%B8%E4%BB%81%E5%8D%80%E4%B8%AD%E6%AD%A3%E5%8C%97%E8%B7%AF%E4%B8%80%E6%AE%B5148%E8%99%9F,https://www.sfsh.tn.edu.tw/home,https://www.sfsh.tn.edu.tw/home,https://www.sfsh.tn.edu.tw/home,2026-09-08
,110308,國立臺南大學附屬高級中學,公立,臺南區免試入學日間部,綜高,男女校,臺南市,永康區,710 臺南市永康區中山南路948號,https://www.tntcsh.tn.edu.tw/,06-2338501,普通科:131(不限)；綜合高中:356(不限),487,487,普通／綜合高中與專業方向並行，主要招生方向包含普通科、綜合高中；實際分流依115學年度校方公告。,國立臺南大學附屬高級中學：115學年度以綜合高中學術與專門學程為主，透過校訂課程、多元選修、探究實作與生涯探索進行分流。,國立臺南大學附屬高級中學：以自然科學探究與實作、社會領域探究、自主學習及成果發表作為主要實作／專題型學習。,國立臺南大學附屬高級中學：目前沒有可公開確認的一般高中部固定校車／學生專車路線；一般公共運輸方式另列於「通勤資訊」。,國立臺南大學附屬高級中學：可由臺鐵永康站、大橋站或臺南站轉乘永康地區市區公車至學校周邊站點，再步行到校。,國立臺南大學附屬高級中學：目前沒有可公開確認的一般高中職學生固定住宿申請方案；特定隊伍、特殊班別或特殊身分住宿不視為一般學生住宿。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8D%97%E5%A4%A7%E5%AD%B8%E9%99%84%E5%B1%AC%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20710%20%E8%87%BA%E5%8D%97%E5%B8%82%E6%B0%B8%E5%BA%B7%E5%8D%80%E4%B8%AD%E5%B1%B1%E5%8D%97%E8%B7%AF948%E8%99%9F,https://www.tntcsh.tn.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.tntcsh.tn.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.tntcsh.tn.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8D%97%E5%A4%A7%E5%AD%B8%E9%99%84%E5%B1%AC%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20710%20%E8%87%BA%E5%8D%97%E5%B8%82%E6%B0%B8%E5%BA%B7%E5%8D%80%E4%B8%AD%E5%B1%B1%E5%8D%97%E8%B7%AF948%E8%99%9F,https://www.tntcsh.tn.edu.tw/,https://www.tntcsh.tn.edu.tw/,https://www.tntcsh.tn.edu.tw/,2026-09-08
,110311,國立北門高級中學,公立,臺南區免試入學日間部,高中,男女校,臺南市,佳里區,722 臺南市佳里區六安里269號,https://www.bmsh.tn.edu.tw/,06-7222150,普通科:297(不限),297,297,普通型高中；特色班、實驗班與資優／藝才班依115學年度校方公告。,國立北門高級中學：115學年度以普通高中部定課程為基礎，搭配校訂必修、多元選修、自然與社會探究實作、自主學習及生涯探索。,國立北門高級中學：以自然科學探究與實作、社會領域探究、自主學習及成果發表作為主要實作／專題型學習。,國立北門高級中學：目前沒有可公開確認的一般高中部固定校車／學生專車路線；一般公共運輸方式另列於「通勤資訊」。,國立北門高級中學：可由臺鐵善化站或臺南市區轉乘往佳里轉運站方向公車，再轉乘或步行至學校。,國立北門高級中學：目前沒有可公開確認的一般高中職學生固定住宿申請方案；特定隊伍、特殊班別或特殊身分住宿不視為一般學生住宿。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%8C%97%E9%96%80%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20722%20%E8%87%BA%E5%8D%97%E5%B8%82%E4%BD%B3%E9%87%8C%E5%8D%80%E5%85%AD%E5%AE%89%E9%87%8C269%E8%99%9F,https://www.bmsh.tn.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.bmsh.tn.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.bmsh.tn.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%8C%97%E9%96%80%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20722%20%E8%87%BA%E5%8D%97%E5%B8%82%E4%BD%B3%E9%87%8C%E5%8D%80%E5%85%AD%E5%AE%89%E9%87%8C269%E8%99%9F,https://www.bmsh.tn.edu.tw/,https://www.bmsh.tn.edu.tw/,https://www.bmsh.tn.edu.tw/,2026-09-08
,110312,國立新營高級中學,公立,臺南區免試入學日間部,綜高,男女校,臺南市,新營區,730 臺南市新營區民權路101號,https://www.hysh.tn.edu.tw/home,06-6562274,普通科:155(不限)；商業經營科:63(不限)；資料處理科:31(不限)；電子商務科:31(不限)；應用英語科:32(不限),312,312,普通／綜合高中與專業方向並行，主要招生方向包含普通科、商業經營科、資料處理科、電子商務科、應用英語科；實際分流依115學年度校方公告。,國立新營高級中學：115學年度兼具一般學術課程與商業經營科、資料處理科、電子商務科、應用英語科等專業方向，搭配校訂課程、多元選修、探究實作與生涯分流。,國立新營高級中學：各專業科別依115學年度課程安排實習、實作與專題製作，學生透過操作、作品或成果發表整合所學。,國立新營高級中學：目前沒有可公開確認的一般高中部固定校車／學生專車路線；一般公共運輸方式另列於「通勤資訊」。,國立新營高級中學：可由臺鐵新營站轉乘新營市區公車至學校周邊站點，下車後步行到校。,國立新營高級中學：目前沒有可公開確認的一般高中職學生固定住宿申請方案；特定隊伍、特殊班別或特殊身分住宿不視為一般學生住宿。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%96%B0%E7%87%9F%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20730%20%E8%87%BA%E5%8D%97%E5%B8%82%E6%96%B0%E7%87%9F%E5%8D%80%E6%B0%91%E6%AC%8A%E8%B7%AF101%E8%99%9F,https://www.hysh.tn.edu.tw/home | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.hysh.tn.edu.tw/home | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.hysh.tn.edu.tw/home,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%96%B0%E7%87%9F%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20730%20%E8%87%BA%E5%8D%97%E5%B8%82%E6%96%B0%E7%87%9F%E5%8D%80%E6%B0%91%E6%AC%8A%E8%B7%AF101%E8%99%9F,https://www.hysh.tn.edu.tw/home,https://www.hysh.tn.edu.tw/home,https://www.hysh.tn.edu.tw/home,2026-09-08
,110314,國立後壁高級中學,公立,臺南區免試入學日間部,綜高,男女校,臺南市,後壁區,731 臺南市後壁區嘉苳里下茄苳132號,https://www.hpsh.tn.edu.tw/home,06-6871031,普通科:42(不限)；資訊科:24(不限)；電機科:20(不限)；建築科:22(不限)；美工科:48(不限)；室內空間設計科:12(不限)；廣告設計科:18(不限)；多媒體設計科:9(不限),195,195,普通科與資訊、電機、建築、美工、室內空間設計、廣告設計等專業方向並行；校方提供總體課程綱要及選課輔導手冊。,國立後壁高級中學：普通科與資訊、電機、建築、美工、室內空間設計、廣告及多媒體設計等方向並行，校方提供總體課程綱要與選課輔導。,國立後壁高級中學：各專業科別依115學年度課程安排實習、實作與專題製作，學生透過操作、作品或成果發表整合所學。,有免費學生專車。校方學生專區設有免費學生專車路線，供學生上下學使用。,國立後壁高級中學：可由臺鐵後壁站轉乘後壁地區公車或接駁交通至下茄苳校區，再步行到校。,學校提供免費學生住宿，校方學生專區設有免費學生住宿資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%BE%8C%E5%A3%81%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20731%20%E8%87%BA%E5%8D%97%E5%B8%82%E5%BE%8C%E5%A3%81%E5%8D%80%E5%98%89%E8%8B%B3%E9%87%8C%E4%B8%8B%E8%8C%84%E8%8B%B3132%E8%99%9F,https://www.hpsh.tn.edu.tw/home | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.hpsh.tn.edu.tw/home | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.hpsh.tn.edu.tw/home,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%BE%8C%E5%A3%81%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20731%20%E8%87%BA%E5%8D%97%E5%B8%82%E5%BE%8C%E5%A3%81%E5%8D%80%E5%98%89%E8%8B%B3%E9%87%8C%E4%B8%8B%E8%8C%84%E8%8B%B3132%E8%99%9F,https://www.hpsh.tn.edu.tw/home,https://www.hpsh.tn.edu.tw/home,https://www.hpsh.tn.edu.tw/home,2026-09-08
,110315,國立善化高級中學,公立,臺南區免試入學日間部,高中,男女校,臺南市,善化區,741 臺南市善化區大成路195號,https://www.shsh.tn.edu.tw/,06-5837312,普通科:252(不限),252,252,普通型高中；特色班、實驗班與資優／藝才班依115學年度校方公告。,國立善化高級中學：115學年度普通科課程搭配校訂必修、多元選修、自然與社會探究實作，另有數理實驗與雙語實驗學習資源。,國立善化高級中學：以自然科學探究與實作、社會領域探究、自主學習及成果發表作為主要實作／專題型學習。,國立善化高級中學：目前沒有可公開確認的一般高中部固定校車／學生專車路線；一般公共運輸方式另列於「通勤資訊」。,國立善化高級中學：可由臺鐵善化站轉乘善化地區公車至學校周邊站點，亦可由車站銜接YouBike或步行路段。,國立善化高級中學：目前沒有可公開確認的一般高中職學生固定住宿申請方案；特定隊伍、特殊班別或特殊身分住宿不視為一般學生住宿。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%96%84%E5%8C%96%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20741%20%E8%87%BA%E5%8D%97%E5%B8%82%E5%96%84%E5%8C%96%E5%8D%80%E5%A4%A7%E6%88%90%E8%B7%AF195%E8%99%9F,https://www.shsh.tn.edu.tw/Page/aao/cmsdetail/13/%E8%AA%B2%E7%A8%8B%E8%A8%88%E7%95%AB | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.shsh.tn.edu.tw/Page/aao/cmsdetail/13/%E8%AA%B2%E7%A8%8B%E8%A8%88%E7%95%AB | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.shsh.tn.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%96%84%E5%8C%96%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20741%20%E8%87%BA%E5%8D%97%E5%B8%82%E5%96%84%E5%8C%96%E5%8D%80%E5%A4%A7%E6%88%90%E8%B7%AF195%E8%99%9F,https://www.shsh.tn.edu.tw/,https://www.shsh.tn.edu.tw/,https://www.shsh.tn.edu.tw/,2026-09-08
,110317,國立新化高級中學,公立,臺南區免試入學日間部,高中,男女校,臺南市,新化區,712005 臺南市新化區忠孝路2號,https://www.hhsh.tn.edu.tw/,06-5982065,普通科:394(不限),394,394,普通型高中；特色班、實驗班與資優／藝才班依115學年度校方公告。,國立新化高級中學：115學年度以普通高中部定課程為基礎，搭配校訂必修、多元選修、自然與社會探究實作、自主學習及生涯探索。,國立新化高級中學：以自然科學探究與實作、社會領域探究、自主學習及成果發表作為主要實作／專題型學習。,有學生專車。114–115學年度票價表列有臺南市區、安平、安南等多處上車站點，學生依路線辦理搭乘。,國立新化高級中學：可由臺鐵新市站轉乘綠1、綠2、綠3、綠4等公車至新化，或由臺南火車站／永康搭綠幹線往新化、玉井方向到校。,國立新化高級中學：目前沒有可公開確認的一般高中職學生固定住宿申請方案；特定隊伍、特殊班別或特殊身分住宿不視為一般學生住宿。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%96%B0%E5%8C%96%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20712005%20%E8%87%BA%E5%8D%97%E5%B8%82%E6%96%B0%E5%8C%96%E5%8D%80%E5%BF%A0%E5%AD%9D%E8%B7%AF2%E8%99%9F,https://www.hhsh.tn.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.hhsh.tn.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.hhsh.tn.edu.tw/ischool/wr/file/1/5117/dab0f43a39a64453e233f5d24c28f9ac.pdf,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%96%B0%E5%8C%96%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20712005%20%E8%87%BA%E5%8D%97%E5%B8%82%E6%96%B0%E5%8C%96%E5%8D%80%E5%BF%A0%E5%AD%9D%E8%B7%AF2%E8%99%9F,https://www.hhsh.tn.edu.tw/,https://www.hhsh.tn.edu.tw/,https://www.hhsh.tn.edu.tw/,2026-09-08
,110328,國立南科國際實驗高級中學,公立,臺南區免試入學日間部,高中,男女校,臺南市,新市區,744094 臺南市新市區西拉雅大道888巷1號,https://www.nnkieh.tn.edu.tw/,06-5052916,普通科:52(不限),52,52,園區實驗高中，重視科技、雙語／國際教育、跨域探究及校本課程。,國立南科國際實驗高級中學：115學年度以普通科為主，結合數理實驗、科技、雙語／國際教育與跨域探究，並有完整高中選課輔導手冊。,國立南科國際實驗高級中學：以自然與社會探究、數理實驗、自主學習及跨域科技專題為主要實作形式，學生透過研究、實驗與成果發表整合學習。,國立南科國際實驗高級中學：目前沒有可公開確認的一般高中部固定校車／學生專車路線；一般公共運輸方式另列於「通勤資訊」。,國立南科國際實驗高級中學：可由臺鐵南科站或新市站轉乘新市／南科園區公車至學校周邊站點，再步行到校。,國立南科國際實驗高級中學：目前沒有可公開確認的一般高中職學生固定住宿申請方案；特定隊伍、特殊班別或特殊身分住宿不視為一般學生住宿。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%8D%97%E7%A7%91%E5%9C%8B%E9%9A%9B%E5%AF%A6%E9%A9%97%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20744094%20%E8%87%BA%E5%8D%97%E5%B8%82%E6%96%B0%E5%B8%82%E5%8D%80%E8%A5%BF%E6%8B%89%E9%9B%85%E5%A4%A7%E9%81%93888%E5%B7%B71%E8%99%9F,https://hs.nnkieh.tn.edu.tw/modules/tad_web/files.php | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://hs.nnkieh.tn.edu.tw/modules/tad_web/files.php | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.nnkieh.tn.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%8D%97%E7%A7%91%E5%9C%8B%E9%9A%9B%E5%AF%A6%E9%A9%97%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20744094%20%E8%87%BA%E5%8D%97%E5%B8%82%E6%96%B0%E5%B8%82%E5%8D%80%E8%A5%BF%E6%8B%89%E9%9B%85%E5%A4%A7%E9%81%93888%E5%B7%B71%E8%99%9F,https://www.nnkieh.tn.edu.tw/,https://www.nnkieh.tn.edu.tw/,https://www.nnkieh.tn.edu.tw/,2026-09-08
