排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,分數來源備註,資優班/特色班,排序分數,課程方向,實習／專題,交通方式,通勤資訊,住宿資訊,生活資料來源,交通資料來源,住宿資料來源,Google地圖,地址資料來源,課程資料來源,實習專題資料來源
,100301,國立東石高級中學,公立,臺南區免試入學日間部,綜高,男女校,嘉義縣,朴子市,613013 嘉義縣朴子市大鄉里253號,https://www.tssh.cyc.edu.tw/,(05)3794180,普通科:5(不限)；食品加工科:3(不限)；機械科:4(不限)；汽車科:1(不限),13,13,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,普通科與機械、汽車、電機、食品加工等專業群科並行；設自造實驗室，並有產攜／建教合作與技藝競賽成果。,,普通科與機械、汽車、電機、食品加工等專業群科並行；設自造實驗室，並有產攜／建教合作與技藝競賽成果。,專業群科依課程辦理機械、汽車、電機、食品等實習實作與技藝競賽；普通科以探究、自主學習與學習成果為主。網站未標示115學年度全校統一專題題目。,115學年度第1學期校方已公告學生專車搭乘時間與路線。,搭乘學生專車者依115-1校方公告之站點、時間與名冊辦理；網站未公開所有學生一致的固定通勤時間。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E7%9F%B3%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+613013+%E5%98%89%E7%BE%A9%E7%B8%A3%E6%9C%B4%E5%AD%90%E5%B8%82%E5%A4%A7%E9%84%89%E9%87%8C253%E8%99%9F; https://www.tssh.cyc.edu.tw/,https://www.tssh.cyc.edu.tw/,https://www.tssh.cyc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E7%9F%B3%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+613013+%E5%98%89%E7%BE%A9%E7%B8%A3%E6%9C%B4%E5%AD%90%E5%B8%82%E5%A4%A7%E9%84%89%E9%87%8C253%E8%99%9F,https://www.tssh.cyc.edu.tw/,https://www.tssh.cyc.edu.tw/,https://www.tssh.cyc.edu.tw/
,100B01,國立東石高級中學進修部,公立,臺南區免試入學進修部,進修部,男女校,嘉義縣,朴子市,613013 嘉義縣朴子市大鄉里253號,https://www.tssh.cyc.edu.tw/,(05)3794180,食品科(夜間班):4(不限),4,4,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,進修部主要招生方向為食品科；實際課程與特色依115學年度進修部公告。,,進修部課程依115學年度進修部課程計畫辦理，招生方向包含食品科。,依進修部招生科別安排專業實作；網站未標示115學年度進修部全校統一專題題目，實際內容以進修部及各科公告為準。,進修部官網未標示115學年度夜間固定學生專車或完整大眾運輸銜接班次；本表不直接沿用日間部學生專車。,進修部夜間通勤站點、班次與末班車銜接資訊網站未標示。,進修部官網未標示進修部學生是否具校內宿舍申請資格；本表不直接套用日間部住宿規定。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E7%9F%B3%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%E9%80%B2%E4%BF%AE%E9%83%A8+613013+%E5%98%89%E7%BE%A9%E7%B8%A3%E6%9C%B4%E5%AD%90%E5%B8%82%E5%A4%A7%E9%84%89%E9%87%8C253%E8%99%9F; https://www.tssh.cyc.edu.tw/,https://www.tssh.cyc.edu.tw/,https://www.tssh.cyc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E7%9F%B3%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%E9%80%B2%E4%BF%AE%E9%83%A8+613013+%E5%98%89%E7%BE%A9%E7%B8%A3%E6%9C%B4%E5%AD%90%E5%B8%82%E5%A4%A7%E9%84%89%E9%87%8C253%E8%99%9F,https://www.tssh.cyc.edu.tw/,https://www.tssh.cyc.edu.tw/,https://www.tssh.cyc.edu.tw/
,110302,國立新豐高級中學,公立,臺南區免試入學日間部,綜高,男女校,臺南市,歸仁區,711 臺南市歸仁區中正北路一段148號,https://www.sfsh.tn.edu.tw/home,06-2304082,綜合高中:328(不限),328,328,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,普通／綜合高中與專業方向並行，主要招生方向包含綜合高中；實際分流依115學年度校方公告。,,普通／學術課程與專業群科並行，招生方向包含綜合高中；實際分流與選修依115學年度課程計畫。,普通／學術方向以探究與自主學習為主，專業群科另安排實習實作與專題製作；實際內容依各科及115學年度課程計畫。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；Google地圖欄已依官方校址建立查詢入口。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%96%B0%E8%B1%90%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+711+%E8%87%BA%E5%8D%97%E5%B8%82%E6%AD%B8%E4%BB%81%E5%8D%80%E4%B8%AD%E6%AD%A3%E5%8C%97%E8%B7%AF%E4%B8%80%E6%AE%B5148%E8%99%9F; https://www.sfsh.tn.edu.tw/home,https://www.sfsh.tn.edu.tw/home,https://www.sfsh.tn.edu.tw/home,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%96%B0%E8%B1%90%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+711+%E8%87%BA%E5%8D%97%E5%B8%82%E6%AD%B8%E4%BB%81%E5%8D%80%E4%B8%AD%E6%AD%A3%E5%8C%97%E8%B7%AF%E4%B8%80%E6%AE%B5148%E8%99%9F,https://www.sfsh.tn.edu.tw/home,https://www.sfsh.tn.edu.tw/home,https://www.sfsh.tn.edu.tw/home
,110308,國立臺南大學附屬高級中學,公立,臺南區免試入學日間部,綜高,男女校,臺南市,永康區,710 臺南市永康區中山南路948號,https://www.tntcsh.tn.edu.tw/,06-2338501,普通科:131(不限)；綜合高中:356(不限),487,487,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,普通／綜合高中與專業方向並行，主要招生方向包含普通科、綜合高中；實際分流依115學年度校方公告。,,普通／學術課程與專業群科並行，招生方向包含普通科、綜合高中；實際分流與選修依115學年度課程計畫。,普通／學術方向以探究與自主學習為主，專業群科另安排實習實作與專題製作；實際內容依各科及115學年度課程計畫。,校方交通資訊列出臺南火車站可轉乘綠幹線、紅10至「臺南大學附中」站；學生專車另涵蓋安平、海尾、茄萣、土城、文化中心、關廟、歸仁等方向。,大眾運輸以臺南火車站轉綠幹線／紅10為主要校方明列方式；學生專車站點與時間依115學年度校方公告。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8D%97%E5%A4%A7%E5%AD%B8%E9%99%84%E5%B1%AC%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+710+%E8%87%BA%E5%8D%97%E5%B8%82%E6%B0%B8%E5%BA%B7%E5%8D%80%E4%B8%AD%E5%B1%B1%E5%8D%97%E8%B7%AF948%E8%99%9F; https://www.tntcsh.tn.edu.tw/,https://www.tntcsh.tn.edu.tw/,https://www.tntcsh.tn.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8D%97%E5%A4%A7%E5%AD%B8%E9%99%84%E5%B1%AC%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+710+%E8%87%BA%E5%8D%97%E5%B8%82%E6%B0%B8%E5%BA%B7%E5%8D%80%E4%B8%AD%E5%B1%B1%E5%8D%97%E8%B7%AF948%E8%99%9F,https://www.tntcsh.tn.edu.tw/,https://www.tntcsh.tn.edu.tw/,https://www.tntcsh.tn.edu.tw/
,110311,國立北門高級中學,公立,臺南區免試入學日間部,高中,男女校,臺南市,佳里區,722 臺南市佳里區六安里269號,https://www.bmsh.tn.edu.tw/,06-7222150,普通科:297(不限),297,297,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,普通型高中；特色班、實驗班與資優／藝才班依115學年度校方公告。,,普通型高中課程，以部定必修、加深加廣、多元選修、彈性學習與自主學習為主；校本與特色課程依115學年度課程計畫。,不設技職類固定實習；以探究與實作、自主學習及學習歷程成果為主。網站未標示115學年度全校統一專題題目。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；Google地圖欄已依官方校址建立查詢入口。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%8C%97%E9%96%80%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+722+%E8%87%BA%E5%8D%97%E5%B8%82%E4%BD%B3%E9%87%8C%E5%8D%80%E5%85%AD%E5%AE%89%E9%87%8C269%E8%99%9F; https://www.bmsh.tn.edu.tw/,https://www.bmsh.tn.edu.tw/,https://www.bmsh.tn.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%8C%97%E9%96%80%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+722+%E8%87%BA%E5%8D%97%E5%B8%82%E4%BD%B3%E9%87%8C%E5%8D%80%E5%85%AD%E5%AE%89%E9%87%8C269%E8%99%9F,https://www.bmsh.tn.edu.tw/,https://www.bmsh.tn.edu.tw/,https://www.bmsh.tn.edu.tw/
,110312,國立新營高級中學,公立,臺南區免試入學日間部,綜高,男女校,臺南市,新營區,730 臺南市新營區民權路101號,https://www.hysh.tn.edu.tw/home,06-6562274,普通科:155(不限)；商業經營科:63(不限)；資料處理科:31(不限)；電子商務科:31(不限)；應用英語科:32(不限),312,312,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,普通／綜合高中與專業方向並行，主要招生方向包含普通科、商業經營科、資料處理科、電子商務科、應用英語科；實際分流依115學年度校方公告。,,普通／學術課程與專業群科並行，招生方向包含普通科、商業經營科、資料處理科、電子商務科、應用英語科；實際分流與選修依115學年度課程計畫。,普通／學術方向以探究與自主學習為主，專業群科另安排實習實作與專題製作；實際內容依各科及115學年度課程計畫。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；Google地圖欄已依官方校址建立查詢入口。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%96%B0%E7%87%9F%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+730+%E8%87%BA%E5%8D%97%E5%B8%82%E6%96%B0%E7%87%9F%E5%8D%80%E6%B0%91%E6%AC%8A%E8%B7%AF101%E8%99%9F; https://www.hysh.tn.edu.tw/home,https://www.hysh.tn.edu.tw/home,https://www.hysh.tn.edu.tw/home,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%96%B0%E7%87%9F%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+730+%E8%87%BA%E5%8D%97%E5%B8%82%E6%96%B0%E7%87%9F%E5%8D%80%E6%B0%91%E6%AC%8A%E8%B7%AF101%E8%99%9F,https://www.hysh.tn.edu.tw/home,https://www.hysh.tn.edu.tw/home,https://www.hysh.tn.edu.tw/home
,110314,國立後壁高級中學,公立,臺南區免試入學日間部,綜高,男女校,臺南市,後壁區,731 臺南市後壁區嘉苳里下茄苳132號,https://www.hpsh.tn.edu.tw/home,06-6871031,普通科:42(不限)；資訊科:24(不限)；電機科:20(不限)；建築科:22(不限)；美工科:48(不限)；室內空間設計科:12(不限)；廣告設計科:18(不限)；多媒體設計科:9(不限),195,195,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,普通科與資訊、電機、建築、美工、室內空間設計、廣告設計等專業方向並行；校方提供總體課程綱要及選課輔導手冊。,,普通科與資訊、電機、建築、美工、室內空間設計、廣告設計等專業方向並行；校方提供總體課程綱要及選課輔導手冊。,專業群科依課程辦理資訊、電機、建築、設計等實習實作與專題；普通科以探究、自主學習及學習成果為主。,校方官網明列提供免費學生專車，路線與站點依115學年度校方最新公告。,學生可依校方免費專車路線通勤；固定站點與發車時間以當學年度公告為準。,校方官網明列提供免費學生住宿；115學年度實際申請、床位及管理規定依校方最新公告。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%BE%8C%E5%A3%81%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+731+%E8%87%BA%E5%8D%97%E5%B8%82%E5%BE%8C%E5%A3%81%E5%8D%80%E5%98%89%E8%8B%B3%E9%87%8C%E4%B8%8B%E8%8C%84%E8%8B%B3132%E8%99%9F; https://www.hpsh.tn.edu.tw/home,https://www.hpsh.tn.edu.tw/home,https://www.hpsh.tn.edu.tw/home,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%BE%8C%E5%A3%81%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+731+%E8%87%BA%E5%8D%97%E5%B8%82%E5%BE%8C%E5%A3%81%E5%8D%80%E5%98%89%E8%8B%B3%E9%87%8C%E4%B8%8B%E8%8C%84%E8%8B%B3132%E8%99%9F,https://www.hpsh.tn.edu.tw/home,https://www.hpsh.tn.edu.tw/home,https://www.hpsh.tn.edu.tw/home
,110315,國立善化高級中學,公立,臺南區免試入學日間部,高中,男女校,臺南市,善化區,741 臺南市善化區大成路195號,https://www.shsh.tn.edu.tw/,06-5837312,普通科:252(不限),252,252,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,普通型高中；特色班、實驗班與資優／藝才班依115學年度校方公告。,,普通型高中課程，以部定必修、加深加廣、多元選修、彈性學習與自主學習為主；校本與特色課程依115學年度課程計畫。,不設技職類固定實習；以探究與實作、自主學習及學習歷程成果為主。網站未標示115學年度全校統一專題題目。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；Google地圖欄已依官方校址建立查詢入口。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%96%84%E5%8C%96%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+741+%E8%87%BA%E5%8D%97%E5%B8%82%E5%96%84%E5%8C%96%E5%8D%80%E5%A4%A7%E6%88%90%E8%B7%AF195%E8%99%9F; https://www.shsh.tn.edu.tw/,https://www.shsh.tn.edu.tw/,https://www.shsh.tn.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%96%84%E5%8C%96%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+741+%E8%87%BA%E5%8D%97%E5%B8%82%E5%96%84%E5%8C%96%E5%8D%80%E5%A4%A7%E6%88%90%E8%B7%AF195%E8%99%9F,https://www.shsh.tn.edu.tw/,https://www.shsh.tn.edu.tw/,https://www.shsh.tn.edu.tw/
,110317,國立新化高級中學,公立,臺南區免試入學日間部,高中,男女校,臺南市,新化區,712005 臺南市新化區忠孝路2號,https://www.hhsh.tn.edu.tw/,06-5982065,普通科:394(不限),394,394,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,普通型高中；特色班、實驗班與資優／藝才班依115學年度校方公告。,,普通型高中課程，以部定必修、加深加廣、多元選修、彈性學習與自主學習為主；校本與特色課程依115學年度課程計畫。,不設技職類固定實習；以探究與實作、自主學習及學習歷程成果為主。網站未標示115學年度全校統一專題題目。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；Google地圖欄已依官方校址建立查詢入口。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%96%B0%E5%8C%96%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+712005+%E8%87%BA%E5%8D%97%E5%B8%82%E6%96%B0%E5%8C%96%E5%8D%80%E5%BF%A0%E5%AD%9D%E8%B7%AF2%E8%99%9F; https://www.hhsh.tn.edu.tw/,https://www.hhsh.tn.edu.tw/,https://www.hhsh.tn.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%96%B0%E5%8C%96%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+712005+%E8%87%BA%E5%8D%97%E5%B8%82%E6%96%B0%E5%8C%96%E5%8D%80%E5%BF%A0%E5%AD%9D%E8%B7%AF2%E8%99%9F,https://www.hhsh.tn.edu.tw/,https://www.hhsh.tn.edu.tw/,https://www.hhsh.tn.edu.tw/
,110328,國立南科國際實驗高級中學,公立,臺南區免試入學日間部,高中,男女校,臺南市,新市區,744094 臺南市新市區西拉雅大道888巷1號,https://www.nnkieh.tn.edu.tw/,06-5052916,普通科:52(不限),52,52,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,園區實驗高中，重視科技、雙語／國際教育、跨域探究及校本課程。,,園區實驗高中，重視科技、雙語／國際教育、跨域探究及校本課程。,不設技職類固定實習；以探究與實作、自主學習及學習歷程成果為主。網站未標示115學年度全校統一專題題目。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；Google地圖欄已依官方校址建立查詢入口。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%8D%97%E7%A7%91%E5%9C%8B%E9%9A%9B%E5%AF%A6%E9%A9%97%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+744094+%E8%87%BA%E5%8D%97%E5%B8%82%E6%96%B0%E5%B8%82%E5%8D%80%E8%A5%BF%E6%8B%89%E9%9B%85%E5%A4%A7%E9%81%93888%E5%B7%B71%E8%99%9F; https://www.nnkieh.tn.edu.tw/,https://www.nnkieh.tn.edu.tw/,https://www.nnkieh.tn.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%8D%97%E7%A7%91%E5%9C%8B%E9%9A%9B%E5%AF%A6%E9%A9%97%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+744094+%E8%87%BA%E5%8D%97%E5%B8%82%E6%96%B0%E5%B8%82%E5%8D%80%E8%A5%BF%E6%8B%89%E9%9B%85%E5%A4%A7%E9%81%93888%E5%B7%B71%E8%99%9F,https://www.nnkieh.tn.edu.tw/,https://www.nnkieh.tn.edu.tw/,https://www.nnkieh.tn.edu.tw/
