排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,分數來源備註,資優班/特色班,排序分數,課程方向,實習／專題,交通方式,通勤資訊,住宿資訊,生活資料來源,交通資料來源,住宿資料來源,Google地圖,地址資料來源,課程資料來源,實習專題資料來源
,140302,國立臺東女子高級中學,公立,臺東區免試入學日間部,綜高,女校,臺東縣,臺東市,950304 臺東縣臺東市四維路一段690號,https://www.tgsh.ttct.edu.tw/,089-321268,綜合高中:264(女生),,264,115學年度臺東區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26；本校綜合高中招生性別為女生，男女校欄標示為女校。,綜合高中；115學年度新生專區明列數理實驗班，美術班另依藝才招生辦理。,,綜合高中課程，以學術與多元選修、自主學習、探究實作為主；115學年度另有數理實驗班，實際課程依校方課程計畫。,不設技職類固定實習；以探究與實作、自主學習、數理實驗及學習歷程成果為主。網站未標示115學年度全校統一專題題目。,校方學生通學規定以火車、公車等大眾運輸為主要方式；官網另提供交通位置圖，115學年度未標示固定學生專車完整路線。,固定公車班次与步行时间依实际出发地查询；校方地址为四维路一段690号。,115學年度新生專區已提供住宿申請表與宿舍申請規定；校方宿舍管理資料載明床位共86床，另有臺東高中女生宿舍16床可調度，實際核准依校方115學年度名單。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E5%A5%B3%E5%AD%90%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+950304+%E8%87%BA%E6%9D%B1%E7%B8%A3%E8%87%BA%E6%9D%B1%E5%B8%82%E5%9B%9B%E7%B6%AD%E8%B7%AF%E4%B8%80%E6%AE%B5690%E8%99%9F; https://www.tgsh.ttct.edu.tw/,https://www.tgsh.ttct.edu.tw/ischool/wr/file/1/1583/f97ad7c19cf4405d853280b48d88d259.pdf,https://www.tgsh.ttct.edu.tw/ischool/publish_page/58/?cid=1699,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E5%A5%B3%E5%AD%90%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+950304+%E8%87%BA%E6%9D%B1%E7%B8%A3%E8%87%BA%E6%9D%B1%E5%B8%82%E5%9B%9B%E7%B6%AD%E8%B7%AF%E4%B8%80%E6%AE%B5690%E8%99%9F,https://www.tgsh.ttct.edu.tw/,https://www.tgsh.ttct.edu.tw/ischool/publish_page/58/?cid=2387,https://www.tgsh.ttct.edu.tw/ischool/publish_page/58/?cid=2387
,140303,國立臺東高級中學,公立,臺東區免試入學日間部,綜高,男校,臺東縣,臺東市,950307 臺東縣臺東市中華路一段721號,https://www.pttsh.ttct.edu.tw/,089-322070,原住民藝能班:32(不限)；綜合高中:264(男生),,296,115學年度臺東區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26；本校一般綜合高中主要招收男生，原住民藝能班為男女兼收；男女校欄依學校主要招生型態標示為男校。,綜合高中；一般綜高主要招收男生，原住民藝能班男女兼收；另有體育等特色班別依校方當年度公告。,,綜合高中課程，校方設綜高資訊、課程諮詢、學習歷程與自主學習專區；115學年度課程地圖包含資訊應用等學程。,依綜合高中學程辦理探究、自主學習及專門學程實作；115學年度資訊應用等學程已有課程地圖，實際專題依學程與任課教師公告。,校方校務開放資料設有學校交通資訊；網站未標示115學年度固定學生專車完整路線。,固定大眾運輸班次與步行時間網站未標示；Google地圖欄已依官方校址建立查詢入口。,校方資料可確認設有學生宿舍／學苑及住宿生管理；115學年度新生床位與申請時程網站未標示。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+950307+%E8%87%BA%E6%9D%B1%E7%B8%A3%E8%87%BA%E6%9D%B1%E5%B8%82%E4%B8%AD%E8%8F%AF%E8%B7%AF%E4%B8%80%E6%AE%B5721%E8%99%9F; https://www.pttsh.ttct.edu.tw/,https://www.pttsh.ttct.edu.tw/opendata?cid=1676,https://www.pttsh.ttct.edu.tw/ischool/publish_page/93/?cid=1586,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8+950307+%E8%87%BA%E6%9D%B1%E7%B8%A3%E8%87%BA%E6%9D%B1%E5%B8%82%E4%B8%AD%E8%8F%AF%E8%B7%AF%E4%B8%80%E6%AE%B5721%E8%99%9F,https://www.pttsh.ttct.edu.tw/,https://www.pttsh.ttct.edu.tw/home?cid=1098,https://www.pttsh.ttct.edu.tw/ischool/wr/file/1/280/5056394f5b9497ea125b3c00abedfa40.pdf
,140401,國立臺東專科學校附設高職部,公立,臺東區免試入學日間部,高職,男女校,臺東縣,臺東市,950005 臺東縣臺東市正氣北路889號,https://ttaivs.ntc.edu.tw/,089-226389,農業機械科:14(不限)；畜產保健科:12(不限)；機械科:24(不限)；汽車科:10(不限)；資訊科:24(不限)；電機科:6(不限)；土木科:21(不限)；室內空間設計科:25(不限)；家政科:14(不限),,150,115學年度臺東區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,農業機械、畜產保健、機械、汽車、資訊、電機、土木、室內空間設計、家政等專業群科。,,技術型高中；115學年度課程總體計畫已公開，各科依課程安排一般科目、專業科目、實習實作與校訂選修。,各專業科依115學年度課程計畫辦理實習實作、技能訓練與專題製作；實際題目依各科公告。,高職部位於精勤校區正氣北路889號；官網未標示115學年度固定學生專車完整路線。,固定公車站點與通勤時間網站未標示；Google地圖欄已依精勤校區官方地址建立查詢入口。,"校方设高职部学生宿舍；官方入住说明载明每学期住宿费3,500元（含冷气），实际床位与入住名册依校方公告。",https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E5%B0%88%E7%A7%91%E5%AD%B8%E6%A0%A1%E9%99%84%E8%A8%AD%E9%AB%98%E8%81%B7%E9%83%A8+950005+%E8%87%BA%E6%9D%B1%E7%B8%A3%E8%87%BA%E6%9D%B1%E5%B8%82%E6%AD%A3%E6%B0%A3%E5%8C%97%E8%B7%AF889%E8%99%9F; https://ttaivs.ntc.edu.tw/,https://ttaivs.ntc.edu.tw/,https://ttaivs.ntc.edu.tw/p/404-1011-14351.php?Lang=zh-tw,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E5%B0%88%E7%A7%91%E5%AD%B8%E6%A0%A1%E9%99%84%E8%A8%AD%E9%AB%98%E8%81%B7%E9%83%A8+950005+%E8%87%BA%E6%9D%B1%E7%B8%A3%E8%87%BA%E6%9D%B1%E5%B8%82%E6%AD%A3%E6%B0%A3%E5%8C%97%E8%B7%AF889%E8%99%9F,https://ttaivs.ntc.edu.tw/,https://ttaivs.ntc.edu.tw/,https://ttaivs.ntc.edu.tw/
,140404,國立關山高級工商職業學校,公立,臺東區免試入學日間部,高職,男女校,臺東縣,關山鎮,95642 臺東縣關山鎮民權路58號,https://www.ksvs.ttct.edu.tw/,089-811006,冷凍空調科:16(不限)；建築科:19(不限)；餐旅群不分科:39(不限)；資料處理科:21(不限)；時尚工藝科:16(不限),,111,115學年度臺東區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,冷凍空調、建築、餐旅、資料處理、時尚工藝等專業科，並設實習處與新課綱課程。,,技術型高中，以冷凍空調、建築、餐旅、資料處理、時尚工藝等專業方向為主，依115學年度各科課程計畫辦理。,各專業科依課程辦理實習工場、技能訓練與專題實作；實際題目依各科與實習處公告。,校方招生專區公布學生通學專車，包含臺東市鐵花村、池上萬安、延平等路線，並列上放學時刻。,例如臺東市鐵花村線06:25發車、約07:26到校，放學16:20由關山工商發車；其餘站點依校方最新專車頁。,校方招生專區设「宿舍介绍」，可确认有学生宿舍；115学年度床位、费用与申请资格依校方当年度公告。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E9%97%9C%E5%B1%B1%E9%AB%98%E7%B4%9A%E5%B7%A5%E5%95%86%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1+95642+%E8%87%BA%E6%9D%B1%E7%B8%A3%E9%97%9C%E5%B1%B1%E9%8E%AE%E6%B0%91%E6%AC%8A%E8%B7%AF58%E8%99%9F; https://www.ksvs.ttct.edu.tw/,https://www.ksvs.ttct.edu.tw/ischool/publish_page/17/?cid=204,https://www.ksvs.ttct.edu.tw/ischool/publish_page/17/?cid=203,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E9%97%9C%E5%B1%B1%E9%AB%98%E7%B4%9A%E5%B7%A5%E5%95%86%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1+95642+%E8%87%BA%E6%9D%B1%E7%B8%A3%E9%97%9C%E5%B1%B1%E9%8E%AE%E6%B0%91%E6%AC%8A%E8%B7%AF58%E8%99%9F,https://www.ksvs.ttct.edu.tw/,https://www.ksvs.ttct.edu.tw/,https://www.ksvs.ttct.edu.tw/
,140405,國立臺東高級商業職業學校,公立,臺東區免試入學日間部,高職,男女校,臺東縣,臺東市,950302 臺東縣臺東市正氣路440號,https://www.tscvs.ttct.edu.tw/,089-350575,商業經營科:17(不限)；會計事務科:24(不限)；資料處理科:19(不限)；廣告設計科:32(不限)；觀光事業科:20(不限)；電子商務科:21(不限)；應用英語科:13(不限),,146,115學年度臺東區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,商業經營、會計事務、資料處理、廣告設計、觀光事業、電子商務、應用英語等專業科。,,技術型高中；115課程手冊已公开，课程涵盖商管、会计、资讯、电商、设计、观光与应用英语等专业方向。,日間部各科依課程辦理校內外實習、職場參觀與專題；校方實習計畫適用日間部與進修部學生。,官網列8103、8109、8112、8113、8116、8117、8118、8119，以及8121、8122、8123等公車／學生專車路線。,可依校方列出的鼎東客運路线到校；实际班次与停靠时间以营运单位及校方最新公告为准。,校方宿舍1棟，男生8間48床、女生21間126床，共174床，每寢室6床；實際115學年度申請依校方公告。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E9%AB%98%E7%B4%9A%E5%95%86%E6%A5%AD%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1+950302+%E8%87%BA%E6%9D%B1%E7%B8%A3%E8%87%BA%E6%9D%B1%E5%B8%82%E6%AD%A3%E6%B0%A3%E8%B7%AF440%E8%99%9F; https://www.tscvs.ttct.edu.tw/,https://www.tscvs.ttct.edu.tw/home?cid=840,https://www.tscvs.ttct.edu.tw/home?cid=840,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E9%AB%98%E7%B4%9A%E5%95%86%E6%A5%AD%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1+950302+%E8%87%BA%E6%9D%B1%E7%B8%A3%E8%87%BA%E6%9D%B1%E5%B8%82%E6%AD%A3%E6%B0%A3%E8%B7%AF440%E8%99%9F,https://www.tscvs.ttct.edu.tw/,https://gogofinder.tscvs.ttct.edu.tw/index/index.php,https://www.tscvs.ttct.edu.tw/ischool/public/resource_view/openfid.php?id=2639
,140408,國立成功商業水產職業學校,公立,臺東區免試入學日間部,綜高,男女校,臺東縣,成功鎮,961 臺東縣成功鎮太平路52號,https://www.ckvs.ttct.edu.tw/,089-850011,綜合高中:104(不限),,104,115學年度臺東區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,綜合高中；高二、高三设学术、商业服务、观光、餐饮、资讯应用、水产养殖等学程。,,綜合高中，高一进行课程探索，高二、高三依学术或商业、观光、餐饮、资讯、水产等学程分流。,專門學程依商業、觀光、餐飲、資訊與水產養殖方向辦理實作；另有養殖場、觀光實習旅館等實習場域。,可搭鼎東客運8101、8102、8103、8120、8105、8107等至成功站，再步行約5分鐘到校。,主要公共運輸節點為鼎東客運成功站；由成功站步行至校約5分鐘。,校方校园内设学生宿舍与棒球队宿舍，学生手册亦列住宿生活规范与宿舍收费规定；115学年度床位依校方公告。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%88%90%E5%8A%9F%E5%95%86%E6%A5%AD%E6%B0%B4%E7%94%A2%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1+961+%E8%87%BA%E6%9D%B1%E7%B8%A3%E6%88%90%E5%8A%9F%E9%8E%AE%E5%A4%AA%E5%B9%B3%E8%B7%AF52%E8%99%9F; https://www.ckvs.ttct.edu.tw/,https://www.ckvs.ttct.edu.tw/ischool/publish_page/21/?cid=567,https://www.ckvs.ttct.edu.tw/ischool/publish_page/21/?cid=555,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%88%90%E5%8A%9F%E5%95%86%E6%A5%AD%E6%B0%B4%E7%94%A2%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1+961+%E8%87%BA%E6%9D%B1%E7%B8%A3%E6%88%90%E5%8A%9F%E9%8E%AE%E5%A4%AA%E5%B9%B3%E8%B7%AF52%E8%99%9F,https://www.ckvs.ttct.edu.tw/,https://www.ckvs.ttct.edu.tw/home,https://www.ckvs.ttct.edu.tw/ischool/publish_page/3/
,140C01,國立臺東專科學校附設高級農工職業進修學校,公立,臺東區免試入學日間部,進修部,男女校,臺東縣,臺東市,950005 臺東縣臺東市正氣北路889號,https://soce.ntc.edu.tw/,089-226389 分機2010,電機科(夜間班):5(不限)；家政科(夜間班):5(不限),,10,115學年度臺東區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,進修學校115學年度招生電機科、家政科夜間班；網站未標示另設資優班。,,進修學制，以電機科、家政科夜間課程為主；一般科目、專業科目與實作依進修學校115學年度課程安排。,依進修學校電機、家政科課程安排專業實作；網站未標示115學年度全校統一專題題目。,進修學校位於精勤校區正氣北路889號；官網未標示115學年度夜間固定學生專車或完整大眾運輸銜接班次。,夜間固定班次、站點與末班車銜接資訊網站未標示。,進修學校官網未標示進修學生是否适用高职部学生宿舍资格；本表不直接套用日间部住宿规定。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E5%B0%88%E7%A7%91%E5%AD%B8%E6%A0%A1%E9%99%84%E8%A8%AD%E9%AB%98%E7%B4%9A%E8%BE%B2%E5%B7%A5%E8%81%B7%E6%A5%AD%E9%80%B2%E4%BF%AE%E5%AD%B8%E6%A0%A1+950005+%E8%87%BA%E6%9D%B1%E7%B8%A3%E8%87%BA%E6%9D%B1%E5%B8%82%E6%AD%A3%E6%B0%A3%E5%8C%97%E8%B7%AF889%E8%99%9F; https://soce.ntc.edu.tw/,https://soce.ntc.edu.tw/,https://soce.ntc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E5%B0%88%E7%A7%91%E5%AD%B8%E6%A0%A1%E9%99%84%E8%A8%AD%E9%AB%98%E7%B4%9A%E8%BE%B2%E5%B7%A5%E8%81%B7%E6%A5%AD%E9%80%B2%E4%BF%AE%E5%AD%B8%E6%A0%A1+950005+%E8%87%BA%E6%9D%B1%E7%B8%A3%E8%87%BA%E6%9D%B1%E5%B8%82%E6%AD%A3%E6%B0%A3%E5%8C%97%E8%B7%AF889%E8%99%9F,https://soce.ntc.edu.tw/,https://soce.ntc.edu.tw/,https://soce.ntc.edu.tw/
,140C05,國立臺東高級商業職業學校進修部,公立,臺東區免試入學進修部,進修部,男女校,臺東縣,臺東市,950302 臺東縣臺東市正氣路440號,https://www.tscvs.ttct.edu.tw/,089-350575,商業經營科(夜間班):17(不限)；資料處理科(夜間班):17(不限),,34,115學年度臺東區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,進修部商業經營科、資料處理科夜間班；網站未標示進修部另設資優班。,,進修部以商業經營、資料處理為主要方向；課程强调学习力、实作力、专业力与创新力。,進修部學生適用校方校外職場參觀與校外實習計畫，各科可依課程安排實習與職場學習。,校本部日间公车／学生专车资讯可供位置参考，但进修部网站未标示115学年度夜间固定学生专车。,進修部作息为周一至周四18:00–22:05、周五18:00–21:15；夜间末班车衔接需依实际营运班次查询。,進修部官網未標示進修部學生是否具校內宿舍申請資格；本表不直接套用日間部174床宿舍制度。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E9%AB%98%E7%B4%9A%E5%95%86%E6%A5%AD%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1%E9%80%B2%E4%BF%AE%E9%83%A8+950302+%E8%87%BA%E6%9D%B1%E7%B8%A3%E8%87%BA%E6%9D%B1%E5%B8%82%E6%AD%A3%E6%B0%A3%E8%B7%AF440%E8%99%9F; https://www.tscvs.ttct.edu.tw/,https://www.tscvs.ttct.edu.tw/home?cid=840,https://www.tscvs.ttct.edu.tw/home,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E9%AB%98%E7%B4%9A%E5%95%86%E6%A5%AD%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1%E9%80%B2%E4%BF%AE%E9%83%A8+950302+%E8%87%BA%E6%9D%B1%E7%B8%A3%E8%87%BA%E6%9D%B1%E5%B8%82%E6%AD%A3%E6%B0%A3%E8%B7%AF440%E8%99%9F,https://www.tscvs.ttct.edu.tw/,https://www.tscvs.ttct.edu.tw/ischool/wr/file/1/612/7a6dba5cf60cbfd2b5f0cd5d298ecb1e.pdf,https://www.tscvs.ttct.edu.tw/ischool/public/resource_view/openfid.php?id=2639
,141301,均一學校財團法人臺東縣均一國際教育實驗高級中等學校,私立,臺東區免試入學日間部,高中,男女校,臺東縣,臺東市,950 臺東縣臺東市中興路二段366巷36號,https://junyi.tw/,089-223301,普通科:8(不限),,8,115學年度臺東區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,实验教育高中，课程以华德福教育、探索教育、创意学群、英语学习与国际视野为特色。,,实验教育高中，以学生为中心，结合华德福教育、探索教育、创意学群、英语／国际学习、自主学习与跨域课程。,不设技职类固定实习；以探索、艺术、人文、自然生态、自主学习与专题报告等成果为主要实作形式。,115学年度新生资讯未公布固定学生专车完整路线；学校位于台东市中兴路二段366巷36号。,固定校车／大众运输站点与时间网站未标示；新生与家长需依个人往返安排交通。,学校设住宿教育与男女学生宿舍区，公开资料载近280个床位；高中生可依学校规定申请独立宿舍，实际115学年度床位依校方安排。,https://www.google.com/maps/search/?api=1&query=%E5%9D%87%E4%B8%80%E5%AD%B8%E6%A0%A1%E8%B2%A1%E5%9C%98%E6%B3%95%E4%BA%BA%E8%87%BA%E6%9D%B1%E7%B8%A3%E5%9D%87%E4%B8%80%E5%9C%8B%E9%9A%9B%E6%95%99%E8%82%B2%E5%AF%A6%E9%A9%97%E9%AB%98%E7%B4%9A%E4%B8%AD%E7%AD%89%E5%AD%B8%E6%A0%A1+950+%E8%87%BA%E6%9D%B1%E7%B8%A3%E8%87%BA%E6%9D%B1%E5%B8%82%E4%B8%AD%E8%88%88%E8%B7%AF%E4%BA%8C%E6%AE%B5366%E5%B7%B736%E8%99%9F; https://junyi.tw/,https://junyi.tw/story/6861,https://junyi.tw/node/221,https://www.google.com/maps/search/?api=1&query=%E5%9D%87%E4%B8%80%E5%AD%B8%E6%A0%A1%E8%B2%A1%E5%9C%98%E6%B3%95%E4%BA%BA%E8%87%BA%E6%9D%B1%E7%B8%A3%E5%9D%87%E4%B8%80%E5%9C%8B%E9%9A%9B%E6%95%99%E8%82%B2%E5%AF%A6%E9%A9%97%E9%AB%98%E7%B4%9A%E4%B8%AD%E7%AD%89%E5%AD%B8%E6%A0%A1+950+%E8%87%BA%E6%9D%B1%E7%B8%A3%E8%87%BA%E6%9D%B1%E5%B8%82%E4%B8%AD%E8%88%88%E8%B7%AF%E4%BA%8C%E6%AE%B5366%E5%B7%B736%E8%99%9F,https://junyi.tw/,https://junyi.tw/node/203,https://junyi.tw/node/203
,141406,臺東縣私立公東高級工業職業學校,私立,臺東區免試入學日間部,高職,男女校,臺東縣,臺東市,95023 臺東縣臺東市中興路一段560號,https://www.ktus.ttct.edu.tw/,089-222877,機械科:34(不限)；電機科:36(不限)；家具木工科:26(不限)；室內空間設計科:31(不限)；時尚造型科:31(不限),,158,115學年度臺東區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,機械、木工、電機、室內空間設計、時尚、美髮、餐飲等技職方向；以师徒制与实作教学闻名。,,技術型高中，以机械、家具木工、电机、室内空间设计、时尚造型、餐饮等专业为主，依各科课程计划安排实作与技能训练。,各专业科依课程办理师徒制实作、技能训练、作品制作与专题；实际内容依各科与实习单位公告。,学校官网未标示115学年度固定学生专车完整路线；校址为台东市中兴路一段560号。,固定通勤班次、站点与步行时间网站未标示；Google地图栏已依官方校址建立查询入口。,校方确有学生住宿需求与宿舍设施；资讯大楼改建宿舍工程执行期程至115年7月，115学年度实际启用床位与申请方式依校方公告。,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E6%9D%B1%E7%B8%A3%E7%A7%81%E7%AB%8B%E5%85%AC%E6%9D%B1%E9%AB%98%E7%B4%9A%E5%B7%A5%E6%A5%AD%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1+95023+%E8%87%BA%E6%9D%B1%E7%B8%A3%E8%87%BA%E6%9D%B1%E5%B8%82%E4%B8%AD%E8%88%88%E8%B7%AF%E4%B8%80%E6%AE%B5560%E8%99%9F; https://www.ktus.ttct.edu.tw/,https://www.ktus.ttct.edu.tw/,https://www.ktus.ttct.edu.tw/ischool/wr/file/1/128/295efaebb0f4ae498bb81674e2de4dda.pdf,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E6%9D%B1%E7%B8%A3%E7%A7%81%E7%AB%8B%E5%85%AC%E6%9D%B1%E9%AB%98%E7%B4%9A%E5%B7%A5%E6%A5%AD%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1+95023+%E8%87%BA%E6%9D%B1%E7%B8%A3%E8%87%BA%E6%9D%B1%E5%B8%82%E4%B8%AD%E8%88%88%E8%B7%AF%E4%B8%80%E6%AE%B5560%E8%99%9F,https://www.ktus.ttct.edu.tw/,https://www.ktus.ttct.edu.tw/,https://www.ktus.ttct.edu.tw/
