排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,分數來源備註,資優班/特色班,排序分數,課程方向,實習／專題,交通方式,通勤資訊,住宿資訊,生活資料來源,交通資料來源,住宿資料來源,Google地圖,地址資料來源,課程資料來源,實習專題資料來源
,090305,國立斗六高中,公立,雲林區學校名錄,高中,男女校,雲林縣,斗六市,640 雲林縣斗六市民生路224號,https://www.tlsh.ylc.edu.tw/,(05)5322039,普通科(日)；美術班(日)；體育班(日)；數理資優班(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,美術班、體育班、數理資優班；115學年度另有數理實驗班、語文實驗班，實際成班依校方公告。,,美術班、體育班、數理資優班；115學年度另有數理實驗班、語文實驗班，實際成班依校方公告。,不設技職類固定實習；以探究與實作、自主學習及學習歷程成果為主。網站未標示115學年度全校統一專題題目。,115學年度新生專區將「通車月票」列為生輔組業務；學校官網未標示115-1固定學生專車完整站點表。,固定通勤站點與時間網站未標示；Google地圖欄已依官方校址建立查詢入口。,校方115學年度新生住宿須知已公告；以路程偏遠及交通不便優先，宿舍四人一寢，實際核准依校方名單。,https://www.google.com/maps/search/?api=1&query=640+%E9%9B%B2%E6%9E%97%E7%B8%A3%E6%96%97%E5%85%AD%E5%B8%82%E6%B0%91%E7%94%9F%E8%B7%AF224%E8%99%9F; https://www.tlsh.ylc.edu.tw/,https://www.tlsh.ylc.edu.tw/affairs/aca-affairs/tlsh2/recruit/,https://www.tlsh.ylc.edu.tw/2026/06/23/64403/,https://www.google.com/maps/search/?api=1&query=640+%E9%9B%B2%E6%9E%97%E7%B8%A3%E6%96%97%E5%85%AD%E5%B8%82%E6%B0%91%E7%94%9F%E8%B7%AF224%E8%99%9F,https://www.tlsh.ylc.edu.tw/,https://www.tlsh.ylc.edu.tw/category/new-post/recruit/,https://www.tlsh.ylc.edu.tw/category/new-post/recruit/
,090306,國立北港高中,公立,雲林區學校名錄,綜高,男女校,雲林縣,北港鎮,651005 雲林縣北港鎮成功路26號,https://www.pksh.ylc.edu.tw/,(05)7821411,普通科(日)；體育班(日)；商業經營科(日)；國際貿易科(日)；資料處理科(日)；應用英語科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,普通科與商業經營、國際貿易、資料處理、應用英語等專業科並行；115學年度有數理實驗班。,,普通科與商業經營、國際貿易、資料處理、應用英語等專業科並行；115學年度有數理實驗班。,普通／學術方向以探究與自主學習為主，專業方向另安排實習實作與專題製作；實際內容依各科及115學年度課程計畫。,115學年度新生報到需填「交通工具調查表（含專車）」；校方另設學生宿舍與專車專區。,115學年度完整專車時刻表網站未標示；搭乘資格與站點依校方最新公告。,校方設學生宿舍；宿舍管理要點已於115年7月更新，115-1可依新生宿舍Q&A與校方規定申請。,https://www.google.com/maps/search/?api=1&query=651005+%E9%9B%B2%E6%9E%97%E7%B8%A3%E5%8C%97%E6%B8%AF%E9%8E%AE%E6%88%90%E5%8A%9F%E8%B7%AF26%E8%99%9F; https://www.pksh.ylc.edu.tw/,https://sites.google.com/pksh.ylc.edu.tw/115,https://www.pksh.ylc.edu.tw/home?cid=4018,https://www.google.com/maps/search/?api=1&query=651005+%E9%9B%B2%E6%9E%97%E7%B8%A3%E5%8C%97%E6%B8%AF%E9%8E%AE%E6%88%90%E5%8A%9F%E8%B7%AF26%E8%99%9F,https://www.pksh.ylc.edu.tw/,https://www.pksh.ylc.edu.tw/ischool/widget/main_menu/show.php?cid=3032,https://www.pksh.ylc.edu.tw/ischool/widget/main_menu/show.php?cid=3032
,090315,國立虎尾高中,公立,雲林區學校名錄,高中,男女校,雲林縣,虎尾鎮,632302 雲林縣虎尾鎮光復路222號,https://www.hwsh.ylc.edu.tw/,(05)6322121,普通科(日)；體育班(日)；數理資優班(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,體育班、數理資優班；實際招生與安置依115學年度公告。,,體育班、數理資優班；實際招生與安置依115學年度公告。,不設技職類固定實習；以探究與實作、自主學習及學習歷程成果為主。網站未標示115學年度全校統一專題題目。,學校官網未標示115學年度固定學生專車或完整大眾運輸到校路線。,固定通勤站點、班次與步行時間網站未標示；本表不自行補寫路線。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=632302+%E9%9B%B2%E6%9E%97%E7%B8%A3%E8%99%8E%E5%B0%BE%E9%8E%AE%E5%85%89%E5%BE%A9%E8%B7%AF222%E8%99%9F; https://www.hwsh.ylc.edu.tw/,https://www.hwsh.ylc.edu.tw/,https://www.hwsh.ylc.edu.tw/,https://www.google.com/maps/search/?api=1&query=632302+%E9%9B%B2%E6%9E%97%E7%B8%A3%E8%99%8E%E5%B0%BE%E9%8E%AE%E5%85%89%E5%BE%A9%E8%B7%AF222%E8%99%9F,https://www.hwsh.ylc.edu.tw/,https://www.hwsh.ylc.edu.tw/home?cid=477,https://www.hwsh.ylc.edu.tw/home?cid=477
,090401,國立虎尾農工,公立,雲林區學校名錄,高職,男女校,雲林縣,虎尾鎮,632 雲林縣虎尾鎮博愛路65號,https://www.hwaivs.ylc.edu.tw/,(05)6322767,食品加工科(日)；畜產保健科(日)；機械科(日)；電機科(日)；建築科(日)；生物產業機電科(日)；電腦機械製圖科(日)；商業經營科(日)；門市服務科(日)；農業技術科(日)；烘焙食品科(日)；電機修護科(日)；營造技術科(日)；電腦繪圖科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,食品、畜保、機械、電機、建築、生機、製圖、商業等專業群科及實用技能學程。,,食品、畜保、機械、電機、建築、生機、製圖、商業等專業群科及實用技能學程。,各專業科依115學年度技術型與實用技能課程計畫辦理專業實習、技能訓練與專題實作。,115年新生訓練與全校返校日校方公布學生專車票價及路線表，並由臺西客運辦理登記。,115-1正式上課期間完整固定專車時刻表以校方後續公告為準；本表不沿用活動日臨時時刻。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=632+%E9%9B%B2%E6%9E%97%E7%B8%A3%E8%99%8E%E5%B0%BE%E9%8E%AE%E5%8D%9A%E6%84%9B%E8%B7%AF65%E8%99%9F; https://www.hwaivs.ylc.edu.tw/,https://www.hwaivs.ylc.edu.tw/2026/07/07/115%E5%B9%B4%E6%96%B0%E7%94%9F%E8%A8%93%E7%B7%B4%E5%B0%88%E8%BB%8A%E7%A5%A8%E5%83%B9%E5%8F%8A%E8%B7%AF%E7%B7%9A%E8%A1%A8%E5%90%AB%E7%AB%99%E5%88%A5%EF%BC%8C-%E8%AB%8B%E5%AE%B6%E9%95%B7%E5%8F%8A/,https://www.hwaivs.ylc.edu.tw/,https://www.google.com/maps/search/?api=1&query=632+%E9%9B%B2%E6%9E%97%E7%B8%A3%E8%99%8E%E5%B0%BE%E9%8E%AE%E5%8D%9A%E6%84%9B%E8%B7%AF65%E8%99%9F,https://www.hwaivs.ylc.edu.tw/,https://www.hwaivs.ylc.edu.tw/,https://www.hwaivs.ylc.edu.tw/
,090402,國立西螺農工,公立,雲林區學校名錄,綜高,男女校,雲林縣,西螺鎮,648 雲林縣西螺鎮大同路4號,https://www.hlvs.ylc.edu.tw/,(05)5862024,食品加工科(日)；食品加工科(夜)；畜產保健科(日)；機械科(日)；汽車科(日)；電子科(日)；電機科(日)；電機科(夜)；化工科(日)；生物產業機電科(日)；電腦機械製圖科(夜)；微電腦修護科(日)；電腦繪圖科(日)；機械加工科(日)；商用資訊科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,綜合高中與食品、畜保、機械、汽車、電子、電機、化工、生機、商用資訊等專業方向並行。,,綜合高中與食品、畜保、機械、汽車、電子、電機、化工、生機、商用資訊等專業方向並行。,專業群科依課程辦理實習與專題製作；115專題實作及創意競賽決賽已有機械群科獲獎成果，另有多群科技藝競賽。,115學年度開學後學生專車分甲1元發客運、甲2成吉客運及海線乙區臺西客運等路線，校方已公告各站點與時間。,學生依115學年度各專車路線表候車，校方要求提早5分鐘到站。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=648+%E9%9B%B2%E6%9E%97%E7%B8%A3%E8%A5%BF%E8%9E%BA%E9%8E%AE%E5%A4%A7%E5%90%8C%E8%B7%AF4%E8%99%9F; https://www.hlvs.ylc.edu.tw/,https://www.hlvs.ylc.edu.tw/?p=64861,https://www.hlvs.ylc.edu.tw/,https://www.google.com/maps/search/?api=1&query=648+%E9%9B%B2%E6%9E%97%E7%B8%A3%E8%A5%BF%E8%9E%BA%E9%8E%AE%E5%A4%A7%E5%90%8C%E8%B7%AF4%E8%99%9F,https://www.hlvs.ylc.edu.tw/,https://www.hlvs.ylc.edu.tw/?page_id=1391,https://www.hlvs.ylc.edu.tw/?page_id=1391
,090403,國立斗六家商,公立,雲林區學校名錄,高職,男女校,雲林縣,斗六市,640 雲林縣斗六市成功路120號,https://www.tlhc.ylc.edu.tw/,(05)5322147,商業經營科(夜)；國際貿易科(日)；資料處理科(日)；廣告設計科(日)；應用英語科(日)；幼兒保育科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,國貿、資料處理、廣告設計、應用英語、幼兒保育等家商專業科；另設進修部商業經營科。,,國貿、資料處理、廣告設計、應用英語、幼兒保育等家商專業科；另設進修部商業經營科。,各專業科依115學年度課程計畫辦理實習實作、技能訓練與專題製作；未有全校統一題目時以各科／實習處公告為準。,115學年度新生始業輔導公告明列臺西客運學生專車9月份車資，確認校方有學生專車通勤安排。,完整115-1學生專車站點表網站未標示；搭乘與月票依校方生輔／臺西客運公告。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=640+%E9%9B%B2%E6%9E%97%E7%B8%A3%E6%96%97%E5%85%AD%E5%B8%82%E6%88%90%E5%8A%9F%E8%B7%AF120%E8%99%9F; https://www.tlhc.ylc.edu.tw/,https://www.tlhc.ylc.edu.tw/ischool/publish_page/5/?cid=2363,https://www.tlhc.ylc.edu.tw/,https://www.google.com/maps/search/?api=1&query=640+%E9%9B%B2%E6%9E%97%E7%B8%A3%E6%96%97%E5%85%AD%E5%B8%82%E6%88%90%E5%8A%9F%E8%B7%AF120%E8%99%9F,https://www.tlhc.ylc.edu.tw/,https://www.tlhc.ylc.edu.tw/,https://www.tlhc.ylc.edu.tw/
,090404,國立北港農工,公立,雲林區學校名錄,高職,男女校,雲林縣,北港鎮,651 雲林縣北港鎮太平路80號,https://www.pkvs.ylc.edu.tw/,(05)7832246,農場經營科(日)；農業機械科(日)；畜產保健科(日)；機械科(日)；資訊科(日)；電機科(日)；化工科(日)；餐飲服務科(日)；微電腦修護科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,農場經營、農業機械、畜產保健、機械、資訊、電機、化工等專業科及實用技能學程。,,農場經營、農業機械、畜產保健、機械、資訊、電機、化工等專業科及實用技能學程。,各專業科依115學年度一般專業類科與實用技能學程課程計畫辦理實習、實作與專題。,學校官網未標示115學年度固定學生專車完整路線或固定大眾運輸到校班次。,固定通勤站點、班次與步行時間網站未標示；本表不自行補寫路線。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=651+%E9%9B%B2%E6%9E%97%E7%B8%A3%E5%8C%97%E6%B8%AF%E9%8E%AE%E5%A4%AA%E5%B9%B3%E8%B7%AF80%E8%99%9F; https://www.pkvs.ylc.edu.tw/,https://www.pkvs.ylc.edu.tw/,https://www.pkvs.ylc.edu.tw/,https://www.google.com/maps/search/?api=1&query=651+%E9%9B%B2%E6%9E%97%E7%B8%A3%E5%8C%97%E6%B8%AF%E9%8E%AE%E5%A4%AA%E5%B9%B3%E8%B7%AF80%E8%99%9F,https://www.pkvs.ylc.edu.tw/,https://www.pkvs.ylc.edu.tw/ischool/publish_page/13/?cid=391,https://www.pkvs.ylc.edu.tw/ischool/publish_page/13/?cid=391
,090413,國立土庫商工,公立,雲林區學校名錄,高職,男女校,雲林縣,土庫鎮,633 雲林縣土庫鎮中央路2號,https://www.tkvs.ylc.edu.tw/,(05)6622538,建築科(日)；美工科(日)；商業經營科(日)；會計事務科(日)；資料處理科(日)；廣告設計科(日)；營造技術科(日)；商業事務科(日)；商用資訊科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,建築、美工、商經、會計、資料處理、廣告設計等專業科及實用技能學程；115學年度另有人工智慧與資通安全實驗課程計畫。,,建築、美工、商經、會計、資料處理、廣告設計等專業科及實用技能學程；115學年度另有人工智慧與資通安全實驗課程計畫。,依115學年度課程計畫辦理建築、設計、商管、資訊等專業實作；另有人工智慧與資通安全實驗課程。,115學年度校方已公告開學學生專車山線、海線路線時刻表。,校方要求各站提早10分鐘候車；北港、西庄、馬光、褒忠、東明國中等站依115學年度指定路線搭乘。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=633+%E9%9B%B2%E6%9E%97%E7%B8%A3%E5%9C%9F%E5%BA%AB%E9%8E%AE%E4%B8%AD%E5%A4%AE%E8%B7%AF2%E8%99%9F; https://www.tkvs.ylc.edu.tw/,https://www.tkvs.ylc.edu.tw/index.php?id=24914&index=2&lang=cht&option=module&task=pageinfo,https://www.tkvs.ylc.edu.tw/,https://www.google.com/maps/search/?api=1&query=633+%E9%9B%B2%E6%9E%97%E7%B8%A3%E5%9C%9F%E5%BA%AB%E9%8E%AE%E4%B8%AD%E5%A4%AE%E8%B7%AF2%E8%99%9F,https://www.tkvs.ylc.edu.tw/,https://www.tkvs.ylc.edu.tw/index.php?id=308&option=module&task=showlist,https://www.tkvs.ylc.edu.tw/index.php?id=308&option=module&task=showlist
,091307,私立永年高中,私立,雲林區學校名錄,高中,男女校,雲林縣,土庫鎮,633 雲林縣土庫鎮建國路13號,https://www.ynhs.ylc.edu.tw/,05-6622540,普通科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,普通高中；115學年度數理實驗班正式招生，並推動閱讀、英文素養與探究實作特色課程。,,普通高中；115學年度數理實驗班正式招生，並推動閱讀、英文素養與探究實作特色課程。,不設技職類固定實習；以探究與實作、自主學習及學習歷程成果為主。網站未標示115學年度全校統一專題題目。,校方設校車路線專區，115學年度暑期輔導已公告校車路線時刻表；高一新生資訊亦明列校車時間表另行公告。,學生校車依校方當期路線表搭乘；固定站點與時間以115學年度最新公告為準。,校方設男、女生宿舍；115學年度高一新生資訊明列暑輔前一日可入住，實際床位與規定依校方住宿公告。,https://www.google.com/maps/search/?api=1&query=633+%E9%9B%B2%E6%9E%97%E7%B8%A3%E5%9C%9F%E5%BA%AB%E9%8E%AE%E5%BB%BA%E5%9C%8B%E8%B7%AF13%E8%99%9F; https://www.ynhs.ylc.edu.tw/,https://www.ynhs.ylc.edu.tw/,https://www.ynhs.ylc.edu.tw/news/6/5348,https://www.google.com/maps/search/?api=1&query=633+%E9%9B%B2%E6%9E%97%E7%B8%A3%E5%9C%9F%E5%BA%AB%E9%8E%AE%E5%BB%BA%E5%9C%8B%E8%B7%AF13%E8%99%9F,https://www.ynhs.ylc.edu.tw/,https://www.ynhs.ylc.edu.tw/,https://www.ynhs.ylc.edu.tw/
,091308,私立正心高中,私立,雲林區學校名錄,高中,男女校,雲林縣,斗六市,雲林縣斗六市正心路1號,https://www.shsh.ylc.edu.tw/,(05)5512502,普通科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,普通高中；115學年度設數理實驗班，另有校本特色與多元學習活動。,,普通高中；115學年度設數理實驗班，另有校本特色與多元學習活動。,不設技職類固定實習；以探究與實作、自主學習及學習歷程成果為主。網站未標示115學年度全校統一專題題目。,校方115學年度已公布交通車時刻表與期初交通車乘車調查。,學生交通車依115學年度最新時刻表及乘車登記搭乘。,校方設學生宿舍；115-1已有住宿生返宿公告，實際床位、申請與管理依校方住宿公告。,https://www.google.com/maps/search/?api=1&query=%E9%9B%B2%E6%9E%97%E7%B8%A3%E6%96%97%E5%85%AD%E5%B8%82%E6%AD%A3%E5%BF%83%E8%B7%AF1%E8%99%9F; https://www.shsh.ylc.edu.tw/,https://www.shsh.ylc.edu.tw/,https://www.shsh.ylc.edu.tw/guide/,https://www.google.com/maps/search/?api=1&query=%E9%9B%B2%E6%9E%97%E7%B8%A3%E6%96%97%E5%85%AD%E5%B8%82%E6%AD%A3%E5%BF%83%E8%B7%AF1%E8%99%9F,https://www.shsh.ylc.edu.tw/,https://www.shsh.ylc.edu.tw/guide/,https://www.shsh.ylc.edu.tw/guide/
