排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,資優班/特色班,住宿資訊,課程方向,實習／專題,校車／專車資訊,通勤資訊,住宿資訊,Google地圖,課程資料來源,實習專題資料來源,校車／專車資料來源,通勤資料來源,住宿資料來源,地址資料來源,生活資料來源,資料更新日期
,120303,國立鳳山高中,公立,高雄區學校名錄,高中,男女校,高雄市,鳳山區,高雄市鳳山區光復路二段130號,https://www.fssh.khc.edu.tw/,(07)7463150,普通科(日)；數理資優班(日),,,請以各校當年度公告為準,國立鳳山高中的一般高中職學生住宿目前沒有固定公開申請資訊。,國立鳳山高中以普通高中學科基礎、跨領域選修與探究學習，並保留自主學習與生涯探索空間為主，115學年度課程包含自然科學探究與實作、社會領域探究等學習內容；另設有數理資優班等班別，相關課程依班別深化。,國立鳳山高中以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段的實作／專題型學習。,有學生專車。校方交通資料列有梓官右昌、高楠方向的學生專車方案，並以實際登記人數確認是否成行。,可由臺鐵正義站步行約10分鐘到校；也可由捷運鳳山西站步行前往，另有多條市區公車停靠學校周邊。,國立鳳山高中的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E9%B3%B3%E5%B1%B1%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E9%B3%B3%E5%B1%B1%E5%8D%80%E5%85%89%E5%BE%A9%E8%B7%AF%E4%BA%8C%E6%AE%B5130%E8%99%9F,https://www.fssh.khc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.fssh.khc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.fssh.khc.edu.tw/ischool/public/resource_view/open.php?file=15def6bd163945fc5fde64357ceaab5a.pdf,https://www.fssh.khc.edu.tw/ischool/public/resource_view/open.php?file=15def6bd163945fc5fde64357ceaab5a.pdf,https://www.fssh.khc.edu.tw/,https://www.fssh.khc.edu.tw/,https://www.fssh.khc.edu.tw/,2026-09-07
,120304,國立岡山高中,公立,高雄區學校名錄,高中,男女校,高雄市,岡山區,高雄市岡山區公園路52號,https://www.kssh.khc.edu.tw/,(07)6212033,普通科(日)；體育班(日),,,請以各校當年度公告為準,國立岡山高中的一般高中職學生住宿目前沒有固定公開申請資訊。,國立岡山高中以部定必修、校訂課程、多元選修與彈性學習為主，115學年度課程包含自然科學探究與實作、社會領域探究等學習內容；另設有體育班等班別，相關課程依班別深化。,國立岡山高中以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段的實作／專題型學習。,有學生專車。校方交通資料提供岡山高中學生專車路線與時刻，供學生上下學使用。,可先至臺鐵岡山站或捷運岡山／南岡山一帶，再轉乘紅69等岡山地區公車至岡山高中周邊。,國立岡山高中的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%B2%A1%E5%B1%B1%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%B2%A1%E5%B1%B1%E5%8D%80%E5%85%AC%E5%9C%92%E8%B7%AF52%E8%99%9F,https://www.kssh.khc.edu.tw/p/412-1001-613.php,https://www.kssh.khc.edu.tw/p/412-1001-613.php,https://www.kssh.khc.edu.tw/var/file/1/1001/attach/8/pta_91256_451786_41870.pdf,https://www.kssh.khc.edu.tw/var/file/1/1001/attach/8/pta_91256_451786_41870.pdf,https://www.kssh.khc.edu.tw/,https://www.kssh.khc.edu.tw/,https://www.kssh.khc.edu.tw/,2026-09-07
,120311,國立旗美高中,公立,高雄區學校名錄,綜高,男女校,高雄市,旗山區,高雄市旗山區東平里樹人路21號,https://www.cmsh.khc.edu.tw/,(07)6612502,普通科(日)；體育班(日)；多媒體設計科(日)；家政科(日)；幼兒保育科(日),,,請以各校當年度公告為準,學校設有學生宿舍。115學年度新生資料提供住宿申請及宿舍生活規範，學生依申請程序入住。,國立旗美高中兼具普通高中學術課程與體育班、多媒體設計科、家政科、幼兒保育科等專業方向，課程包含語文數理、探究學習、多元選修及技術專業課程，提供學術與職涯兩種延伸路徑。,國立旗美高中的體育班、多媒體設計科、家政科、幼兒保育科依115學年度課程安排專業實作、實習科目與專題製作，學生透過作品、操作練習及成果發表整合所學。,有學生專車。115學年度新生資料提供專車路線及發車時刻，包含甲仙、圓潭、美濃、南化等方向。,可先到旗山轉運站，再轉乘旗山、內門、美濃等方向公車至東平里樹人路周邊站點，步行到國立旗美高中。,學校設有學生宿舍。115學年度新生資料提供住宿申請及宿舍生活規範，學生依申請程序入住。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%97%97%E7%BE%8E%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E6%97%97%E5%B1%B1%E5%8D%80%E6%9D%B1%E5%B9%B3%E9%87%8C%E6%A8%B9%E4%BA%BA%E8%B7%AF21%E8%99%9F,https://www.cmsh.khc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.cmsh.khc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.cmsh.khc.edu.tw/home?cid=517,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%97%97%E7%BE%8E%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E6%97%97%E5%B1%B1%E5%8D%80%E6%9D%B1%E5%B9%B3%E9%87%8C%E6%A8%B9%E4%BA%BA%E8%B7%AF21%E8%99%9F | https://ibus.tbkc.gov.tw/,https://www.cmsh.khc.edu.tw/home?cid=517,https://www.cmsh.khc.edu.tw/,https://www.cmsh.khc.edu.tw/,2026-09-07
,120319,國立鳳新高中,公立,高雄區學校名錄,高中,男女校,高雄市,鳳山區,高雄市鳳山區新富路257號,https://www.fhsh.khc.edu.tw/,(07)7658288,普通科(日)；音樂班(日)；美術班(日),,,請以各校當年度公告為準,國立鳳新高中的一般高中職學生住宿目前沒有固定公開申請資訊。,國立鳳新高中以語文、數理、自然與社會領域課程，搭配校訂必修、多元選修與自主學習為主，115學年度課程包含自然科學探究與實作、社會領域探究等學習內容；另設有音樂班、美術班等班別，相關課程依班別深化。,國立鳳新高中以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段的實作／專題型學習，另包含美術作品與展演、音樂術科與成果演出。,有學生專車。115學年度校方公布學生專車路線、搭乘時間與登記資訊，供上下學使用。,可先至臺鐵鳳山站或高雄捷運橘線鳳山地區車站，再轉乘市區公車至新富路周邊站點，步行到國立鳳新高中。,國立鳳新高中的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E9%B3%B3%E6%96%B0%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E9%B3%B3%E5%B1%B1%E5%8D%80%E6%96%B0%E5%AF%8C%E8%B7%AF257%E8%99%9F,https://www.fhsh.khc.edu.tw/aa/20220620/3768,https://www.fhsh.khc.edu.tw/aa/20220620/3768,https://www.fhsh.khc.edu.tw/military/%E5%AD%B8%E7%94%9F%E5%B0%88%E8%BB%8A%E8%B3%87%E8%A8%8A,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E9%B3%B3%E6%96%B0%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E9%B3%B3%E5%B1%B1%E5%8D%80%E6%96%B0%E5%AF%8C%E8%B7%AF257%E8%99%9F | https://ibus.tbkc.gov.tw/,https://www.fhsh.khc.edu.tw/,https://www.fhsh.khc.edu.tw/,https://www.fhsh.khc.edu.tw/,2026-09-07
,120320,國立高科實驗高中,公立,高雄區學校名錄,高中,男女校,高雄市,楠梓區,高雄市楠梓區盛昌街161號,https://www.nehs.kh.edu.tw/,(07)6120121,,,,請以各校當年度公告為準,國立高科實驗高中的一般高中職學生住宿目前沒有固定公開申請資訊。,國立高科實驗高中以部定必修、校訂課程、多元選修與彈性學習為主，115學年度課程包含自然科學探究與實作、社會領域探究等學習內容。,國立高科實驗高中以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段的實作／專題型學習。,國立高科實驗高中目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由楠梓區捷運站或臺鐵楠梓站轉乘市區公車至盛昌街周邊站點，步行到國立高科實驗高中。,國立高科實驗高中的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E9%AB%98%E7%A7%91%E5%AF%A6%E9%A9%97%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E6%A5%A0%E6%A2%93%E5%8D%80%E7%9B%9B%E6%98%8C%E8%A1%97161%E8%99%9F,https://www.nehs.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.nehs.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.nehs.kh.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E9%AB%98%E7%A7%91%E5%AF%A6%E9%A9%97%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E6%A5%A0%E6%A2%93%E5%8D%80%E7%9B%9B%E6%98%8C%E8%A1%97161%E8%99%9F | https://ibus.tbkc.gov.tw/,https://www.nehs.kh.edu.tw/,https://www.nehs.kh.edu.tw/,https://www.nehs.kh.edu.tw/,2026-09-07
,120401,國立旗山農工,公立,高雄區學校名錄,高職,男女校,高雄市,旗山區,高雄市旗山區旗甲路一段195號,https://www.csvs.khc.edu.tw/home,(07)6612501,農場經營科(日)；園藝科(日)；食品加工科(日)；畜產保健科(日)；機械科(日)；汽車科(日)；電機科(日)；生物產業機電科(日)；家政科(日)；綜合職能科(日)；烘焙食品科(日)；機車修護科(日)；餐飲技術科(日),,,請以各校當年度公告為準,學校設有學生宿舍。115學年度新生專區提供住宿申請資料，住宿生依校方宿舍制度辦理入住。,國立旗山農工以農場經營科、園藝科、食品加工科、畜產保健科、機械科、汽車科為主要專業方向；115學年度課程依各科安排專業核心、實作課程、校訂選修與跨域應用，讓學生逐步銜接升學與技術能力。,國立旗山農工的農場經營科、園藝科、食品加工科、畜產保健科、機械科依115學年度課程安排專業實作、實習科目與專題製作，學生透過作品、操作練習及成果發表整合所學。,有學生專車。115學年度路線涵蓋林園、左營、五甲、鳳山、岡山、楠梓、梓官、茄萣、屏東、六龜、美濃、甲仙、內門等方向。,可先到旗山轉運站，再轉乘旗山、內門、美濃等方向公車至旗甲路一段周邊站點，步行到國立旗山農工。,學校設有學生宿舍。115學年度新生專區提供住宿申請資料，住宿生依校方宿舍制度辦理入住。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%97%97%E5%B1%B1%E8%BE%B2%E5%B7%A5%20%E9%AB%98%E9%9B%84%E5%B8%82%E6%97%97%E5%B1%B1%E5%8D%80%E6%97%97%E7%94%B2%E8%B7%AF%E4%B8%80%E6%AE%B5195%E8%99%9F,https://www.csvs.khc.edu.tw/home | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.csvs.khc.edu.tw/home | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.csvs.khc.edu.tw/ischool/publish_page/10/?cid=2217,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E6%97%97%E5%B1%B1%E8%BE%B2%E5%B7%A5%20%E9%AB%98%E9%9B%84%E5%B8%82%E6%97%97%E5%B1%B1%E5%8D%80%E6%97%97%E7%94%B2%E8%B7%AF%E4%B8%80%E6%AE%B5195%E8%99%9F | https://ibus.tbkc.gov.tw/,https://www.csvs.khc.edu.tw/home?cid=2185,https://www.csvs.khc.edu.tw/home,https://www.csvs.khc.edu.tw/home,2026-09-07
,120402,國立岡山農工,公立,高雄區學校名錄,高職,男女校,高雄市,岡山區,高雄市岡山區壽天里岡山路533號,https://www.ksvs.khc.edu.tw/index.php,(07)6217129,園藝科(日)；食品加工科(日)；食品加工科(夜)；機械科(日)；機械科(夜)；汽車科(日)；汽車科(夜)；資訊科(日)；資訊科(夜)；電子科(日)；電機科(日)；電機科(夜)；建築科(日)；化工科(日)；室內空間設計科(日)；生物產業機電科(日)；家政科(日)；家政科(夜)；綜合職能科(日),,,請以各校當年度公告為準,國立岡山農工的一般高中職學生住宿目前沒有固定公開申請資訊。,國立岡山農工以園藝科、食品加工科、機械科、汽車科、資訊科、電子科為主要專業方向；115學年度課程依各科安排專業核心、實作課程、校訂選修與跨域應用，讓學生逐步銜接升學與技術能力。,國立岡山農工的園藝科、食品加工科、機械科、汽車科、資訊科依115學年度課程安排專業實作、實習科目與專題製作，學生透過作品、操作練習及成果發表整合所學。,國立岡山農工目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可先至臺鐵岡山站或捷運岡山／南岡山一帶，再轉乘岡山地區公車至壽天里岡山路周邊站點，步行到國立岡山農工。,國立岡山農工的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%B2%A1%E5%B1%B1%E8%BE%B2%E5%B7%A5%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%B2%A1%E5%B1%B1%E5%8D%80%E5%A3%BD%E5%A4%A9%E9%87%8C%E5%B2%A1%E5%B1%B1%E8%B7%AF533%E8%99%9F,https://www.ksvs.khc.edu.tw/index.php | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.ksvs.khc.edu.tw/index.php | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.ksvs.khc.edu.tw/index.php,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E5%B2%A1%E5%B1%B1%E8%BE%B2%E5%B7%A5%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%B2%A1%E5%B1%B1%E5%8D%80%E5%A3%BD%E5%A4%A9%E9%87%8C%E5%B2%A1%E5%B1%B1%E8%B7%AF533%E8%99%9F | https://ibus.tbkc.gov.tw/,https://www.ksvs.khc.edu.tw/index.php,https://www.ksvs.khc.edu.tw/index.php,https://www.ksvs.khc.edu.tw/index.php,2026-09-07
,120409,國立鳳山商工,公立,高雄區學校名錄,高職,男女校,高雄市,鳳山區,高雄市鳳山區文衡路51號,https://www.fsvs.khc.edu.tw/,(07)7462602,體育班(日)；機械科(日)；室內空間設計科(日)；室內空間設計科(夜)；電腦機械製圖科(日)；家具設計科(日)；商業經營科(日)；商業經營科(夜)；國際貿易科(日)；會計事務科(日)；資料處理科(日)；資料處理科(夜)；觀光事業科(日)；觀光事業科(夜)；餐飲服務科(日),,,請以各校當年度公告為準,國立鳳山商工的一般高中職學生住宿目前沒有固定公開申請資訊。,國立鳳山商工以體育班、機械科、室內空間設計科、電腦機械製圖科、家具設計科、商業經營科為主要專業方向；115學年度課程依各科安排專業核心、實作課程、校訂選修與跨域應用，讓學生逐步銜接升學與技術能力。,國立鳳山商工的體育班、機械科、室內空間設計科、電腦機械製圖科、家具設計科依115學年度課程安排專業實作、實習科目與專題製作，學生透過作品、操作練習及成果發表整合所學。,國立鳳山商工目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,臺鐵鳳山站距校約300公尺，可步行到校；捷運鳳山站亦可步行前往，另有橘17、橘7、87、紅33等公車行經周邊。,國立鳳山商工的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E9%B3%B3%E5%B1%B1%E5%95%86%E5%B7%A5%20%E9%AB%98%E9%9B%84%E5%B8%82%E9%B3%B3%E5%B1%B1%E5%8D%80%E6%96%87%E8%A1%A1%E8%B7%AF51%E8%99%9F,https://www.fsvs.khc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.fsvs.khc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.fsvs.khc.edu.tw/,https://www.fsvs.khc.edu.tw/p/405-1003-53492%2Cc3788.php?Lang=zh-tw,https://www.fsvs.khc.edu.tw/,https://www.fsvs.khc.edu.tw/,https://www.fsvs.khc.edu.tw/,2026-09-07
,121302,光禾華德福實驗學校,私立,高雄區學校名錄,高中,男女校,高雄市,前鎮區,高雄市前鎮區德昌路345號,https://waldorf-tw-kh.weebly.com/,(07)7885128,普通科(日),,,請以各校當年度公告為準,光禾華德福實驗學校的一般高中職學生住宿目前沒有固定公開申請資訊。,光禾華德福實驗學校以普通型高中核心課程，並透過校訂課程、多元選修及自主學習延伸個人興趣為主，115學年度課程包含自然科學探究與實作、社會領域探究等學習內容。,光禾華德福實驗學校以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段的實作／專題型學習。,光禾華德福實驗學校目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由捷運前鎮地區車站或高雄輕軌轉乘市區公車，在德昌路周邊站點下車後步行到光禾華德福實驗學校。,光禾華德福實驗學校的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%85%89%E7%A6%BE%E8%8F%AF%E5%BE%B7%E7%A6%8F%E5%AF%A6%E9%A9%97%E5%AD%B8%E6%A0%A1%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%89%8D%E9%8E%AE%E5%8D%80%E5%BE%B7%E6%98%8C%E8%B7%AF345%E8%99%9F,https://waldorf-tw-kh.weebly.com/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://waldorf-tw-kh.weebly.com/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://waldorf-tw-kh.weebly.com/,https://www.google.com/maps/search/?api=1&query=%E5%85%89%E7%A6%BE%E8%8F%AF%E5%BE%B7%E7%A6%8F%E5%AF%A6%E9%A9%97%E5%AD%B8%E6%A0%A1%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%89%8D%E9%8E%AE%E5%8D%80%E5%BE%B7%E6%98%8C%E8%B7%AF345%E8%99%9F | https://ibus.tbkc.gov.tw/,https://waldorf-tw-kh.weebly.com/,https://waldorf-tw-kh.weebly.com/,https://waldorf-tw-kh.weebly.com/,2026-09-07
,121306,財團法人新光高中,私立,高雄區學校名錄,高職,男女校,高雄市,大寮區,高雄市大寮區鳳屏一路217號,https://www.sg.sgshedu.tw/,(07)7019888,資訊科(日)；餐飲管理科(日)；餐飲管理科(夜)；美容科(日)；美容科(夜)；寵物經營科(日),,,請以各校當年度公告為準,財團法人新光高中的一般高中職學生住宿目前沒有固定公開申請資訊。,財團法人新光高中以資訊科、餐飲管理科、美容科、寵物經營科為主要專業方向；115學年度課程依各科安排專業核心、實作課程、校訂選修與跨域應用，讓學生逐步銜接升學與技術能力。,財團法人新光高中的資訊科、餐飲管理科、美容科、寵物經營科依115學年度課程安排專業實作、實習科目與專題製作，學生透過作品、操作練習及成果發表整合所學。,財團法人新光高中目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由捷運大寮站轉乘大寮區市區公車至鳳屏一路周邊站點，步行到財團法人新光高中。,財團法人新光高中的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E8%B2%A1%E5%9C%98%E6%B3%95%E4%BA%BA%E6%96%B0%E5%85%89%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%A4%A7%E5%AF%AE%E5%8D%80%E9%B3%B3%E5%B1%8F%E4%B8%80%E8%B7%AF217%E8%99%9F,https://www.sg.sgshedu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.sg.sgshedu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.sg.sgshedu.tw/,https://www.google.com/maps/search/?api=1&query=%E8%B2%A1%E5%9C%98%E6%B3%95%E4%BA%BA%E6%96%B0%E5%85%89%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%A4%A7%E5%AF%AE%E5%8D%80%E9%B3%B3%E5%B1%8F%E4%B8%80%E8%B7%AF217%E8%99%9F | https://ibus.tbkc.gov.tw/,https://www.sg.sgshedu.tw/,https://www.sg.sgshedu.tw/,https://www.sg.sgshedu.tw/,2026-09-07
