學校代碼,學校名稱,出現次數,來源區,招生區
011310,財團法人恆毅高中,2,基北區；桃連區,基北區；桃連區共同就學區（基北區）
011317,私立醒吾高中,2,基北區；桃連區,基北區；桃連區共同就學區（基北區）
011330,新北市林口康橋國際高中,2,基北區；桃連區,基北區；桃連區共同就學區（基北區）
011405,私立樹人家商,2,基北區；桃連區,基北區；桃連區共同就學區（基北區）
013303,市立泰山高中,2,基北區；桃連區,基北區；桃連區共同就學區（基北區）
013337,市立新莊高中,2,基北區；桃連區,基北區；桃連區共同就學區（基北區）
013339,市立林口高中,2,基北區；桃連區,基北區；桃連區共同就學區（基北區）
014322,市立樹林高中,2,基北區；桃連區,基北區；桃連區共同就學區（基北區）
014353,市立丹鳳高中,2,基北區；桃連區,基北區；桃連區共同就學區（基北區）
014439,市立鶯歌工商,2,基北區；桃連區,基北區；桃連區共同就學區（基北區）
020409,國立頭城家商,2,基北區；宜蘭區,基北區共同就學區；宜蘭區學校名錄
031317,私立光啟高中,2,基北區；桃連區,基北區共同就學區；桃連區日間部
031414,桃園市世紀綠能工商,2,基北區；桃連區,基北區共同就學區；桃連區日間部
034306,市立南崁高中,2,基北區；桃連區,基北區共同就學區；桃連區日間部
034314,市立壽山高中,2,基北區；桃連區,基北區共同就學區；桃連區日間部
034347,市立永豐高中,2,基北區；桃連區,基北區共同就學區；桃連區日間部
040304,國立關西高中,2,桃連區；竹苗區,桃連區共同就學區（竹苗區）；竹苗區學校名錄
041307,私立仰德高中,2,桃連區；竹苗區,桃連區共同就學區（竹苗區）；竹苗區學校名錄
041401,私立內思高工,2,桃連區；竹苗區,桃連區共同就學區（竹苗區）；竹苗區學校名錄
044320,縣立湖口高中,2,桃連區；竹苗區,桃連區共同就學區（竹苗區）；竹苗區學校名錄
050314,國立卓蘭高級中等學校,2,竹苗區；中投區,竹苗區學校名錄；中投區免試入學日間部
050315,國立苑裡高級中學,2,竹苗區；中投區,竹苗區學校名錄；中投區免試入學日間部
050401,國立大湖高級農工職業學校,2,竹苗區；中投區,竹苗區學校名錄；中投區免試入學日間部
051307,全人學校財團法人苗栗縣全人實驗高級中等學校,2,竹苗區；中投區,竹苗區學校名錄；中投區免試入學日間部
051413,苗栗縣私立龍德家事商業職業學校,2,竹苗區；中投區,竹苗區學校名錄；中投區免試入學日間部
054308,苗栗縣立三義高級中學,2,竹苗區；中投區,竹苗區學校名錄；中投區免試入學日間部
054309,苗栗縣立苑裡高級中學,2,竹苗區；中投區,竹苗區學校名錄；中投區免試入學日間部
061306,臺中市明台高級中學,2,中投區；彰化區,中投區免試入學日間部；彰化區免試入學日間部
063408,臺中市立霧峰農業工業高級中等學校,2,中投區；彰化區,中投區免試入學日間部；彰化區免試入學日間部
063C08,臺中市立霧峰農業工業高級中等學校進修部,2,中投區；彰化區,中投區免試入學進修部；彰化區免試入學進修部
071414,彰化縣私立達德高級商工職業學校,2,中投區；彰化區,中投區免試入學日間部；彰化區免試入學日間部
080302,國立南投高級中學,2,中投區；彰化區,中投區免試入學日間部；彰化區免試入學日間部
080305,國立中興高級中學,2,中投區；彰化區,中投區免試入學日間部；彰化區免試入學日間部
080307,國立竹山高級中學,2,中投區；彰化區,中投區免試入學日間部；彰化區免試入學日間部
080404,國立南投高級商業職業學校,2,中投區；彰化區,中投區免試入學日間部；彰化區免試入學日間部
080406,國立草屯高級商工職業學校,2,中投區；彰化區,中投區免試入學日間部；彰化區免試入學日間部
080C06,國立草屯高級商工職業學校進修部,2,中投區；彰化區,中投區免試入學進修部；彰化區免試入學進修部
081311,南投縣私立五育高級中學,2,中投區；彰化區,中投區免試入學日間部；彰化區免試入學日間部
081313,南投縣私立弘明實驗高級中等學校,2,中投區；彰化區,中投區免試入學日間部；彰化區免試入學日間部
081409,同德學校財團法人南投縣同德高級中等學校,2,中投區；彰化區,中投區免試入學日間部；彰化區免試入學日間部
084309,南投縣立旭光高級中學,2,中投區；彰化區,中投區免試入學日間部；彰化區免試入學日間部
090402,國立西螺高級農工職業學校,2,彰化區；雲林區,彰化區免試入學日間部；雲林區學校名錄
