排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,分數來源備註,資優班/特色班,排序分數,課程方向,實習／專題,交通方式,通勤資訊,住宿資訊,生活資料來源,交通資料來源,住宿資料來源,Google地圖,地址資料來源,課程資料來源,實習專題資料來源
,150302,國立花蓮女子高級中學,公立,花蓮區免試入學日間部,高中,女校,花蓮縣,花蓮市,970 花蓮縣花蓮市菁華街2號,https://www.hlgs.hlc.edu.tw/,03-8321202,普通科:312(女生),312,312,115學年度花蓮區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,語文資優班、數理資優班；實際招生與安置依115學年度校方公告。,,普通型高中課程，以部定必修、加深加廣、多元選修、彈性學習與自主學習為主，並依校方課程計畫安排校訂與特色課程。,不設固定職業實習；以自主學習、探究實作、學習成果與競賽成果為主要實作形式。網站未標示115學年度全校統一專題題目。,學校官網設交通安全專區，但未標示固定大眾運輸到校路線或固定學生專車班次。,網站未標示固定通勤班次、站點或步行時間；校園位置依官方地址與Google地圖核對。,校方設有學生宿舍；115學年度新生與宿舍專區有住宿申請、寢室／床位及住宿相關公告，實際資格依當學年度公告。,https://www.google.com/maps/search/?api=1&query=970+%E8%8A%B1%E8%93%AE%E7%B8%A3%E8%8A%B1%E8%93%AE%E5%B8%82%E8%8F%81%E8%8F%AF%E8%A1%972%E8%99%9F; https://www.hlgs.hlc.edu.tw/,https://www.hlgs.hlc.edu.tw/post/category/team/office02/group06/traffic-safety/,https://www.hlgs.hlc.edu.tw/office/office02/group06/dormitory/,https://www.google.com/maps/search/?api=1&query=970+%E8%8A%B1%E8%93%AE%E7%B8%A3%E8%8A%B1%E8%93%AE%E5%B8%82%E8%8F%81%E8%8F%AF%E8%A1%972%E8%99%9F,https://www.hlgs.hlc.edu.tw/office/principal/,https://www.hlgs.hlc.edu.tw/wp-content/uploads/sites/74/2024/08/113%E9%81%B8%E8%AA%B2%E8%BC%94%E5%B0%8E%E6%89%8B%E5%86%8A%E5%85%A8%E4%B8%80%E5%86%8A.pdf,https://www.hlgs.hlc.edu.tw/freshman/
,150303,國立花蓮高級中學,公立,花蓮區免試入學日間部,高中,男校,花蓮縣,花蓮市,97059 花蓮縣花蓮市民權路42號,https://www.hlhs.hlc.edu.tw/,03-8242236,普通科:316(男生),316,316,115學年度花蓮區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,數理資優、音樂資優、體育等特色／資優課程；115學年度實際招生與開班依校方公告。,,普通型高中課程，官網提供總體課程計畫、選課輔導手冊、彈性學習與自主學習等108課綱資源。,不設固定職業實習；以探究實作、自主學習、科展、小論文及課程學習成果為主要實作形式。網站未標示115學年度全校統一專題題目。,官網「地理交通」頁提供校園Google地圖位置連結，未標示固定公車路線或固定學生專車班次。,網站未標示固定通勤班次、站點或步行時間；校園位置依官方地址與官網地理交通頁核對。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=97059+%E8%8A%B1%E8%93%AE%E7%B8%A3%E8%8A%B1%E8%93%AE%E5%B8%82%E6%B0%91%E6%AC%8A%E8%B7%AF42%E8%99%9F; https://www.hlhs.hlc.edu.tw/,https://www.hlhs.hlc.edu.tw/content?a=T0RESU56Y3dOREl6TVRVPTRrVE40a1ROeGNsVGludGVseQ%3D%3D,https://www.hlhs.hlc.edu.tw/,https://www.google.com/maps/search/?api=1&query=97059+%E8%8A%B1%E8%93%AE%E7%B8%A3%E8%8A%B1%E8%93%AE%E5%B8%82%E6%B0%91%E6%AC%8A%E8%B7%AF42%E8%99%9F,https://www.hlhs.hlc.edu.tw/,https://www.hlhs.hlc.edu.tw/,https://www.hlhs.hlc.edu.tw/
,150309,國立玉里高級中學,公立,花蓮區免試入學日間部,綜高,男女校,花蓮縣,玉里鎮,981 花蓮縣玉里鎮中華路424號,https://www.ylsh.hlc.edu.tw/,03-8886171,普通科:60(不限)；餐旅群不分科:43(不限)；資料處理科:21(不限)；廣告設計科:27(不限)；電子商務科:26(不限)；時尚造型科:21(不限),198,198,115學年度花蓮區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,普通科與餐旅、商管、設計、家政等專業群科並行；特色班／實驗班依115學年度校方公告。,,普通科與餐旅群、資料處理、廣告設計、電子商務、時尚造型等專業群科並行，依課程計畫安排部定、校訂、多元選修、專業與實習課程。,專業群科依課程辦理實習、專題製作與成果發表；校方有學生專題競賽／成果發表規範，涵蓋商管、設計、家政與餐旅等群別。,學校官網未標示固定大眾運輸到校路線或固定學生專車班次。,網站未標示固定通勤班次、站點或步行時間；校園位置依官方地址與Google地圖核對。,校方設有學生宿舍，住宿管理規定列有新生申請及遠道、交通不便等住宿安排原則；實際床位與資格依當學年度公告。,https://www.google.com/maps/search/?api=1&query=981+%E8%8A%B1%E8%93%AE%E7%B8%A3%E7%8E%89%E9%87%8C%E9%8E%AE%E4%B8%AD%E8%8F%AF%E8%B7%AF424%E8%99%9F; https://www.ylsh.hlc.edu.tw/,https://www.ylsh.hlc.edu.tw/nss/s/main/4071,https://www.ylsh.hlc.edu.tw/uploads/1631838279252Jmkh1V5x.pdf,https://www.google.com/maps/search/?api=1&query=981+%E8%8A%B1%E8%93%AE%E7%B8%A3%E7%8E%89%E9%87%8C%E9%8E%AE%E4%B8%AD%E8%8F%AF%E8%B7%AF424%E8%99%9F,https://www.ylsh.hlc.edu.tw/nss/s/main/4071,https://www.ylsh.hlc.edu.tw/uploads/1675757679262ZJFjkgpV.pdf,https://www.ylsh.hlc.edu.tw/uploads/1765940712838STMMShdj.pdf
,150401,國立花蓮高級農業職業學校,公立,花蓮區免試入學日間部,高職,男女校,花蓮縣,花蓮市,970 花蓮縣花蓮市建國路161號,https://www.hla.hlc.edu.tw/,03-8312301,農場經營科:18(不限)；園藝科:10(不限)；森林科:13(不限)；食品加工科:9(不限)；畜產保健科:15(不限)；土木科:14(不限)；生物產業機電科:14(不限)；資料處理科:28(不限)；餐飲管理科:8(不限),129,129,115學年度花蓮區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,以農場經營、園藝、森林、食品加工、畜產保健、土木、生物產業機電、資料處理、餐飲管理等專業群科為特色。,,技術型高中課程涵蓋農業、食品、林業、園藝、畜產、土木、生物產業機電、資訊與餐旅等方向，依各科課程計畫安排專業與實習課程。,各專業群科依課程計畫辦理專業實習、技能訓練、實作與技藝競賽；網站未標示115學年度全校統一專題題目。,學校官網未標示固定大眾運輸到校路線或固定學生專車班次。,網站未標示固定通勤班次、站點或步行時間；校園位置依官方地址與Google地圖核對。,校方新生招生資料有住宿相關說明，顯示提供學生住宿；實際申請資格、床位與費用依115學年度校方公告。,https://www.google.com/maps/search/?api=1&query=970+%E8%8A%B1%E8%93%AE%E7%B8%A3%E8%8A%B1%E8%93%AE%E5%B8%82%E5%BB%BA%E5%9C%8B%E8%B7%AF161%E8%99%9F; https://www.hla.hlc.edu.tw/,https://www.hla.hlc.edu.tw/,https://www.hla.hlc.edu.tw/ischool/publish_page/91/?cid=2579,https://www.google.com/maps/search/?api=1&query=970+%E8%8A%B1%E8%93%AE%E7%B8%A3%E8%8A%B1%E8%93%AE%E5%B8%82%E5%BB%BA%E5%9C%8B%E8%B7%AF161%E8%99%9F,https://www.hla.hlc.edu.tw/,https://www.hla.hlc.edu.tw/resource/openfid.php?id=19652,https://www.hla.hlc.edu.tw/home?cid=9
,150404,國立花蓮高級工業職業學校,公立,花蓮區免試入學日間部,高職,男女校,花蓮縣,花蓮市,970 花蓮縣花蓮市府前路27號,https://www.hlis.hlc.edu.tw/,03-8226108,機械科:10(不限)；汽車科:7(不限)；資訊科:37(不限)；電子科:43(不限)；電機科:21(不限)；建築科:39(不限)；化工科:14(不限)；機電科:12(不限)；製圖科:22(不限),205,205,115學年度花蓮區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,以機械、機電、製圖、電機、電子、資訊、化工、建築、汽車等工業群科為特色。,,技術型高中工業群課程，涵蓋機械、機電、製圖、電機、電子、資訊、化工、建築與汽車等專業方向，依115學年度總體課程計畫安排。,各工業群科依總體課程計畫辦理專業實習、專題實作與技能競賽；校方另設實習處及數位內容／專題相關教學資源。,官網交通頁明列，一般大眾運輸可搭往天祥、太魯閣方向客運於「花蓮高工站」下車；另有客運延伸至花工校園的學生上放學專車資訊。,公共運輸主要下車點為「花蓮高工站」；學生專車是否適用及班次依校方當學年度公告。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=970+%E8%8A%B1%E8%93%AE%E7%B8%A3%E8%8A%B1%E8%93%AE%E5%B8%82%E5%BA%9C%E5%89%8D%E8%B7%AF27%E8%99%9F; https://www.hlis.hlc.edu.tw/,https://www.hlis.hlc.edu.tw/home?cid=1241,https://www.hlis.hlc.edu.tw/,https://www.google.com/maps/search/?api=1&query=970+%E8%8A%B1%E8%93%AE%E7%B8%A3%E8%8A%B1%E8%93%AE%E5%B8%82%E5%BA%9C%E5%89%8D%E8%B7%AF27%E8%99%9F,https://www.hlis.hlc.edu.tw/home?cid=1241,https://www.hlis.hlc.edu.tw/home?cid=1990,https://www.hlis.hlc.edu.tw/home?cid=1990
,150405,國立花蓮高級商業職業學校,公立,花蓮區免試入學日間部,高職,男女校,花蓮縣,花蓮市,970013 花蓮縣花蓮市中山路418號,https://www.hlbh.hlc.edu.tw/,03-8322532,商業經營科:21(不限)；國際貿易科:16(不限)；會計事務科:5(不限)；資料處理科:24(不限)；多媒體設計科:18(不限)；應用英語科:10(不限)；應用日語科:15(不限),109,109,115學年度花蓮區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,以商業經營、國際貿易、會計事務、資料處理、多媒體設計、應用英語、應用日語等群科為特色；115課程計畫含資料處理科人工智慧實驗專班。,,技術型高中以商管、國貿、會計、資訊、多媒體設計與應用外語為主，依115學年度技術型高中課程計畫安排專業、實習與彈性學習。,實習處辦理會計資訊、商業簡報、文書處理、程式設計、職場英文、平面設計等技能訓練與競賽，並有校內實習及產業／職場參訪；網站未標示全校統一專題題目。,官網交通頁明列：花蓮火車站前站步行至校約10分鐘；亦可搭往太魯閣、崇德方向客運於「花蓮高商站」下車，並列1129、1132、1133、1123等路線到校門口。,臺鐵通勤可由花蓮站前站步行約10分鐘；公車可使用官網列示的1129、1132、1133、1123等路線至花蓮高商站。,校方有學生宿舍管理規定；實際住宿申請資格、床位與費用依115學年度校方公告。,https://www.google.com/maps/search/?api=1&query=970013+%E8%8A%B1%E8%93%AE%E7%B8%A3%E8%8A%B1%E8%93%AE%E5%B8%82%E4%B8%AD%E5%B1%B1%E8%B7%AF418%E8%99%9F; https://www.hlbh.hlc.edu.tw/,https://www.hlbh.hlc.edu.tw/home?cid=807,https://www.hlbh.hlc.edu.tw/ischool/resources/WID_7_1_95a681d98ab7f3889a52f072d83fe056195226df/CLS_7_1_cfe08a565ddcc05d89218b2fd82ca563756b2e81/fbcdbcfcde2828d2bf8ddc5e160a3ae1.pdf,https://www.google.com/maps/search/?api=1&query=970013+%E8%8A%B1%E8%93%AE%E7%B8%A3%E8%8A%B1%E8%93%AE%E5%B8%82%E4%B8%AD%E5%B1%B1%E8%B7%AF418%E8%99%9F,https://www.hlbh.hlc.edu.tw/,https://www.hlbh.hlc.edu.tw/home?cid=38,https://www.hlbh.hlc.edu.tw/ischool/publish_page/32/?cid=11669
,150411,國立光復高級商工職業學校,公立,花蓮區免試入學日間部,高職,男女校,花蓮縣,光復鄉,976 花蓮縣光復鄉林森路100號,https://www.kfcivs.hlc.edu.tw/,03-8700245,汽車科:19(不限)；電機科:26(不限)；資料處理科:30(不限)；餐飲管理科:30(不限)；烘焙科:24(不限),129,129,115學年度花蓮區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,以汽車、電機、資料處理、餐飲管理、烘焙等專業群科為特色；實際開班依115學年度招生與課程公告。,,技術型高中課程涵蓋汽車、電機、資料處理、餐飲管理與烘焙等方向，依日間部總體課程計畫安排專業及實習課程。,各專業群科依課程計畫辦理專業實習與專題實作；網站未標示115學年度全校統一專題題目。,115學年度新生始業輔導兩日校方公告提供校車接駁；學校官網未標示115-1學期固定學生專車路線或固定大眾運輸班次。,新生始業輔導接駁僅依該次活動公告；網站未標示115-1學期固定通勤班次、站點或步行時間。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=976+%E8%8A%B1%E8%93%AE%E7%B8%A3%E5%85%89%E5%BE%A9%E9%84%89%E6%9E%97%E6%A3%AE%E8%B7%AF100%E8%99%9F; https://www.kfcivs.hlc.edu.tw/,https://www.kfcivs.hlc.edu.tw/news/%E5%AD%B8%E5%8B%99%E8%99%95-%E8%A8%93%E8%82%B2%E7%B5%84-%E3%80%8A%E5%9C%8B%E7%AB%8B%E5%85%89%E5%BE%A9%E5%95%86%E5%B7%A5115%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%96%B0%E7%94%9F%E6%9A%91%E6%9C%9F%E6%B3%A8/37547/,https://www.kfcivs.hlc.edu.tw/,https://www.google.com/maps/search/?api=1&query=976+%E8%8A%B1%E8%93%AE%E7%B8%A3%E5%85%89%E5%BE%A9%E9%84%89%E6%9E%97%E6%A3%AE%E8%B7%AF100%E8%99%9F,https://www.kfcivs.hlc.edu.tw/,https://www.kfcivs.hlc.edu.tw/educational-affairs-division/,https://www.kfcivs.hlc.edu.tw/educational-affairs-division/
,150B09,國立玉里高級中學附設進修部,公立,花蓮區免試入學進修部,進修部,男女校,花蓮縣,玉里鎮,981 花蓮縣玉里鎮中華路424號,https://www.ylsh.hlc.edu.tw/,03-8886171,商業經營科(夜間班):10(不限),10,10,115學年度花蓮區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,進修部商業經營科夜間班；網站未標示進修部另設資優班。,,商業經營科夜間班，依進修部課程與招生規定安排商業專業、實務及一般科目。,進修部依商業經營科課程安排專業實作；網站未標示115學年度進修部統一專題題目。,進修部官網未標示夜間固定學生專車或固定大眾運輸到校班次。,網站未標示進修部夜間固定通勤班次、站點或放學後接駁資訊。,進修部官網未標示進修部學生宿舍申請資格；不可直接視為日間部住宿規定適用。,https://www.google.com/maps/search/?api=1&query=981+%E8%8A%B1%E8%93%AE%E7%B8%A3%E7%8E%89%E9%87%8C%E9%8E%AE%E4%B8%AD%E8%8F%AF%E8%B7%AF424%E8%99%9F; https://www.ylsh.hlc.edu.tw/,https://www.ylsh.hlc.edu.tw/,https://www.ylsh.hlc.edu.tw/,https://www.google.com/maps/search/?api=1&query=981+%E8%8A%B1%E8%93%AE%E7%B8%A3%E7%8E%89%E9%87%8C%E9%8E%AE%E4%B8%AD%E8%8F%AF%E8%B7%AF424%E8%99%9F,https://www.ylsh.hlc.edu.tw/nss/s/main/4071,https://www.ylsh.hlc.edu.tw/nss/s/main/3102,https://www.ylsh.hlc.edu.tw/nss/s/main/3102
,150C04,國立花蓮高級工業職業學校附設進修部,公立,花蓮區免試入學進修部,進修部,男女校,花蓮縣,花蓮市,970 花蓮縣花蓮市府前路27號,https://www.hlis.hlc.edu.tw/,03-8226108,建築科(夜間班):25(不限),25,25,115學年度花蓮區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,進修部建築科夜間班；網站未標示進修部另設資優班。,,建築科夜間班，依校方進修部課程計畫安排建築專業、實習及一般科目。,進修部建築科依課程安排製圖、建築專業實作與相關實習；網站未標示115學年度進修部統一專題題目。,公共運輸可依校本部交通頁於「花蓮高工站」下車；進修部官網未標示夜間學生可搭乘日間客運延伸校園專車的資格或班次。,夜間通勤可依「花蓮高工站」公共運輸資訊規劃；進修部網站未標示固定夜間接駁、放學班次或學生專車。,進修部官網未標示進修部學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=970+%E8%8A%B1%E8%93%AE%E7%B8%A3%E8%8A%B1%E8%93%AE%E5%B8%82%E5%BA%9C%E5%89%8D%E8%B7%AF27%E8%99%9F; https://www.hlis.hlc.edu.tw/,https://www.hlis.hlc.edu.tw/home?cid=1241,https://www.hlis.hlc.edu.tw/,https://www.google.com/maps/search/?api=1&query=970+%E8%8A%B1%E8%93%AE%E7%B8%A3%E8%8A%B1%E8%93%AE%E5%B8%82%E5%BA%9C%E5%89%8D%E8%B7%AF27%E8%99%9F,https://www.hlis.hlc.edu.tw/home?cid=1241,https://www.hlis.hlc.edu.tw/home?cid=1990,https://www.hlis.hlc.edu.tw/home?cid=1990
,150C05,國立花蓮高級商業職業學校附設進修部,公立,花蓮區免試入學進修部,進修部,男女校,花蓮縣,花蓮市,970013 花蓮縣花蓮市中山路418號,https://www.hlbh.hlc.edu.tw/,03-8322532,商業經營科(夜間班):10(不限)；資料處理科(夜間班):10(不限),20,20,115學年度花蓮區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,進修部商業經營科、資料處理科夜間班；網站未標示進修部另設資優班。,,商業經營科、資料處理科夜間班，依進修部課程計畫安排商管、資訊應用、專業實務及一般科目。,進修部依商業經營與資料處理科課程安排專業實作；網站未標示115學年度進修部統一專題題目。,校本部官網交通頁列花蓮站步行約10分鐘，以及1129、1132、1133、1123等路線至「花蓮高商站」；進修部官網未另標示夜間學生專車。,夜間公共交通可依校本部公布的花蓮站與花蓮高商站路線規劃；進修部網站未標示固定夜間接駁或放學專車班次。,進修部官網未標示進修部學生是否具校內宿舍申請資格；不可直接套用日間部宿舍管理規定。,https://www.google.com/maps/search/?api=1&query=970013+%E8%8A%B1%E8%93%AE%E7%B8%A3%E8%8A%B1%E8%93%AE%E5%B8%82%E4%B8%AD%E5%B1%B1%E8%B7%AF418%E8%99%9F; https://www.hlbh.hlc.edu.tw/,https://www.hlbh.hlc.edu.tw/home?cid=807,https://www.hlbh.hlc.edu.tw/,https://www.google.com/maps/search/?api=1&query=970013+%E8%8A%B1%E8%93%AE%E7%B8%A3%E8%8A%B1%E8%93%AE%E5%B8%82%E4%B8%AD%E5%B1%B1%E8%B7%AF418%E8%99%9F,https://www.hlbh.hlc.edu.tw/,https://www.hlbh.hlc.edu.tw/home?cid=38,https://www.hlbh.hlc.edu.tw/ischool/publish_page/6/?cid=326
