排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,分數來源備註,資優班/特色班,排序分數,課程方向,實習／專題,交通方式,通勤資訊,住宿資訊,生活資料來源,交通資料來源,住宿資料來源,Google地圖,地址資料來源,課程資料來源,實習專題資料來源
,170404,國立基隆商工,公立,基北區,高職,男女兼收,基隆市,七堵區,基隆市七堵區東新街22號,https://www.klcivs.kl.edu.tw/home,(02)24567126,航空電子科:1；商業經營科:1；國際貿易科:1；會計事務科:2；資料處理科:1；美工科:6；廣告設計科:6；商業經營科:11；國際貿易科:11；資料處理科:11；機械科:9,60,60,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。；115學年度基北區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,資優/特色班請依各校及基北區官方公告查詢,,115學年度本表招生科別可確認包含：航空電子科、商業經營科、國際貿易科、會計事務科、資料處理科、美工科、廣告設計科、機械科。學校官網首頁未標示更完整的全校課程方向摘要；詳細課程內容以校方115學年度課程計畫為準。,學校官網首頁未標示115學年度全校統一實習／專題內容；實際實作、專題或成果要求以各科、實習處或課程計畫公告為準。,學校官網首頁未標示完整固定大眾運輸到校路線或115學年度固定學生專車班次；本表不自行補寫路線。,網站首頁未標示固定通勤時間；Google地圖欄已依官方校址建立查詢入口，可依實際出發地查詢即時大眾運輸。,學校官網首頁未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9F%BA%E9%9A%86%E5%B8%82%E4%B8%83%E5%A0%B5%E5%8D%80%E6%9D%B1%E6%96%B0%E8%A1%9722%E8%99%9F; https://www.klcivs.kl.edu.tw/home,https://www.klcivs.kl.edu.tw/home,https://www.klcivs.kl.edu.tw/home,https://www.google.com/maps/search/?api=1&query=%E5%9F%BA%E9%9A%86%E5%B8%82%E4%B8%83%E5%A0%B5%E5%8D%80%E6%9D%B1%E6%96%B0%E8%A1%9722%E8%99%9F,https://www.klcivs.kl.edu.tw/home,https://www.klcivs.kl.edu.tw/home,https://www.klcivs.kl.edu.tw/home
,170301,國立基隆女中,公立,基北區,高中,女校,基隆市,信義區,201013 基隆市信義區東信路324號,https://www.klgsh.kl.edu.tw/,(02)24278274,普通科(女):202,202,202,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。；115學年度基北區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,資優/特色班請依各校及基北區官方公告查詢,,115學年度本表招生科別可確認包含：普通科。學校官網首頁未標示更完整的全校課程方向摘要；詳細課程內容以校方115學年度課程計畫為準。,學校官網首頁未標示115學年度全校統一實習／專題內容；實際實作、專題或成果要求以各科、實習處或課程計畫公告為準。,官網明列市區公車201、202、203、204至「基隆女中」站；2088可在「基隆女中／月眉路口」下車後步行約5分鐘；臺鐵至基隆站後可轉201–204到校。,主要節點為臺鐵基隆站與基隆市區公車；2088由臺北市府轉運站方向可直接至基隆女中／月眉路口。以上依校方地理交通頁。,學校官網首頁未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=201013+%E5%9F%BA%E9%9A%86%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E6%9D%B1%E4%BF%A1%E8%B7%AF324%E8%99%9F; https://www.klgsh.kl.edu.tw/,https://www.klgsh.kl.edu.tw/%E9%97%9C%E6%96%BC%E5%9F%BA%E5%A5%B3/%E5%9C%B0%E7%90%86%E4%BA%A4%E9%80%9A/,https://www.klgsh.kl.edu.tw/,https://www.google.com/maps/search/?api=1&query=201013+%E5%9F%BA%E9%9A%86%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E6%9D%B1%E4%BF%A1%E8%B7%AF324%E8%99%9F,https://www.klgsh.kl.edu.tw/,https://www.klgsh.kl.edu.tw/,https://www.klgsh.kl.edu.tw/
,170302,國立基隆高中,公立,基北區,高中,男女兼收,基隆市,暖暖區,205 基隆市暖暖區源遠路20號,https://www.klsh.kl.edu.tw/,(02)24582052,普通科(女):30,30,30,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。；115學年度基北區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,資優/特色班請依各校及基北區官方公告查詢,,115學年度本表招生科別可確認包含：普通科。學校官網首頁未標示更完整的全校課程方向摘要；詳細課程內容以校方115學年度課程計畫為準。,學校官網首頁未標示115學年度全校統一實習／專題內容；實際實作、專題或成果要求以各科、實習處或課程計畫公告為準。,官網交通頁明列臺鐵八堵站，出站後步行約10分鐘；公車601、605可使用「八堵國小」或「礦工醫院」站位。,鐵路通勤以八堵站最直接，校方交通頁標示步行約10分鐘；公車以601、605及校方提供之基隆市公車查詢為準。,學校官網首頁未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=205+%E5%9F%BA%E9%9A%86%E5%B8%82%E6%9A%96%E6%9A%96%E5%8D%80%E6%BA%90%E9%81%A0%E8%B7%AF20%E8%99%9F; https://www.klsh.kl.edu.tw/,https://www.klsh.kl.edu.tw/about/traffic/,https://www.klsh.kl.edu.tw/,https://www.google.com/maps/search/?api=1&query=205+%E5%9F%BA%E9%9A%86%E5%B8%82%E6%9A%96%E6%9A%96%E5%8D%80%E6%BA%90%E9%81%A0%E8%B7%AF20%E8%99%9F,https://www.klsh.kl.edu.tw/,https://www.klsh.kl.edu.tw/,https://www.klsh.kl.edu.tw/
,170403,國立海洋大學附屬基隆海事,公立,基北區,高職,男女兼收,基隆市,中正區,基隆市中正區祥豐街246號,https://www.klms.ntou.edu.tw/,(02)24633655,食品科:8,8,8,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。；115學年度基北區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,資優/特色班請依各校及基北區官方公告查詢,,115學年度本表招生科別可確認包含：食品科。學校官網首頁未標示更完整的全校課程方向摘要；詳細課程內容以校方115學年度課程計畫為準。,學校官網首頁未標示115學年度全校統一實習／專題內容；實際實作、專題或成果要求以各科、實習處或課程計畫公告為準。,學校官網首頁未標示完整固定大眾運輸到校路線或115學年度固定學生專車班次；本表不自行補寫路線。,網站首頁未標示固定通勤時間；Google地圖欄已依官方校址建立查詢入口，可依實際出發地查詢即時大眾運輸。,115學年度校方代辦租借國立臺灣海洋大學男生學生宿舍；115-1校方已公告核准名單額滿。男生申請依生輔組公告；女生住宿資訊網站未標示。,https://www.google.com/maps/search/?api=1&query=%E5%9F%BA%E9%9A%86%E5%B8%82%E4%B8%AD%E6%AD%A3%E5%8D%80%E7%A5%A5%E8%B1%90%E8%A1%97246%E8%99%9F; https://www.klms.ntou.edu.tw/,https://www.klms.ntou.edu.tw/,https://www.klms.ntou.edu.tw/%E5%85%AC%E5%91%8A115%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%9C%AC%E6%A0%A1%E4%BB%A3%E8%BE%A6%E7%A7%9F%E5%80%9F%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E6%B5%B7%E6%B4%8B%E5%A4%A7%E5%AD%B8%E7%94%B7%E7%94%9F/,https://www.google.com/maps/search/?api=1&query=%E5%9F%BA%E9%9A%86%E5%B8%82%E4%B8%AD%E6%AD%A3%E5%8D%80%E7%A5%A5%E8%B1%90%E8%A1%97246%E8%99%9F,https://www.klms.ntou.edu.tw/,https://www.klms.ntou.edu.tw/,https://www.klms.ntou.edu.tw/
,173304,市立中山高中,公立,基北區,高中,男女兼收,基隆市,中山區,基隆市中山區文化路162號,https://csjh.kl.edu.tw/,(02)24248191,普通科:9,9,9,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。；115學年度基北區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,資優/特色班請依各校及基北區官方公告查詢,,115學年度本表招生科別可確認包含：普通科。學校官網首頁未標示更完整的全校課程方向摘要；詳細課程內容以校方115學年度課程計畫為準。,學校官網首頁未標示115學年度全校統一實習／專題內容；實際實作、專題或成果要求以各科、實習處或課程計畫公告為準。,學校官網首頁未標示完整固定大眾運輸到校路線或115學年度固定學生專車班次；本表不自行補寫路線。,網站首頁未標示固定通勤時間；Google地圖欄已依官方校址建立查詢入口，可依實際出發地查詢即時大眾運輸。,學校官網首頁未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9F%BA%E9%9A%86%E5%B8%82%E4%B8%AD%E5%B1%B1%E5%8D%80%E6%96%87%E5%8C%96%E8%B7%AF162%E8%99%9F; https://csjh.kl.edu.tw/,https://csjh.kl.edu.tw/,https://csjh.kl.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9F%BA%E9%9A%86%E5%B8%82%E4%B8%AD%E5%B1%B1%E5%8D%80%E6%96%87%E5%8C%96%E8%B7%AF162%E8%99%9F,https://csjh.kl.edu.tw/,https://csjh.kl.edu.tw/,https://csjh.kl.edu.tw/
,173314,市立八斗高中,公立,基北區,高中,男女兼收,基隆市,中正區,基隆市中正區新豐街100號,https://bdjh.kl.edu.tw/,(02)24692366,普通科:12,12,12,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。；115學年度基北區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,資優/特色班請依各校及基北區官方公告查詢,,115學年度本表招生科別可確認包含：普通科。學校官網首頁未標示更完整的全校課程方向摘要；詳細課程內容以校方115學年度課程計畫為準。,學校官網首頁未標示115學年度全校統一實習／專題內容；實際實作、專題或成果要求以各科、實習處或課程計畫公告為準。,學校官網首頁未標示完整固定大眾運輸到校路線或115學年度固定學生專車班次；本表不自行補寫路線。,網站首頁未標示固定通勤時間；Google地圖欄已依官方校址建立查詢入口，可依實際出發地查詢即時大眾運輸。,學校官網首頁未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9F%BA%E9%9A%86%E5%B8%82%E4%B8%AD%E6%AD%A3%E5%8D%80%E6%96%B0%E8%B1%90%E8%A1%97100%E8%99%9F; https://bdjh.kl.edu.tw/,https://bdjh.kl.edu.tw/,https://bdjh.kl.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9F%BA%E9%9A%86%E5%B8%82%E4%B8%AD%E6%AD%A3%E5%8D%80%E6%96%B0%E8%B1%90%E8%A1%97100%E8%99%9F,https://bdjh.kl.edu.tw/,https://bdjh.kl.edu.tw/,https://bdjh.kl.edu.tw/
,173306,市立安樂高中,公立,基北區,高中,男女兼收,基隆市,安樂區,基隆市安樂區安一路360號,https://aljh.kl.edu.tw/,(02)24236600,普通科:24,24,24,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。；115學年度基北區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,資優/特色班請依各校及基北區官方公告查詢,,115學年度本表招生科別可確認包含：普通科。學校官網首頁未標示更完整的全校課程方向摘要；詳細課程內容以校方115學年度課程計畫為準。,學校官網首頁未標示115學年度全校統一實習／專題內容；實際實作、專題或成果要求以各科、實習處或課程計畫公告為準。,學校官網首頁未標示完整固定大眾運輸到校路線或115學年度固定學生專車班次；本表不自行補寫路線。,網站首頁未標示固定通勤時間；Google地圖欄已依官方校址建立查詢入口，可依實際出發地查詢即時大眾運輸。,學校官網首頁未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9F%BA%E9%9A%86%E5%B8%82%E5%AE%89%E6%A8%82%E5%8D%80%E5%AE%89%E4%B8%80%E8%B7%AF360%E8%99%9F; https://aljh.kl.edu.tw/,https://aljh.kl.edu.tw/,https://aljh.kl.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9F%BA%E9%9A%86%E5%B8%82%E5%AE%89%E6%A8%82%E5%8D%80%E5%AE%89%E4%B8%80%E8%B7%AF360%E8%99%9F,https://aljh.kl.edu.tw/,https://aljh.kl.edu.tw/,https://aljh.kl.edu.tw/
,173307,市立暖暖高中,公立,基北區,高中,男女兼收,基隆市,暖暖區,基隆市暖暖區暖中路112號,https://nnjh.kl.edu.tw/,(02)24575534,普通科:6,6,6,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。；115學年度基北區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,資優/特色班請依各校及基北區官方公告查詢,,115學年度本表招生科別可確認包含：普通科。學校官網首頁未標示更完整的全校課程方向摘要；詳細課程內容以校方115學年度課程計畫為準。,學校官網首頁未標示115學年度全校統一實習／專題內容；實際實作、專題或成果要求以各科、實習處或課程計畫公告為準。,校方交通頁明列：八堵站步行約15分鐘、暖暖站步行約10分鐘；602至「暖暖高中」站步行約5分鐘；402、403、406、407、503、601、602、603、605、787、1011、1031、1032可至「海會寺」站後步行約5分鐘。,校方明確標示無學生專車；主要使用臺鐵暖暖／八堵站及公車「暖暖高中」「海會寺」等站點。,學校官網首頁未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9F%BA%E9%9A%86%E5%B8%82%E6%9A%96%E6%9A%96%E5%8D%80%E6%9A%96%E4%B8%AD%E8%B7%AF112%E8%99%9F; https://nnjh.kl.edu.tw/,https://nnjh.kl.edu.tw/%E5%AD%B8%E6%A0%A1%E7%B0%A1%E4%BB%8B/%E4%BA%A4%E9%80%9A%E8%B7%AF%E7%B7%9A,https://nnjh.kl.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9F%BA%E9%9A%86%E5%B8%82%E6%9A%96%E6%9A%96%E5%8D%80%E6%9A%96%E4%B8%AD%E8%B7%AF112%E8%99%9F,https://nnjh.kl.edu.tw/,https://nnjh.kl.edu.tw/,https://nnjh.kl.edu.tw/
,171306,私立二信高中,私立,基北區,高職,男女兼收,基隆市,中正區,基隆市中正區立德路243號,https://www.essh.kl.edu.tw/,(02)24623131,電機科:9；商業經營科:10；資料處理科:15；廣告設計科:8,42,42,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。；115學年度基北區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,資優/特色班請依各校及基北區官方公告查詢,,115學年度本表招生科別可確認包含：電機科、商業經營科、資料處理科、廣告設計科。學校官網首頁未標示更完整的全校課程方向摘要；詳細課程內容以校方115學年度課程計畫為準。,學校官網首頁未標示115學年度全校統一實習／專題內容；實際實作、專題或成果要求以各科、實習處或課程計畫公告為準。,學校官網首頁未標示完整固定大眾運輸到校路線或115學年度固定學生專車班次；本表不自行補寫路線。,網站首頁未標示固定通勤時間；Google地圖欄已依官方校址建立查詢入口，可依實際出發地查詢即時大眾運輸。,學校官網首頁未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9F%BA%E9%9A%86%E5%B8%82%E4%B8%AD%E6%AD%A3%E5%8D%80%E7%AB%8B%E5%BE%B7%E8%B7%AF243%E8%99%9F; https://www.essh.kl.edu.tw/,https://www.essh.kl.edu.tw/,https://www.essh.kl.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9F%BA%E9%9A%86%E5%B8%82%E4%B8%AD%E6%AD%A3%E5%8D%80%E7%AB%8B%E5%BE%B7%E8%B7%AF243%E8%99%9F,https://www.essh.kl.edu.tw/,https://www.essh.kl.edu.tw/,https://www.essh.kl.edu.tw/
,171407,私立培德工家,私立,基北區,綜高,男女兼收,基隆市,信義區,201004 基隆市信義區培德路73號,https://www.ptvs.kl.edu.tw/,(02)24652121,汽車科:6；餐飲管理科:18；普通科:44；多媒體設計科:178,246,246,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。；115學年度基北區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,資優/特色班請依各校及基北區官方公告查詢,,115學年度本表招生科別可確認包含：汽車科、餐飲管理科、普通科、多媒體設計科。學校官網首頁未標示更完整的全校課程方向摘要；詳細課程內容以校方115學年度課程計畫為準。,學校官網首頁未標示115學年度全校統一實習／專題內容；實際實作、專題或成果要求以各科、實習處或課程計畫公告為準。,學校官網首頁未標示完整固定大眾運輸到校路線或115學年度固定學生專車班次；本表不自行補寫路線。,網站首頁未標示固定通勤時間；Google地圖欄已依官方校址建立查詢入口，可依實際出發地查詢即時大眾運輸。,學校官網首頁未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=201004+%E5%9F%BA%E9%9A%86%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%9F%B9%E5%BE%B7%E8%B7%AF73%E8%99%9F; https://www.ptvs.kl.edu.tw/,https://www.ptvs.kl.edu.tw/,https://www.ptvs.kl.edu.tw/,https://www.google.com/maps/search/?api=1&query=201004+%E5%9F%BA%E9%9A%86%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%9F%B9%E5%BE%B7%E8%B7%AF73%E8%99%9F,https://www.ptvs.kl.edu.tw/,https://www.ptvs.kl.edu.tw/,https://www.ptvs.kl.edu.tw/
