排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,分數來源備註,資優班/特色班,排序分數,課程方向,實習／專題,交通方式,通勤資訊,住宿資訊,生活資料來源,交通資料來源,住宿資料來源,Google地圖,地址資料來源,課程資料來源,實習專題資料來源
,120303,國立鳳山高中,公立,高雄區學校名錄,高中,男女校,高雄市,鳳山區,高雄市鳳山區光復路二段130號,https://www.fssh.khc.edu.tw/,(07)7463150,普通科(日)；數理資優班(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,請以各校當年度公告為準,,普通型高中課程，以部定必修、加深加廣、多元選修、彈性學習與自主學習為主；另有數理資優班等特色班別。,不設技職類固定實習；以探究與實作、自主學習及學習歷程成果為主。網站未標示115學年度全校統一專題題目。,115學年度第1學期校方已公告學生交通專車登記與兩條路線；實際停靠站、座位與時間依校方115-1最新公告。,學生專車須依115-1校方登記與座位表搭乘；未登記者不可視為固定可搭乘。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E9%B3%B3%E5%B1%B1%E5%8D%80%E5%85%89%E5%BE%A9%E8%B7%AF%E4%BA%8C%E6%AE%B5130%E8%99%9F; https://www.fssh.khc.edu.tw/,https://www.fssh.khc.edu.tw/,https://www.fssh.khc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E9%B3%B3%E5%B1%B1%E5%8D%80%E5%85%89%E5%BE%A9%E8%B7%AF%E4%BA%8C%E6%AE%B5130%E8%99%9F,https://www.fssh.khc.edu.tw/,https://www.fssh.khc.edu.tw/,https://www.fssh.khc.edu.tw/
,120304,國立岡山高中,公立,高雄區學校名錄,高中,男女校,高雄市,岡山區,高雄市岡山區公園路52號,https://www.kssh.khc.edu.tw/,(07)6212033,普通科(日)；體育班(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,請以各校當年度公告為準,,普通型高中課程，以部定必修、加深加廣、多元選修、彈性學習與自主學習為主；另有體育班等特色班別。,不設技職類固定實習；以探究與實作、自主學習及學習歷程成果為主。網站未標示115學年度全校統一專題題目。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；請依官方校址與即時大眾運輸班次查詢。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E5%B2%A1%E5%B1%B1%E5%8D%80%E5%85%AC%E5%9C%92%E8%B7%AF52%E8%99%9F; https://www.kssh.khc.edu.tw/,https://www.kssh.khc.edu.tw/,https://www.kssh.khc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E5%B2%A1%E5%B1%B1%E5%8D%80%E5%85%AC%E5%9C%92%E8%B7%AF52%E8%99%9F,https://www.kssh.khc.edu.tw/,https://www.kssh.khc.edu.tw/p/412-1001-613.php,https://www.kssh.khc.edu.tw/p/412-1001-613.php
,120311,國立旗美高中,公立,高雄區學校名錄,綜高,男女校,高雄市,旗山區,高雄市旗山區東平里樹人路21號,https://www.cmsh.khc.edu.tw/,(07)6612502,普通科(日)；體育班(日)；多媒體設計科(日)；家政科(日)；幼兒保育科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,請以各校當年度公告為準,,普通／學術課程與專業群科並行，招生／專業方向包含普通科、多媒體設計科、家政科、幼兒保育科；實際分流依115學年度校方課程計畫。,專業群科依各科課程辦理實習實作、技能訓練與專題製作；網站未標示115學年度全校統一專題題目時，以各科／實習處公告為準。,校方學校簡介明列學生專車可服務高雄、楠梓、鳳山、里港、美濃等方向；一般公車可至旗山南站或旗尾站後步行到校。,通勤可使用校方學生專車，或搭乘客運至旗山南站／旗尾站後步行；實際班次依當期客運與校方公告。,校方學校簡介明確列有設備完善的男女學生宿舍及住宿生晚自習；115學年度床位與申請依校方當年度公告。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E6%97%97%E5%B1%B1%E5%8D%80%E6%9D%B1%E5%B9%B3%E9%87%8C%E6%A8%B9%E4%BA%BA%E8%B7%AF21%E8%99%9F; https://www.cmsh.khc.edu.tw/,https://www.cmsh.khc.edu.tw/home?cid=424,https://www.cmsh.khc.edu.tw/home?cid=424,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E6%97%97%E5%B1%B1%E5%8D%80%E6%9D%B1%E5%B9%B3%E9%87%8C%E6%A8%B9%E4%BA%BA%E8%B7%AF21%E8%99%9F,https://www.cmsh.khc.edu.tw/,https://www.cmsh.khc.edu.tw/ischool/publish_page/37/?cid=3073,https://www.cmsh.khc.edu.tw/ischool/publish_page/37/?cid=3073
,120319,國立鳳新高中,公立,高雄區學校名錄,高中,男女校,高雄市,鳳山區,高雄市鳳山區新富路257號,https://www.fhsh.khc.edu.tw/,(07)7658288,普通科(日)；音樂班(日)；美術班(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,請以各校當年度公告為準,,普通型高中課程，以部定必修、加深加廣、多元選修、彈性學習與自主學習為主；另有音樂班、美術班等特色班別。,不設技職類固定實習；以探究與實作、自主學習及學習歷程成果為主。網站未標示115學年度全校統一專題題目。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；請依官方校址與即時大眾運輸班次查詢。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E9%B3%B3%E5%B1%B1%E5%8D%80%E6%96%B0%E5%AF%8C%E8%B7%AF257%E8%99%9F; https://www.fhsh.khc.edu.tw/,https://www.fhsh.khc.edu.tw/,https://www.fhsh.khc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E9%B3%B3%E5%B1%B1%E5%8D%80%E6%96%B0%E5%AF%8C%E8%B7%AF257%E8%99%9F,https://www.fhsh.khc.edu.tw/,https://www.fhsh.khc.edu.tw/,https://www.fhsh.khc.edu.tw/
,120320,國立高科實驗高中,公立,高雄區學校名錄,高中,男女校,高雄市,楠梓區,高雄市楠梓區盛昌街161號,https://www.nehs.kh.edu.tw/,(07)6120121,,,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,請以各校當年度公告為準,,實驗型普通高中課程，結合科學園區與探究、跨域及實驗教育特色；115學年度詳細課程以校方課程計畫為準。,不設技職類固定實習；以探究與實作、自主學習及學習歷程成果為主。網站未標示115學年度全校統一專題題目。,校方交通資訊頁確認115學年度目前校址為高雄市楠梓區盛昌街161號，並提供Google地圖位置。,網站未標示115學年度固定學生專車或完整固定公車班次。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E6%A5%A0%E6%A2%93%E5%8D%80%E7%9B%9B%E6%98%8C%E8%A1%97161%E8%99%9F; https://www.nehs.kh.edu.tw/,https://www.nehs.kh.edu.tw/welcome/about/%E4%BA%A4%E9%80%9A%E8%B3%87%E8%A8%8A/,https://www.nehs.kh.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E6%A5%A0%E6%A2%93%E5%8D%80%E7%9B%9B%E6%98%8C%E8%A1%97161%E8%99%9F,https://www.nehs.kh.edu.tw/,https://www.nehs.kh.edu.tw/,https://www.nehs.kh.edu.tw/
,120401,國立旗山農工,公立,高雄區學校名錄,高職,男女校,高雄市,旗山區,高雄市旗山區旗甲路一段195號,https://www.csvs.khc.edu.tw/home,(07)6612501,農場經營科(日)；園藝科(日)；食品加工科(日)；畜產保健科(日)；機械科(日)；汽車科(日)；電機科(日)；生物產業機電科(日)；家政科(日)；綜合職能科(日)；烘焙食品科(日)；機車修護科(日)；餐飲技術科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,請以各校當年度公告為準,,技術型高中，主要專業方向包含農場經營科、園藝科、食品加工科、畜產保健科、機械科、汽車科、電機科、生物產業機電科、家政科、綜合職能科等；依各科課程計畫安排專業科目與實習實作。,各農工與家政專業科依課程辦理專業實習、實作與技能訓練；校方實習處並持續公告技藝與實習活動。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；請依官方校址與即時大眾運輸班次查詢。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E6%97%97%E5%B1%B1%E5%8D%80%E6%97%97%E7%94%B2%E8%B7%AF%E4%B8%80%E6%AE%B5195%E8%99%9F; https://www.csvs.khc.edu.tw/home,https://www.csvs.khc.edu.tw/home,https://www.csvs.khc.edu.tw/home,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E6%97%97%E5%B1%B1%E5%8D%80%E6%97%97%E7%94%B2%E8%B7%AF%E4%B8%80%E6%AE%B5195%E8%99%9F,https://www.csvs.khc.edu.tw/home,https://www.csvs.khc.edu.tw/home,https://www.csvs.khc.edu.tw/home
,120402,國立岡山農工,公立,高雄區學校名錄,高職,男女校,高雄市,岡山區,高雄市岡山區壽天里岡山路533號,https://www.ksvs.khc.edu.tw/index.php,(07)6217129,園藝科(日)；食品加工科(日)；食品加工科(夜)；機械科(日)；機械科(夜)；汽車科(日)；汽車科(夜)；資訊科(日)；資訊科(夜)；電子科(日)；電機科(日)；電機科(夜)；建築科(日)；化工科(日)；室內空間設計科(日)；生物產業機電科(日)；家政科(日)；家政科(夜)；綜合職能科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,請以各校當年度公告為準,,技術型高中，主要專業方向包含園藝科、食品加工科、機械科、汽車科、資訊科、電子科、電機科、建築科、化工科、室內空間設計科等；依各科課程計畫安排專業科目與實習實作。,專業群科依各科課程辦理實習實作、技能訓練與專題製作；網站未標示115學年度全校統一專題題目時，以各科／實習處公告為準。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；請依官方校址與即時大眾運輸班次查詢。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E5%B2%A1%E5%B1%B1%E5%8D%80%E5%A3%BD%E5%A4%A9%E9%87%8C%E5%B2%A1%E5%B1%B1%E8%B7%AF533%E8%99%9F; https://www.ksvs.khc.edu.tw/index.php,https://www.ksvs.khc.edu.tw/index.php,https://www.ksvs.khc.edu.tw/index.php,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E5%B2%A1%E5%B1%B1%E5%8D%80%E5%A3%BD%E5%A4%A9%E9%87%8C%E5%B2%A1%E5%B1%B1%E8%B7%AF533%E8%99%9F,https://www.ksvs.khc.edu.tw/index.php,https://www.ksvs.khc.edu.tw/index.php,https://www.ksvs.khc.edu.tw/index.php
,120409,國立鳳山商工,公立,高雄區學校名錄,高職,男女校,高雄市,鳳山區,高雄市鳳山區文衡路51號,https://www.fsvs.khc.edu.tw/,(07)7462602,體育班(日)；機械科(日)；室內空間設計科(日)；室內空間設計科(夜)；電腦機械製圖科(日)；家具設計科(日)；商業經營科(日)；商業經營科(夜)；國際貿易科(日)；會計事務科(日)；資料處理科(日)；資料處理科(夜)；觀光事業科(日)；觀光事業科(夜)；餐飲服務科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,請以各校當年度公告為準,,技術型高中，主要專業方向包含機械科、室內空間設計科、電腦機械製圖科、家具設計科、商業經營科、國際貿易科、會計事務科、資料處理科、觀光事業科、餐飲服務科；依各科課程計畫安排專業科目與實習實作。,各專業群科依課程辦理專業實習、專題製作、設計／商管／餐旅實作，並由實習處及技術教學中心提供相關資源。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；請依官方校址與即時大眾運輸班次查詢。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E9%B3%B3%E5%B1%B1%E5%8D%80%E6%96%87%E8%A1%A1%E8%B7%AF51%E8%99%9F; https://www.fsvs.khc.edu.tw/,https://www.fsvs.khc.edu.tw/,https://www.fsvs.khc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E9%B3%B3%E5%B1%B1%E5%8D%80%E6%96%87%E8%A1%A1%E8%B7%AF51%E8%99%9F,https://www.fsvs.khc.edu.tw/,https://www.fsvs.khc.edu.tw/,https://www.fsvs.khc.edu.tw/
,121302,光禾華德福實驗學校,私立,高雄區學校名錄,高中,男女校,高雄市,前鎮區,高雄市前鎮區德昌路345號,https://waldorf-tw-kh.weebly.com/,(07)7885128,普通科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,請以各校當年度公告為準,,華德福實驗教育高中課程，以主題課程、藝術、手作與生活實踐為核心，並依校方實驗教育課程規劃辦理。,以華德福主題學習、藝術與手作等實作為主；網站未標示115學年度全校統一專題題目。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；請依官方校址與即時大眾運輸班次查詢。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E5%89%8D%E9%8E%AE%E5%8D%80%E5%BE%B7%E6%98%8C%E8%B7%AF345%E8%99%9F; https://waldorf-tw-kh.weebly.com/,https://waldorf-tw-kh.weebly.com/,https://waldorf-tw-kh.weebly.com/,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E5%89%8D%E9%8E%AE%E5%8D%80%E5%BE%B7%E6%98%8C%E8%B7%AF345%E8%99%9F,https://waldorf-tw-kh.weebly.com/,https://waldorf-tw-kh.weebly.com/,https://waldorf-tw-kh.weebly.com/
,121306,財團法人新光高中,私立,高雄區學校名錄,高職,男女校,高雄市,大寮區,高雄市大寮區鳳屏一路217號,https://www.sg.sgshedu.tw/,(07)7019888,資訊科(日)；餐飲管理科(日)；餐飲管理科(夜)；美容科(日)；美容科(夜)；寵物經營科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,請以各校當年度公告為準,,技術型高中，主要專業方向包含資訊科、餐飲管理科、美容科、寵物經營科；依各科課程計畫安排專業科目與實習實作。,專業群科依各科課程辦理實習實作、技能訓練與專題製作；網站未標示115學年度全校統一專題題目時，以各科／實習處公告為準。,學校官網未標示115學年度完整固定大眾運輸到校路線或固定學生專車班次。,網站未標示所有學生一致的固定通勤時間；請依官方校址與即時大眾運輸班次查詢。,學校官網未標示115學年度校內學生宿舍申請資訊。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E5%A4%A7%E5%AF%AE%E5%8D%80%E9%B3%B3%E5%B1%8F%E4%B8%80%E8%B7%AF217%E8%99%9F; https://www.sg.sgshedu.tw/,https://www.sg.sgshedu.tw/,https://www.sg.sgshedu.tw/,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E5%A4%A7%E5%AF%AE%E5%8D%80%E9%B3%B3%E5%B1%8F%E4%B8%80%E8%B7%AF217%E8%99%9F,https://www.sg.sgshedu.tw/,https://www.sg.sgshedu.tw/,https://www.sg.sgshedu.tw/
