排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,分數來源備註,資優班/特色班,排序分數,課程方向,實習／專題,交通方式,通勤資訊,住宿資訊,生活資料來源,交通資料來源,住宿資料來源,Google地圖,地址資料來源,課程資料來源,實習專題資料來源
,040302,國立竹東高中,公立,竹苗區學校名錄,高中,,新竹縣,竹東鎮,新竹縣竹東鎮大林路2號,https://www.ctsh.hcc.edu.tw/,(03)5962024,普通科(日)；普通科(夜)；商業經營科(夜),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,請以各校當年度公告為準,,以普通科、商業經營科課程為主；各年級必修、選修與校訂課程依學校課程計畫。,網站未標示固定全校實習／專題內容；各科或校訂課程之實作、專題依學校課程計畫與教學單位公告。,學校官網未標示具體大眾運輸路線。,學校官網未標示固定學生專車或具體通勤路線。,學校官網未標示校內學生宿舍資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E7%AB%B9%E6%9D%B1%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%B9%E6%9D%B1%E9%8E%AE%E5%A4%A7%E6%9E%97%E8%B7%AF2%E8%99%9F,https://www.ctsh.hcc.edu.tw/,https://www.ctsh.hcc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E7%AB%B9%E6%9D%B1%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%B9%E6%9D%B1%E9%8E%AE%E5%A4%A7%E6%9E%97%E8%B7%AF2%E8%99%9F,https://www.ctsh.hcc.edu.tw/,https://www.ctsh.hcc.edu.tw/,https://www.ctsh.hcc.edu.tw/
,040304,國立關西高中,公立,竹苗區學校名錄,高職,,新竹縣,關西鎮,新竹縣關西鎮東安里中山東路2號,https://www.khsh.hcc.edu.tw/home,(03)5872049,園藝科(日)；食品加工科(日)；畜產保健科(日)；家政科(日)；綜合職能科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,請以各校當年度公告為準,,以園藝科、食品加工科、畜產保健科、家政科、綜合職能科課程為主；各年級必修、選修與校訂課程依學校課程計畫。,網站未標示固定全校實習／專題內容；各科或校訂課程之實作、專題依學校課程計畫與教學單位公告。,官網設有「交通專車資訊專區」與交通車報名系統。,通勤可使用學校交通專車；路線與站點依校方當學年度交通專車公告。,學校官網未標示校內學生宿舍資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E9%97%9C%E8%A5%BF%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E9%97%9C%E8%A5%BF%E9%8E%AE%E6%9D%B1%E5%AE%89%E9%87%8C%E4%B8%AD%E5%B1%B1%E6%9D%B1%E8%B7%AF2%E8%99%9F,https://www.khsh.hcc.edu.tw/home,https://www.khsh.hcc.edu.tw/home,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E9%97%9C%E8%A5%BF%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E9%97%9C%E8%A5%BF%E9%8E%AE%E6%9D%B1%E5%AE%89%E9%87%8C%E4%B8%AD%E5%B1%B1%E6%9D%B1%E8%B7%AF2%E8%99%9F,https://www.khsh.hcc.edu.tw/home,https://www.khsh.hcc.edu.tw/home,https://www.khsh.hcc.edu.tw/home
,040308,國立陽明交大附中,公立,竹苗區學校名錄,綜高,,新竹縣,竹北市,新竹縣竹北市中央路3號,https://www.cphs.nycu.edu.tw/home,(03)5517330,普通科(日)；舞蹈班(日)；體育班(日)；資訊科(日)；商業經營科(日)；門市服務科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,請以各校當年度公告為準,,普通科搭配舞蹈、體育與技職類科；官網115學年度新增生物醫學實驗班，並設課程計畫書與選課輔導手冊。,網站未標示固定全校實習／專題內容；各科或校訂課程之實作、專題依學校課程計畫與教學單位公告。,學校官網未標示具體大眾運輸路線。,學校官網未標示固定學生專車或具體通勤路線。,學校官網未標示校內學生宿舍資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E5%A4%A7%E9%99%84%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%B9%E5%8C%97%E5%B8%82%E4%B8%AD%E5%A4%AE%E8%B7%AF3%E8%99%9F,https://www.cphs.nycu.edu.tw/home,https://www.cphs.nycu.edu.tw/home,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E5%A4%A7%E9%99%84%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%B9%E5%8C%97%E5%B8%82%E4%B8%AD%E5%A4%AE%E8%B7%AF3%E8%99%9F,https://www.cphs.nycu.edu.tw/home,https://www.cphs.nycu.edu.tw/home,https://www.cphs.nycu.edu.tw/home
,041303,私立義民高中,私立,竹苗區學校名錄,綜高,,新竹縣,竹北市,新竹縣竹北市中正西路15號,http://www.ymsh.hcc.edu.tw,(03)5552020,普通科(日)；資訊科(日)；資料處理科(日)；資料處理科(夜)；廣告設計科(日)；幼兒保育科(日)；廣告技術科(日)；商用資訊科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,請以各校當年度公告為準,,以普通科、資訊科、資料處理科、廣告設計科、幼兒保育科、廣告技術科、商用資訊科課程為主；各年級必修、選修與校訂課程依學校課程計畫。,網站未標示固定全校實習／專題內容；各科或校訂課程之實作、專題依學校課程計畫與教學單位公告。,學校官網未標示具體大眾運輸路線。,學校官網未標示固定學生專車或具體通勤路線。,學校官網未標示校內學生宿舍資訊。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E7%BE%A9%E6%B0%91%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%B9%E5%8C%97%E5%B8%82%E4%B8%AD%E6%AD%A3%E8%A5%BF%E8%B7%AF15%E8%99%9F,http://www.ymsh.hcc.edu.tw,http://www.ymsh.hcc.edu.tw,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E7%BE%A9%E6%B0%91%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%B9%E5%8C%97%E5%B8%82%E4%B8%AD%E6%AD%A3%E8%A5%BF%E8%B7%AF15%E8%99%9F,http://www.ymsh.hcc.edu.tw,http://www.ymsh.hcc.edu.tw,http://www.ymsh.hcc.edu.tw
,041305,私立忠信高中,私立,竹苗區學校名錄,高中,,新竹縣,新豐鄉,新竹縣新豐鄉忠信街178號,https://www.chhs.hcc.edu.tw/,(03)5595775,普通科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,請以各校當年度公告為準,,以普通科課程為主；各年級必修、選修與校訂課程依學校課程計畫。,網站未標示固定全校實習／專題內容；各科或校訂課程之實作、專題依學校課程計畫與教學單位公告。,官網招生頁提供校址與 Google Map 定位；官網未標示固定大眾運輸路線。,學校位於新豐鄉忠信街178號；官網未標示固定大眾運輸通勤路線。,學校官網未標示校內學生宿舍資訊。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E5%BF%A0%E4%BF%A1%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E6%96%B0%E8%B1%90%E9%84%89%E5%BF%A0%E4%BF%A1%E8%A1%97178%E8%99%9F,https://2026.reg.chhs.hcc.edu.tw/,https://www.chhs.hcc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E5%BF%A0%E4%BF%A1%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E6%96%B0%E8%B1%90%E9%84%89%E5%BF%A0%E4%BF%A1%E8%A1%97178%E8%99%9F,https://www.chhs.hcc.edu.tw/,https://www.chhs.hcc.edu.tw/,https://www.chhs.hcc.edu.tw/
,041306,私立東泰高中,私立,竹苗區學校名錄,綜高,,新竹縣,竹東鎮,新竹縣竹東鎮東峰路343號,http://www.ttsh.hcc.edu.tw,(03)5961232,普通科(日)；汽車科(日)；汽車科(夜)；資訊科(日)；資料處理科(日)；餐飲管理科(日)；餐飲管理科(夜)；時尚造型科(日)；綜合職能科(日)；烘焙食品科(日)；汽車修護科(日)；水電技術科(日)；微電腦修護科(日)；商用資訊科(日)；餐飲技術科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,請以各校當年度公告為準,,以普通科、汽車科、資訊科、資料處理科、餐飲管理科、時尚造型科、綜合職能科、烘焙食品科等課程為主；各年級必修、選修與校訂課程依學校課程計畫。,網站未標示固定全校實習／專題內容；各科或校訂課程之實作、專題依學校課程計畫與教學單位公告。,學校官網未標示具體大眾運輸路線。,學校官網未標示固定學生專車或具體通勤路線。,學校官網未標示校內學生宿舍資訊。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E6%9D%B1%E6%B3%B0%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%B9%E6%9D%B1%E9%8E%AE%E6%9D%B1%E5%B3%B0%E8%B7%AF343%E8%99%9F,http://www.ttsh.hcc.edu.tw,http://www.ttsh.hcc.edu.tw,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E6%9D%B1%E6%B3%B0%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%B9%E6%9D%B1%E9%8E%AE%E6%9D%B1%E5%B3%B0%E8%B7%AF343%E8%99%9F,http://www.ttsh.hcc.edu.tw,http://www.ttsh.hcc.edu.tw,http://www.ttsh.hcc.edu.tw
,041307,私立仰德高中,私立,竹苗區學校名錄,高職,,新竹縣,新豐鄉,新竹縣新豐鄉員山133號,https://www.ydvs.hcc.edu.tw/,(03)5592158,資料處理科(夜)；餐飲管理科(日)；餐飲管理科(夜)；電子商務科(日)；時尚造型科(日)；綜合職能科(日)；烘焙食品科(日)；餐飲技術科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,請以各校當年度公告為準,,以資料處理科、餐飲管理科、電子商務科、時尚造型科、綜合職能科、烘焙食品科、餐飲技術科課程為主；各年級必修、選修與校訂課程依學校課程計畫。,網站未標示固定全校實習／專題內容；各科或校訂課程之實作、專題依學校課程計畫與教學單位公告。,官網「交通位置」頁提供校址與地理位置圖；未列固定大眾運輸路線。,依官網地理位置圖前往；網站未標示固定公車或火車轉乘路線。,學校官網未標示校內學生宿舍資訊。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E4%BB%B0%E5%BE%B7%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E6%96%B0%E8%B1%90%E9%84%89%E5%93%A1%E5%B1%B1133%E8%99%9F,https://www.ydvs.hcc.edu.tw/location/,https://www.ydvs.hcc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E4%BB%B0%E5%BE%B7%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E6%96%B0%E8%B1%90%E9%84%89%E5%93%A1%E5%B1%B1133%E8%99%9F,https://www.ydvs.hcc.edu.tw/,https://www.ydvs.hcc.edu.tw/,https://www.ydvs.hcc.edu.tw/
,041401,私立內思高工,私立,竹苗區學校名錄,高職,,新竹縣,新埔鎮,新竹縣新埔鎮楊新路一段40號,https://www.savs.hcc.edu.tw/,(03)5882520,機械科(日)；資訊科(日)；電子科(日)；電機科(日)；多媒體設計科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,請以各校當年度公告為準,,以機械科、資訊科、電子科、電機科、多媒體設計科課程為主；各年級必修、選修與校訂課程依學校課程計畫。,網站未標示固定全校實習／專題內容；各科或校訂課程之實作、專題依學校課程計畫與教學單位公告。,學校官網未標示具體大眾運輸路線。,學校官網未標示固定學生專車或具體通勤路線。,學校官網未標示校內學生宿舍資訊。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E5%85%A7%E6%80%9D%E9%AB%98%E5%B7%A5%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E6%96%B0%E5%9F%94%E9%8E%AE%E6%A5%8A%E6%96%B0%E8%B7%AF%E4%B8%80%E6%AE%B540%E8%99%9F,https://www.savs.hcc.edu.tw/,https://www.savs.hcc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E5%85%A7%E6%80%9D%E9%AB%98%E5%B7%A5%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E6%96%B0%E5%9F%94%E9%8E%AE%E6%A5%8A%E6%96%B0%E8%B7%AF%E4%B8%80%E6%AE%B540%E8%99%9F,https://www.savs.hcc.edu.tw/,https://www.savs.hcc.edu.tw/,https://www.savs.hcc.edu.tw/
,044311,新竹縣立六家高級中學,公立,竹苗區學校名錄,高中,,新竹縣,竹北市,新竹縣竹北市嘉興路356號,https://ljsh.hcc.edu.tw/,(03)5503824,普通科(日)；體育班(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,請以各校當年度公告為準,,普通科與體育班；官網設課程計畫、選課輔導手冊、雙語／國際教育及生物醫學特色專區。,網站未標示固定全校實習／專題內容；各科或校訂課程之實作、專題依學校課程計畫與教學單位公告。,官網設有「交通車專區／交通車資訊」。,可依學校交通車專區公告的當學年度路線與站點通勤。,學校官網未標示校內學生宿舍資訊。,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%8B%E5%85%AD%E5%AE%B6%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%B9%E5%8C%97%E5%B8%82%E5%98%89%E8%88%88%E8%B7%AF356%E8%99%9F,https://ljsh.hcc.edu.tw/,https://ljsh.hcc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%8B%E5%85%AD%E5%AE%B6%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%B9%E5%8C%97%E5%B8%82%E5%98%89%E8%88%88%E8%B7%AF356%E8%99%9F,https://ljsh.hcc.edu.tw/,https://ljsh.hcc.edu.tw/,https://ljsh.hcc.edu.tw/
,044320,新竹縣立湖口高中,公立,竹苗區學校名錄,綜高,,新竹縣,湖口鄉,新竹縣湖口鄉達生路601號,https://hkhs.hcc.edu.tw/,(03)5992588,普通科(日)；體育班(日)；商業經營科(日),,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。,請以各校當年度公告為準,,普通科、商業經營科與體育班；官網115課程計畫及選課資料分別提供普通科、商經科與體育班規劃。,網站未標示固定全校實習／專題內容；各科或校訂課程之實作、專題依學校課程計畫與教學單位公告。,官網公告115學年度第1學期學生專車報名與異動。,可依115學年度學生專車公告之核定站點搭乘。,學校官網未標示校內學生宿舍資訊。,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%8B%E6%B9%96%E5%8F%A3%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E6%B9%96%E5%8F%A3%E9%84%89%E9%81%94%E7%94%9F%E8%B7%AF601%E8%99%9F,https://hkhs.hcc.edu.tw/,https://hkhs.hcc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%8B%E6%B9%96%E5%8F%A3%E9%AB%98%E4%B8%AD%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E6%B9%96%E5%8F%A3%E9%84%89%E9%81%94%E7%94%9F%E8%B7%AF601%E8%99%9F,https://hkhs.hcc.edu.tw/,https://hkhs.hcc.edu.tw/,https://hkhs.hcc.edu.tw/
