district,district_label,school_code,school_name,admission_track,program,address,website
tp,基北區,170404,國立基隆商工,基北區,高中,基隆市七堵區東新街22號,https://www.klcivs.kl.edu.tw/
tp,基北區,170301,國立基隆女中,基北區,高中,基隆市信義區東信路324號,http://www.klgsh.kl.edu.tw
tp,基北區,170302,國立基隆高中,基北區,高中,基隆市暖暖區源遠路20號,https://www.klsh.kl.edu.tw/
tp,基北區,170403,國立海洋大學附屬基隆海事,基北區,技術型高中,基隆市中正區祥豐街246號,http://www.klms.ntou.edu.tw/
tp,基北區,173304,市立中山高中,基北區,高中,基隆市中山區文化路162號,https://csjh.kl.edu.tw/
tp,基北區,173314,市立八斗高中,基北區,高中,基隆市中正區新豐街100號,https://bdjh.kl.edu.tw/
tp,基北區,173306,市立安樂高中,基北區,高中,基隆市安樂區安一路360號,https://aljh.kl.edu.tw/
tp,基北區,173307,市立暖暖高中,基北區,高中,基隆市暖暖區暖中路112號,https://nnjh.kl.edu.tw/
tp,基北區,171306,私立二信高中,基北區,高中,基隆市中正區立德路243號,https://www.essh.kl.edu.tw/
tp,基北區,171407,私立培德工家,基北區,高中,基隆市信義區培德路73號,http://www.ptvs.kl.edu.tw
tp,基北區,171308,輔大聖心高中,基北區,高中,基隆市中山區西定路166號,http://www.shsh.kl.edu.tw
tp,基北區,020409,國立頭城家商,基北區共同就學區,高中,宜蘭縣頭城鎮新興路111號,http://www.tcvs.ilc.edu.tw
tp,基北區,010301,國立華僑高級中等學校,基北區,高中,新北市板橋區大觀路一段32號,http://www.nocsh.ntpc.edu.tw
tp,基北區,014357,市立三民高中,基北區,高中,新北市蘆洲區三民路96號,http://www.smsh.ntpc.edu.tw
tp,基北區,013430,市立三重商工,基北區,高中,新北市三重區中正北路163號,http://www.scvs.ntpc.edu.tw
tp,基北區,014311,市立三重高中,基北區,高中,新北市三重區集美街212號,https://www3.schs.ntpc.edu.tw/
tp,基北區,013336,市立中和高中,基北區,高中,新北市中和區連城路460號,http://www.chshs.ntpc.edu.tw
tp,基北區,014353,市立丹鳳高中,基北區,高中,新北市新莊區龍安路72號,http://www.dfsh.ntpc.edu.tw/
tp,基北區,014363,市立光復高中,基北區,高中,新北市板橋區光環路一段7號,http://www.gfhs.ntpc.edu.tw/
tp,基北區,014381,市立北大高級中學,基北區,高中,新北市三峽區大義路277號,http://www.bdsh.ntpc.edu.tw
tp,基北區,014343,市立安康高中,基北區,高中,新北市新店區安興路25號,http://www.akhs.ntpc.edu.tw
tp,基北區,013338,市立新北高中,基北區,高中,新北市三重區三信路1號,http://www.ntsh.ntpc.edu.tw/
tp,基北區,013433,市立新北高工,基北區,高中,新北市土城區學府路一段241號,https://www.ntvs.ntpc.edu.tw/
tp,基北區,013335,市立新店高中,基北區,高中,新北市新店區中央路93號,http://www.htsh.ntpc.edu.tw
tp,基北區,013337,市立新莊高中,基北區,高中,新北市新莊區中平路135號,http://www.hcsh.ntpc.edu.tw
tp,基北區,014326,市立明德高中,基北區,高中,新北市三峽區中正路二段399號,http://www.mdhs.ntpc.edu.tw
tp,基北區,013304,市立板橋高中,基北區,高中,新北市板橋區文化路一段25號,http://www.pcsh.ntpc.edu.tw
tp,基北區,013339,市立林口高中,基北區,高中,新北市林口區仁愛路二段173號,http://www.lksh.ntpc.edu.tw
tp,基北區,014468,市立樟樹國際實中,基北區,高中,新北市汐止區樟樹二路135號,http://www.ctjhs.ntpc.edu.tw/
tp,基北區,014322,市立樹林高中,基北區,高中,新北市樹林區中華路8號,http://www.slsh.ntpc.edu.tw
tp,基北區,014315,市立永平高中,基北區,高中,新北市永和區永平路205號,https://www.yphs.ntpc.edu.tw/
tp,基北區,013303,市立泰山高中,基北區,高中,新北市泰山區辭修路7號,http://www.tssh.ntpc.edu.tw
tp,基北區,014302,市立海山高中,基北區,高中,新北市板橋區漢生東路215號,http://www.hshs.ntpc.edu.tw
tp,基北區,013434,市立淡水商工,基北區,高中,新北市淡水區商工路307號,http://www.tsvs.ntpc.edu.tw
tp,基北區,014356,市立清水高中,基北區,高中,新北市土城區明德路一段72號,http://www.cssh.ntpc.edu.tw
tp,基北區,013402,市立瑞芳高工,基北區,高中,新北市瑞芳區瑞芳街60號,https://web.jfvs.ntpc.edu.tw/
tp,基北區,014348,市立石碇高中,基北區,高中,新北市石碇區隆盛里八分寮45號,http://www.sdhs.ntpc.edu.tw
tp,基北區,014332,市立秀峰高中,基北區,高中,新北市汐止區忠孝東路201號,https://www.sfhs.ntpc.edu.tw/
tp,基北區,014364,市立竹圍高中,基北區,高中,新北市淡水區竹林路35號,https://www.zwhs.ntpc.edu.tw/
tp,基北區,014338,市立金山高中,基北區,高中,新北市金山區美田里文化二路2號,http://www.cshs.ntpc.edu.tw
tp,基北區,014362,市立錦和高中,基北區,高中,新北市中和區錦和路163號,http://www.jhsh.ntpc.edu.tw
tp,基北區,014347,市立雙溪高中,基北區,高中,新北市雙溪區梅竹蹊3號,http://www.sxhs.ntpc.edu.tw
tp,基北區,014439,市立鶯歌工商,基北區,高中,新北市鶯歌區中正三路154號,http://www.ykvs.ntpc.edu.tw
tp,基北區,011309,新北市南山中學,基北區,高中,新北市中和區廣福路41號,https://www.nssh.ntpc.edu.tw/
tp,基北區,011322,新北市崇光高中,基北區,高中,新北市新店區三民路18號,https://web.ckgsh.ntpc.edu.tw/nss/p/index
tp,基北區,011330,新北市林口康橋國際高中,基北區,高中,新北市林口區興林路55號,https://web.kcislk.ntpc.edu.tw/
tp,基北區,011307,新北市裕德高級中等學校,基北區,高中,新北市土城區擺接堡路1號,http://www.yuteh.ntpc.edu.tw/
tp,基北區,011432,私立中華商海,基北區,高中,新北市萬里區瑪鋉路15號,http://www.chmvs.ntpc.edu.tw
tp,基北區,011323,私立光仁高中,基北區,高中,新北市板橋區中山路二段255巷18號,http://www.kjsh.ntpc.edu.tw
tp,基北區,011C71,私立光華高商進修學校,基北區,高中,新北市板橋區南雅南路二段1號,http://www.khvs.ntpc.edu.tw
tp,基北區,011312,私立崇義高中,基北區,高中,新北市汐止區大同路三段68號,https://www.tyhs.ntpc.edu.tw/
tp,基北區,011302,私立康橋高中,基北區,高中,新北市新店區華城路800號,https://www.kcis.ntpc.edu.tw/_XiugangCampus/
tp,基北區,011318,私立徐匯高中,基北區,高中,新北市蘆洲區中山一路1號,http://www.sish.ntpc.edu.tw
tp,基北區,011407,私立復興商工,基北區,高中,新北市永和區秀朗路一段201號,http://www.fhvs.ntpc.edu.tw
tp,基北區,011399,私立時雨高中,基北區,高中,新北市瑞芳區銅山里祈堂路217號,http://www.syjh.ntpc.edu.tw
tp,基北區,011420,私立智光商工,基北區,高中,新北市永和區中正路100號,https://www.ckvs.ntpc.edu.tw/home
tp,基北區,011315,私立東海高中,基北區,高中,新北市三重區忠孝路三段93巷12號,https://www.thhs.ntpc.edu.tw/
tp,基北區,011316,私立格致高中,基北區,高中,新北市三重區大智街260號,http://www.gjsh.ntpc.edu.tw
tp,基北區,011405,私立樹人家商,基北區,高中,新北市樹林區大安路216號,http://www.stgvs.ntpc.edu.tw
tp,基北區,011301,私立淡江高中,基北區,高中,新北市淡水區真理街26號,http://www.tksh.ntpc.edu.tw
tp,基北區,011413,私立穀保家商,基北區,高中,新北市三重區中正北路560巷38號,http://www.kpvs.ntpc.edu.tw
tp,基北區,011324,私立竹林高中,基北區,高中,新北市中和區華新街143巷12號,http://www.clsh.ntpc.edu.tw
tp,基北區,011311,私立聖心女中,基北區,高中,新北市八里區龍米路一段263號,http://www.shgsh.ntpc.edu.tw
tp,基北區,011426,私立能仁家商,基北區,高中,新北市新店區文中路53巷10號,http://www.nrvs.ntpc.edu.tw
tp,基北區,011431,私立莊敬工家,基北區,高中,新北市新店區民生路45號,http://www.jjvs.ntpc.edu.tw
tp,基北區,011427,私立豫章工商,基北區,高中,新北市板橋區四川路一段391號,http://www.ycvs.ntpc.edu.tw
tp,基北區,011317,私立醒吾高中,基北區,高中,新北市林口區粉寮路一段75巷80號,http://www.swsh.ntpc.edu.tw
tp,基北區,011306,私立金陵女中,基北區,高中,新北市三重區重新路五段656號,http://www.glghs.ntpc.edu.tw
tp,基北區,011310,財團法人恆毅高中,基北區,高中,新北市新莊區中正路108號,http://www.hchs.ntpc.edu.tw
tp,基北區,011329,財團法人辭修高中,基北區,高中,新北市三峽區溪東路251號,http://www.tsshs.ntpc.edu.tw
tp,基北區,034306,市立南崁高中,基北區共同就學區,高中,桃園市蘆竹區仁愛路二段1號,https://www.nksh.tyc.edu.tw/ischool/publish_page/0/
tp,基北區,034314,市立壽山高中,基北區共同就學區,高中,桃園市龜山區大同路23號,http://www.sssh.tyc.edu.tw
tp,基北區,034347,市立永豐高中,基北區共同就學區,高中,桃園市八德區永豐路609號,http://www.yfms.tyc.edu.tw
tp,基北區,031414,桃園市世紀綠能工商,基北區共同就學區,高中,桃園市龜山區明德路162巷100號,https://web.cgehs.tyc.edu.tw/
tp,基北區,031317,私立光啟高中,基北區共同就學區,高中,桃園市龜山區自由街40號,http://www.phsh.tyc.edu.tw
tp,基北區,330301,國立師大附中,基北區,高中,臺北市大安區和安里信義路三段143號,https://www.hs.ntnu.edu.tw/
tp,基北區,380301,國立政大附中,基北區,高中,臺北市文山區政大里政大一街353號,https://www.ahs.nccu.edu.tw/home
tp,基北區,343301,市立中山女中,基北區,高中,臺北市中山區力行里長安東路2段141號,http://www.csghs.tp.edu.tw
tp,基北區,313302,市立中崙高中,基北區,高中,臺北市松山區吉祥里八德路四段101號,http://www.zlsh.tp.edu.tw/
tp,基北區,423302,市立中正高中,基北區,高中,臺北市北投區建民里文林北路77號,https://www.ccsh.tp.edu.tw/
tp,基北區,403301,市立內湖高中,基北區,高中,臺北市內湖區紫陽里文德路218號,http://www.nhsh.tp.edu.tw
tp,基北區,403401,市立內湖高工,基北區,高中,臺北市內湖區港墘里內湖路1段520號,http://www.nihs.tp.edu.tw
tp,基北區,353303,市立北一女中,基北區,高中,臺北市中正區建國里重慶南路1段165號,http://www.fg.tp.edu.tw
tp,基北區,373302,市立北市大附中,基北區,高中,臺北市萬華區綠堤里長順街2號,https://newweb.tlsh.tp.edu.tw/nss/p/index
tp,基北區,393301,市立南港高中,基北區,高中,臺北市南港區西新里向陽路21號,http://www.nksh.tp.edu.tw
tp,基北區,393401,市立南港高工,基北區,高中,臺北市南港區南港里興中路29號,http://www.nkhs.tp.edu.tw
tp,基北區,403303,市立南湖高中,基北區,高中,臺北市內湖區南湖里康寧路三段220號,http://www.nhush.tp.edu.tw
tp,基北區,333301,市立和平高中,基北區,高中,臺北市大安區芳和里臥龍街100號,http://www.hpsh.tp.edu.tw
tp,基北區,413401,市立士林高商,基北區,高中,臺北市士林區後港里士商路150號,http://www.slhs.tp.edu.tw
tp,基北區,343302,市立大同高中,基北區,高中,臺北市中山區中央里長春路167號,http://www.ttsh.tp.edu.tw
tp,基北區,333401,市立大安高工,基北區,高中,臺北市大安區龍圖里復興南路2段52號,http://www.taivs.tp.edu.tw
tp,基北區,343303,市立大直高中,基北區,高中,臺北市中山區劍潭里北安路420號,http://www.dcsh.tp.edu.tw
tp,基北區,353301,市立建國中學,基北區,高中,臺北市中正區龍光里南海路56號,http://www.ck.tp.edu.tw
tp,基北區,423301,市立復興高中,基北區,高中,臺北市北投區開明里復興四路70號,http://www.fhsh.tp.edu.tw
tp,基北區,353302,市立成功中學,基北區,高中,臺北市中正區幸福里濟南路1段71號,http://www.cksh.tp.edu.tw
tp,基北區,363302,市立成淵高中,基北區,高中,臺北市大同區民權里承德路二段235號,http://www.cyhs.tp.edu.tw
tp,基北區,363301,市立明倫高中,基北區,高中,臺北市大同區重慶里承德路三段336號,https://www.mlsh.tp.edu.tw/nss/p/index
tp,基北區,383301,市立景美女中,基北區,高中,臺北市文山區樟文里木新路三段312號,http://www.cmgsh.tp.edu.tw
tp,基北區,383401,市立木柵高工,基北區,高中,臺北市文山區博嘉里木柵路四段77號,http://www.mcvs.tp.edu.tw
tp,基北區,323401,市立松山家商,基北區,高中,臺北市信義區松隆里松山路655號,http://www.ssvs.tp.edu.tw
tp,基北區,323402,市立松山工農,基北區,技術型高中,臺北市信義區廣居里忠孝東路五段236巷15號,http://www.saihs.edu.tw
tp,基北區,323301,市立松山高中,基北區,高中,臺北市信義區新仁里基隆路一段156號,http://www.sssh.tp.edu.tw
tp,基北區,323302,市立永春高中,基北區,高中,臺北市信義區松隆里松山路654號,http://www.ycsh.tp.edu.tw
tp,基北區,413302,市立百齡高中,基北區,高中,臺北市士林區義信里承德路4段177號,http://www.blsh.tp.edu.tw
tp,基北區,393302,市立育成高中,基北區,高中,臺北市南港區南港里重陽路366號,http://mars.yucsh.tp.edu.tw/ischool/publish_page/0/
tp,基北區,373301,市立華江高中,基北區,高中,臺北市萬華區日善里西藏路213號,http://www.hcsh.tp.edu.tw
tp,基北區,383302,市立萬芳高中,基北區,高中,臺北市文山區興光里興隆路三段115巷1號,http://www.wfsh.tp.edu.tw
