排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,最低錄取分數,分數年度,分數來源備註,資優班/特色班,排序分數
,100301,國立東石高中,公立,嘉義區學校名錄,普通科／專業群科／進修部,,嘉義縣,朴子市,嘉義縣朴子市大鄉里253號,,(05)3794180,普通科:30；機械科:11；汽車科:3；電機科:60；食品加工科:12,116,116,,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,請以各校當年度公告為準,
,100302,國立新港藝術高中,公立,嘉義區學校名錄,普通科,,嘉義縣,新港鄉,嘉義縣新港鄉藝高路1號,,(05)3747060,普通科:90,90,90,,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,請以各校當年度公告為準,
,100303,國立嘉科實驗高中,公立,嘉義區學校名錄,普通科,,嘉義縣,朴子市,嘉義縣朴子市嘉朴路西段2號,,(05)2868899,普通科:75；機械科:21,96,96,,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,請以各校當年度公告為準,
,100402,國立民雄農工,公立,嘉義區學校名錄,普通科／專業群科／實用技能學程,,嘉義縣,民雄鄉,嘉義縣民雄鄉文隆村81號,,(05)2267120,汽車科:21；電機科:21；園藝科:10；食品加工科:21,73,73,,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,請以各校當年度公告為準,
,101303,私立同濟高中,私立,嘉義區學校名錄,普通科／進修部,,嘉義縣,大林鎮,嘉義縣大林鎮中興路二段303號,,(05)2652248,普通科(日)；普通科(夜),,,,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）；簡章本區日間部招生名額表未列此校，未填入推測名額,請以各校當年度公告為準,
,101304,私立協同高中,私立,嘉義區學校名錄,普通科,,嘉義縣,民雄鄉,嘉義縣民雄鄉建國路二段31號,,(05)2213045,普通科:104,104,104,,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,請以各校當年度公告為準,
,101406,私立萬能工商,私立,嘉義區學校名錄,專業群科／實用技能學程,,嘉義縣,水上鄉,嘉義縣水上鄉萬能路1號,,(05)2687777,資訊科(日)；餐飲管理科(日)；烘焙科(日)；汽車修護科(日)；水電技術科(日)；餐飲技術科(日)；多媒體技術科(日),,,,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）；簡章本區日間部招生名額表未列此校，未填入推測名額,請以各校當年度公告為準,
,104319,嘉義縣立竹崎高中,公立,嘉義區學校名錄,普通科,,嘉義縣,竹崎鄉,嘉義縣竹崎鄉竹崎村文化路23號,,(05)2611006,普通科:50,50,50,,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,請以各校當年度公告為準,
,104326,嘉義縣立永慶高中,公立,嘉義區學校名錄,普通科,,嘉義縣,太保市,嘉義縣太保市信義二路1號,,(05)3627226,普通科:56,56,56,,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,請以各校當年度公告為準,
,200302,國立嘉義女中,公立,嘉義區學校名錄,普通科,,嘉義市,西區,嘉義市西區垂楊路243號,,(05)2254603,普通科(男):16；普通科(女):454,470,470,,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,請以各校當年度公告為準,
,200303,國立嘉義高中,公立,嘉義區學校名錄,普通科／進修部,,嘉義市,東區,嘉義市東區大雅路二段738號,,(05)2762804,普通科(男):516；普通科(女):15；普通科:128；商業經營科:30；國際貿易科:30；資料處理科:30,749,749,,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,請以各校當年度公告為準,
,200401,國立華南高商,公立,嘉義區學校名錄,普通科／專業群科,,嘉義市,東區,嘉義市東區光彩街69號,,(05)2787140,電子商務科:30；航運管理科:30；應用英語科:30；應用日語科:30；美工科:30；廣告設計科:30；觀光事業科:30,210,210,,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,請以各校當年度公告為準,
,200405,國立嘉義高工,公立,嘉義區學校名錄,普通科／專業群科／進修部／實用技能學程,,嘉義市,東區,嘉義市東區彌陀路174號,,(05)2763060,綜合高中:95；機械科:59；製圖科:29；汽車科:43；電子科:59；電機科:59；電機空調科:29；化工科:59；建築科:29；普通科:128,589,589,,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,請以各校當年度公告為準,
,200406,國立嘉義高商,公立,嘉義區學校名錄,普通科／專業群科,,嘉義市,東區,嘉義市東區中山路7號,,(05)2782421,商業經營科:60；國際貿易科:90；資料處理科:60；應用英語科:25；廣告設計科:60,295,295,,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,請以各校當年度公告為準,
,200407,國立嘉義家職,公立,嘉義區學校名錄,專業群科／進修部／實用技能學程,,嘉義市,東區,嘉義市東區體育路7號,,(05)2259640,食品科:60；幼兒保育科:40；流行服飾科:12；時尚造型科:44；餐飲管理科:60,216,216,,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,請以各校當年度公告為準,
,201304,私立興華高中,私立,嘉義區學校名錄,普通科／專業群科,,嘉義市,東區,嘉義市東區林森東路239號,,(05)2764317,普通科:55；資料處理科:21,76,76,,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,請以各校當年度公告為準,
,201310,私立嘉華高中,私立,嘉義區學校名錄,普通科,,嘉義市,東區,嘉義市東區民權東路45號,,(05)2761716,普通科:44,44,44,,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,請以各校當年度公告為準,
,201312,私立輔仁高中,私立,嘉義區學校名錄,普通科／專業群科,,嘉義市,東區,嘉義市東區吳鳳南路270號,,(05)2281001,普通科:121,121,121,,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,請以各校當年度公告為準,
,201313,私立宏仁高中,私立,嘉義區學校名錄,普通科,,嘉義市,東區,嘉義市東區忠孝路667號,,(05)2322802,普通科:15,15,15,,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,請以各校當年度公告為準,
,201314,私立立仁高中,私立,嘉義區學校名錄,高中職,,嘉義市,東區,嘉義市東區立仁路235號,,(05)2226420,綜合高中:64；資訊科:24；資料處理科:24,112,112,,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,請以各校當年度公告為準,
,201408,私立東吳工家,私立,嘉義區學校名錄,專業群科／進修部／實用技能學程,,嘉義市,東區,嘉義市東區宣信街252號,,(05)2246161,幼兒保育科:24；時尚造型科:19；觀光事業科:43；餐飲管理科:39；表演藝術科:24,149,149,,,115學年度嘉義區免試入學招生名額（使用者提供 PDF；本區日間部一般生名額）,請以各校當年度公告為準,
