學校代碼,學校名稱,學制分類,縣市,區,科系與名額,最低錄取分數,分數年度,分數來源備註,資料性質
060322,國立中興大學附屬高級中學,高中,臺中市,大里區,普通科:454(不限),4A1B10+作文5級分,113,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
060323,國立中科實驗高級中學,高中,臺中市,大雅區,普通科:76(不限),5A4+作文4級分 國A+數A++,113,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
061309,臺中市私立致用高級中學,高中,臺中市,大甲區,普通科:40(不限)；機械科:65(不限)；汽車科:64(不限)；資訊科:80(不限)；資料處理科:40(不限)；餐飲管理科:39(不限)；美容科:63(不限)；照顧服務科(產特):25(不限),4B1C3+,112,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
061313,臺中市私立明道高級中學,高中,臺中市,烏日區,普通科:111(不限)；資訊科:69(不限)；電子科:69(不限)；美工科:44(不限)；商業經營科:128(不限)；廣告設計科:86(不限)；觀光事業科:27(不限)；餐飲管理科:86(不限)；應用英語科:49(不限),3A2B8+ 作 文 4,113,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
061314,臺中市私立僑泰高級中學,高中,臺中市,大里區,普通科:302(不限)；機械科:71(不限)；汽車科:64(不限)；資訊科:32(不限)；電子科:75(不限)；商業經營科:75(不限)；廣告設計科:32(不限)；觀光事業科:32(不限)；餐飲管理科:98(不限)；多媒體設計科:70(不限)；應用英語科:32(不限)；應用日語科:32(不限)；幼兒保育科:31(不限)；美容科:72(不限)；室內設計科:60(不限),83-93 (28-88),110,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
061318,臺中市私立立人高級中學,高中,臺中市,大里區,普通科:660(不限),87-91 (40-73),110,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
061B14,臺中市私立僑泰高級中學進修部,高中,臺中市,大里區,汽車科(夜間班):40(不限)；觀光事業科(夜間班):40(不限)；餐飲管理科(夜間班):80(不限)；美容科(夜間班):80(不限)；流行服飾科(夜間班):40(不限),83-93 (28-88),110,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
063303,臺中市立大甲高級中等學校,高中,臺中市,大甲區,綜合高中:410(不限)；美工科:33(不限),5B2+作文4級分,113,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
063305,臺中市立清水高級中等學校,高中,臺中市,清水區,普通科:452(不限),1A4B6+作文4級分,113,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
063312,臺中市立豐原高級中等學校,高中,臺中市,豐原區,普通科:470(不限),1A4B5+作文4級分,113,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
063407,臺中市立沙鹿工業高級中等學校,技高,臺中市,沙鹿區,機械科:34(不限)；汽車科:68(不限)；資訊科:33(不限)；電子科:33(不限)；化工科:70(不限)；紡織科(產特):70(不限)；染整科(產特):35(不限)；製圖科:33(不限)；資料處理科:35(不限),5B2+,112,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
063C07,臺中市立沙鹿工業高級中等學校進修部,技高,臺中市,沙鹿區,機械科(夜間班):36(不限)；汽車科(夜間班):36(不限)；電子科(夜間班):36(不限)；紡織科(產特)(夜間班):36(不限),5B2+,112,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
064308,臺中市立后綜高級中學,高中,臺中市,后里區,普通科:264(不限),4B1C8+作文3級分,113,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
064324,臺中市立大里高級中學,高中,臺中市,大里區,普通科:188(不限),2A3B4+作文4級分,113,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
