排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,,招生名額,最低錄取分數,分數年度,分數來源備註,資優班/特色班,課程方向,通勤資訊,住宿資訊,生活資料來源,
42,050314,國立卓蘭高級中等學校,公立,中投區免試入學日間部,高中,不限,苗栗縣,卓蘭鎮,苗栗縣卓蘭鎮老庄里161號,https://www.jlsh.mlc.edu.tw,04-25892007#204,普通科:93(不限)；商業經營科:25(不限)；國際貿易科:25(不限)；資料處理科:25(不限)；電子商務科:25(不限)；應用英語科:25(不限)；幼兒保育科:51(不限),,269,,,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,普通科特色班曾規劃科學創思班、卓越人文班、文創閱讀班；各職業類科另依科本位課程發展，實際開班依當年度公告。,依校方科別與課程計畫，重點包含普通／綜高的學科加深加廣、多元選修與生涯探索；工業與資電的專業實習、專題及技術士證照；商業管理、會計、數位應用與電商實務；餐旅、家政與照顧服務的情境實作及證照；應用外語溝通、檢定與職場語言，並銜接升學或就業。,設學生專車；另可從豐原搭208至卓蘭市區，部分班次繞駛卓蘭高中。遠距學生可申請校內宿舍。,有學生宿舍，可申請住宿。,https://www.jlsh.mlc.edu.tw；https://www.jlsh.mlc.edu.tw/p/412-1012-3487.php；https://www.jlsh.mlc.edu.tw/p/403-1012-827-1.php,
43,050315,國立苑裡高級中學,公立,中投區免試入學日間部,高中,不限,苗栗縣,苑裡鎮,苗栗縣苑裡鎮育才街100號,https://www.ylsh.mlc.edu.tw,037-868680#202,普通科:190(不限),,190,,,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,美術班；課程計畫另列普通班與實驗班課程地圖，實際甄選與編班依當年度公告。,依校方科別與課程計畫，重點包含普通／綜高的學科加深加廣、多元選修與生涯探索，並銜接升學或就業。,海線臺鐵苑裡站下車，步行約900公尺、約10分鐘；亦可搭97、616、662、839至國立苑裡高中站。,,https://www.ylsh.mlc.edu.tw；https://www.ylsh.mlc.edu.tw/office/div_200/108course/%E8%AA%B2%E7%A8%8B%E8%A8%88%E7%95%AB%E6%9B%B8/；https://www1.ylsh.mlc.edu.tw/?p=44,
70,050401,國立大湖高級農工職業學校,公立,中投區免試入學日間部,技高,不限,苗栗縣,大湖鄉,苗栗縣大湖鄉大寮村竹高屋68號,https://www.thvs.mlc.edu.tw,037-992216#403,園藝科(產特):4(不限)；食品加工科:4(不限)；機械科:4(不限)；電機科:4(不限)；室內空間設計科:4(不限),,20,,,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,園藝科為產業特殊需求類科；另設實用技能學程與綜合職能科，實際招生科班依年度簡章。,依校方科別與課程計畫，重點包含工業與資電的專業實習、專題及技術士證照；農業、園藝、食品或環境實作；視覺／空間／多媒體／表演創作與作品集、展演，並銜接升學或就業。,有學生交通車，路線含公館、三義銅鑼、竹南造橋、後龍苗栗等線；新生期間亦曾由苗栗火車站開湖農專車。遠距學生可申請宿舍。,有學生宿舍，可申請住宿。,https://www.thvs.mlc.edu.tw；https://www.thvs.mlc.edu.tw/%E6%B9%96%E8%BE%B2%E7%B0%A1%E4%BB%8B/%E5%AD%B8%E6%A0%A1%E7%B0%A1%E5%8F%B2/；https://www.thvs.mlc.edu.tw/2026/08/24/%E3%80%90%E5%85%AC%E5%91%8A%E3%80%91115%E5%AD%B8%E5%B9%B4%E5%BA%A6%E7%AC%AC1%E5%AD%B8%E6%9C%9F%E4%BA%A4%E9%80%9A%E8%BB%8A%E8%B7%AF%E7%B7%9A%E5%8F%8A%E6%99%82%E5%88%BB%E8%A1%A8/；https://www.thvs.mlc.edu.tw/2026/02/03/%E3%80%90%E5%85%AC%E5%91%8A%E3%80%91114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E7%AC%AC2%E5%AD%B8%E6%9C%9F%E4%BD%8F%E5%AE%BF%E5%90%8D%E5%96%AE/,
78,050B14,國立卓蘭高級中等學校進修部,公立,中投區免試入學進修部,高中,不限,苗栗縣,卓蘭鎮,苗栗縣卓蘭鎮老庄里161號,https://www.jlsh.mlc.edu.tw,04-25895645,資料處理科(夜間班):20(不限),,20,,,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,普通科特色班曾規劃科學創思班、卓越人文班、文創閱讀班；各職業類科另依科本位課程發展，實際開班依當年度公告。,依校方科別與課程計畫，重點包含商業管理、會計、數位應用與電商實務，並銜接升學或就業。,設學生專車；另可從豐原搭208至卓蘭市區，部分班次繞駛卓蘭高中。遠距學生可申請校內宿舍。 進修部晚間返程可使用上述公共運輸；請依實際下課時間核對末班車，日校學生專車不一定等同夜間班車。,有學生宿舍，可申請住宿。,https://www.jlsh.mlc.edu.tw；https://www.jlsh.mlc.edu.tw/p/412-1012-3487.php；https://www.jlsh.mlc.edu.tw/p/403-1012-827-1.php,
71,051307,全人學校財團法人苗栗縣全人實驗高級中等學校,私立,中投區免試入學日間部,高中,不限,苗栗縣,卓蘭鎮,苗栗縣卓蘭鎮內灣里內灣141-3號,https://holistic.org.tw,04-25896909、25896910,普通科:5(不限),,5,,,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,實驗教育學校，不以傳統資優班分流；以民主教育、專題式學習、追夢計畫與畢業專題為主要特色。,以學習者自主、民主共治與PBL為核心；國三至高三安排個人專題、團隊專題、民主課程，並以畢業專題呈現學習成果。,位於卓蘭郊山，校方指引由卓蘭鎮到校約15分鐘車程；道路較偏，參訪或到校前應先依官網路線確認。,住宿型實驗學校，學生以住校為主。,https://holistic.org.tw；https://holistic.org.tw/holistic-track/corpus/54-educational-point-of-view/242-the-purpose-of-education-and-the-importance-of-project-based-learning-pbl.html；https://holistic.org.tw/news/administrative/107-where-is-holistic-in-how-to-go.html,
74,051413,苗栗縣私立龍德家事商業職業學校,私立,中投區免試入學日間部,技高,不限,苗栗縣,苑裡鎮,苗栗縣苑裡鎮房裡里南房75之1號,http://www.ldvs.mlc.edu.tw,037-851277#121、122,家具木工科(產特):15(不限),,15,,,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,家具木工科為產業特殊需求類科；本次查閱校方官網未見另設資優班。,依校方科別與課程計畫，重點包含工業與資電的專業實習、專題及技術士證照，並銜接升學或就業。,可搭97於龍德家商(中山路)下車，或181於龍德家商(田心二十四路)下車；97可銜接苑裡、日南、大甲等火車站。,,http://www.ldvs.mlc.edu.tw；https://citybus-free.taichung.gov.tw/driving-map?route=97；https://citybus-free.taichung.gov.tw/driving-map?route=181,
44,054308,苗栗縣立三義高級中學,公立,中投區免試入學日間部,高中,不限,苗栗縣,三義鄉,苗栗縣三義鄉廣盛村11鄰122號,https://sjh.mlc.edu.tw,037-872015#201,普通科:5(不限)；餐飲管理科:5(不限)；多媒體設計科:9(不限),,19,,,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,普通科、餐飲管理科、多媒體設計科並設；校方另有高中課程計畫，固定特色班依當年度公告。,依校方科別與課程計畫，重點包含普通／綜高的學科加深加廣、多元選修與生涯探索；餐旅、家政與照顧服務的情境實作及證照；視覺／空間／多媒體／表演創作與作品集、展演，並銜接升學或就業。,校方公告115學年校車路線；另可依官網學校位置規劃到校，路線與停靠站以當期公告為準。,,https://sjh.mlc.edu.tw；https://sjh.mlc.edu.tw/WebMap/Index.php,
45,054309,苗栗縣立苑裡高級中學,公立,中投區免試入學日間部,高中,不限,苗栗縣,苑裡鎮,苗栗縣苑裡鎮客庄里新興路19號,https://yljh.mlc.edu.tw,037-857042#213,普通科:57(不限)；商業經營科:13(不限)；廣告設計科:13(不限),,83,,,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,高中部設體育班，並推動數理實驗課程班；普通科、商業經營科、廣告設計科多軌發展。,依校方科別與課程計畫，重點包含普通／綜高的學科加深加廣、多元選修與生涯探索；商業管理、會計、數位應用與電商實務；視覺／空間／多媒體／表演創作與作品集、展演，並銜接升學或就業。,臺鐵苑裡站下車，沿為公路、新興路步行約10至15分鐘；也可搭97、616、662、839至國立苑裡高中站，再步行至新興路校區。,,https://yljh.mlc.edu.tw；https://yljh.mlc.edu.tw/WebLink/Page.php?ID=3；https://yljh.mlc.edu.tw/WebLink/Page.php?ID=1128；https://citybus-free.taichung.gov.tw/driving-map?route=839；https://citybus-free.taichung.gov.tw/,
4,060322,國立中興大學附屬高級中學,公立,中投區免試入學日間部,高中,不限,臺中市,大里區,臺中市大里區東榮路369號,https://www.dali.tc.edu.tw,04-24875199#321,普通科:454(不限),,454,4A1B10+作文5級分,113,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,數理資優班、創意科學實驗班；新生特色班級依校方當年度遴選公告辦理。,普通型高中學科加深加廣，搭配專題研究、多元選修、自主學習；數理資優與創意科學實驗班強化探究實作。,可搭39、158至國立興大附中站；53至側門，亦可於仁愛醫院周邊站下車步行。,,https://www.dali.tc.edu.tw；https://www.dali.tc.edu.tw/introduction；https://www.dali.tc.edu.tw/ischool/publish_page/46/?cid=1232,
3,060323,國立中科實驗高級中學,公立,中投區免試入學日間部,高中,不限,臺中市,大雅區,臺中市大雅區平和路227號,https://www.nehs.tc.edu.tw,04-25686850#1220,普通科:76(不限),,76,5A4+作文4級分 國A+數A++,113,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,高中部設數理實驗班；課程以專題研究、小論文、科展與PBL成果發表為特色。,以研究法、PBL、自然領域專題、小論文與科展為重點，並融入雙語與園區科技資源。,可搭45延、45延1至中科實驗高中(平和路)；另可搭6、69、500至忠義里(中科實驗高中)站。,,https://www.nehs.tc.edu.tw；https://www.nehs.tc.edu.tw/%E9%97%9C%E6%96%BC%E4%B8%AD%E7%A7%91%E5%AF%A6%E4%B8%AD/；https://www.nehs.tc.edu.tw/2026/06/30/%E3%80%90%E5%85%AC%E5%91%8A%E3%80%91%E6%9C%AC%E6%A0%A1115%E5%AD%B8%E5%B9%B4%E5%BA%A6%E9%AB%98%E4%B8%AD%E9%83%A8%E5%85%A5%E5%AD%B8%E6%96%B0%E7%94%9F%E7%94%B3%E8%AB%8B%E9%81%B4%E9%81%B8%E6%95%B8/；https://citybus-free.taichung.gov.tw/driving-map?route=5001；https://citybus-free.taichung.gov.tw/,
