排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,最低錄取分數,分數年度,分數來源備註,資優班/特色班,排序分數
,020301,國立蘭陽女中,公立,宜蘭區學校名錄,普通科,,宜蘭縣,宜蘭市,宜蘭縣宜蘭市女中路二段355號,,(03)9333819,普通科(女):424,424,424,,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。；115學年度宜蘭區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,請以各校當年度公告為準,
,020302,國立宜蘭高中,公立,宜蘭區學校名錄,普通科,,宜蘭縣,宜蘭市,宜蘭縣宜蘭市復興路三段8號,,(03)9324153,普通科(男):358；普通科(女):33,391,391,,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。；115學年度宜蘭區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,請以各校當年度公告為準,
,020308,國立羅東高中,公立,宜蘭區學校名錄,普通科,,宜蘭縣,羅東鎮,宜蘭縣羅東鎮公正路324號,,(03)9567645,普通科:386,386,386,,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。；115學年度宜蘭區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,請以各校當年度公告為準,
,020403,國立宜蘭高商,公立,宜蘭區學校名錄,專業群科／進修部／實用技能學程,,宜蘭縣,宜蘭市,宜蘭縣宜蘭市延平路50號,,(03)9384147,國際貿易科:54；資料處理科:89；多媒體設計科:26；應用英語科:29；應用日語科:29；商業經營科:17,244,244,,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。；115學年度宜蘭區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,請以各校當年度公告為準,
,020404,國立羅東高商,公立,宜蘭區學校名錄,專業群科／進修部／實用技能學程,,宜蘭縣,羅東鎮,宜蘭縣羅東鎮中山路四段360號,,(03)9512875,國際貿易科:21；資料處理科:50；餐飲管理科:28；多媒體設計科:20；表演藝術科:15；機械科:28；汽車科:59；資訊科:30；商業經營科:10；資料處理科:10,271,271,,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。；115學年度宜蘭區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,請以各校當年度公告為準,
,020405,國立蘇澳海事,公立,宜蘭區學校名錄,普通科／專業群科／進修部／實用技能學程,,宜蘭縣,蘇澳鎮,宜蘭縣蘇澳鎮蘇港路213號,,(03)9951661,電子科:4；觀光事業科:8；漁業科:3；輪機科:11；水產養殖科:4；航運管理科:6；水產食品科:5；進修部水產食品科:16,57,57,,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。；115學年度宜蘭區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,請以各校當年度公告為準,
,020407,國立羅東高工,公立,宜蘭區學校名錄,專業群科／進修部／實用技能學程,,宜蘭縣,冬山鄉,宜蘭縣冬山鄉廣興路117號,,(03)9514196,電子科:59；電機科:59；建築科:59；製圖科:29；綜合高中:111；資訊科:30；製圖科:11,358,358,,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。；115學年度宜蘭區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,請以各校當年度公告為準,
,020409,國立頭城家商,公立,宜蘭區學校名錄,普通科／專業群科／進修部／實用技能學程,,宜蘭縣,頭城鎮,宜蘭縣頭城鎮新興路111號,,(03)9771131,餐飲管理科:16,16,16,,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。；115學年度宜蘭區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,請以各校當年度公告為準,
,021301,私立慧燈高中,私立,宜蘭區學校名錄,普通科,,宜蘭縣,員山鄉,宜蘭縣員山鄉協進路88號,,(03)9229968,普通科:118,118,118,,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。；115學年度宜蘭區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,請以各校當年度公告為準,
,021310,私立中道高中,私立,宜蘭區學校名錄,普通科,,宜蘭縣,壯圍鄉,宜蘭縣壯圍鄉功勞村中央路三段312巷7號,,(03)9306696,普通科:80；(產特):3；產特:11；(產特):4；(產特):5；綜合高中:96；商業經營科:29,228,228,,,教育部統計處《高級中等學校概況統計》114學年度校別資料；115學年度實際招生名額待該區免試入學委員會公告端點恢復後再寫入。；115學年度宜蘭區免試入學核定招生名額（使用者提供 PDF；一般生招生名額，含科別與性別欄位）,請以各校當年度公告為準,
