排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,最低錄取分數,分數年度,分數來源備註,資優班/特色班,排序分數
,100301,國立東石高級中學,公立,臺南區免試入學日間部,高中,不限,嘉義縣,朴子市,,,,普通科:5(不限)；食品加工科:3(不限)；機械科:4(不限)；汽車科:1(不限),13,13,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,100B01,國立東石高級中學進修部,公立,臺南區免試入學進修部,高中,不限,嘉義縣,朴子市,,,,食品科(夜間班):4(不限),4,4,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,110302,國立新豐高級中學,公立,臺南區免試入學日間部,高中,不限,臺南市,歸仁區,,,,綜合高中:328(不限),328,328,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,110308,國立臺南大學附屬高級中學,公立,臺南區免試入學日間部,高中,不限,臺南市,永康區,,,,普通科:131(不限)；綜合高中:356(不限),487,487,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,110311,國立北門高級中學,公立,臺南區免試入學日間部,高中,不限,臺南市,佳里區,,,,普通科:297(不限),297,297,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,110312,國立新營高級中學,公立,臺南區免試入學日間部,高中,不限,臺南市,新營區,,,,普通科:155(不限)；商業經營科:63(不限)；資料處理科:31(不限)；電子商務科:31(不限)；應用英語科:32(不限),312,312,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,110314,國立後壁高級中學,公立,臺南區免試入學日間部,高中,不限,臺南市,後壁區,,,,普通科:42(不限)；資訊科:24(不限)；電機科:20(不限)；建築科:22(不限)；美工科:48(不限)；室內空間設計科:12(不限)；廣告設計科:18(不限)；多媒體設計科:9(不限),195,195,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,110315,國立善化高級中學,公立,臺南區免試入學日間部,高中,不限,臺南市,善化區,,,,普通科:252(不限),252,252,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,110317,國立新化高級中學,公立,臺南區免試入學日間部,高中,不限,臺南市,新化區,,,,普通科:394(不限),394,394,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,110328,國立南科國際實驗高級中學,公立,臺南區免試入學日間部,高中,不限,臺南市,新市區,,,,普通科:52(不限),52,52,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,110401,國立新化高級工業職業學校,公立,臺南區免試入學日間部,技高,不限,臺南市,新化區,,,,機械科:33(不限)；資訊科:33(不限)；電子科:31(不限)；電機科:32(不限)；建築科:32(不限)；化工科:33(不限)；製圖科:33(不限)；資料處理科:32(不限),259,259,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,110403,國立白河高級商工職業學校,公立,臺南區免試入學日間部,技高,不限,臺南市,白河區,,,,機械科:23(不限)；汽車科:13(不限)；資訊科:18(不限)；電機科:20(不限)；土木科:17(不限)；商業經營科:18(不限)；資料處理科:22(不限),131,131,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,110404,國立北門高級農工職業學校,公立,臺南區免試入學日間部,技高,不限,臺南市,佳里區,,,,食品加工科:32(不限)；造園科:21(不限)；畜產保健科:18(不限)；機械科:54(不限)；電子科:54(不限)；電機科:52(不限)；土木科:41(不限)；電腦機械製圖科:29(不限)；電子商務科:20(不限),321,321,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
