排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,最低錄取分數,分數年度,分數來源備註,資優班/特色班,排序分數
,140302,國立臺東女子高級中學,公立,臺東區免試入學日間部,高中,女生,臺東縣,台東市,,,,綜合高中:264(女生),,264,,,115學年度臺東區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 14:44:32,請以各校當年度公告為準,
,140303,國立臺東高級中學,公立,臺東區免試入學日間部,高中,不限,臺東縣,台東市,,,,原住民藝能班:32(不限)；綜合高中:264(男生),,296,,,115學年度臺東區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 14:44:32,請以各校當年度公告為準,
,140401,國立臺東專科學校附設高職部,公立,臺東區免試入學日間部,技高,不限,臺東縣,台東市,,,,農業機械科:14(不限)；畜產保健科:12(不限)；機械科:24(不限)；汽車科:10(不限)；資訊科:24(不限)；電機科:6(不限)；土木科:21(不限)；室內空間設計科:25(不限)；家政科:14(不限),,150,,,115學年度臺東區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 14:44:32,請以各校當年度公告為準,
,140404,國立關山高級工商職業學校,公立,臺東區免試入學日間部,技高,不限,臺東縣,關山鎮,,,,冷凍空調科:16(不限)；建築科:19(不限)；餐旅群不分科:39(不限)；資料處理科:21(不限)；時尚工藝科:16(不限),,111,,,115學年度臺東區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 14:44:32,請以各校當年度公告為準,
,140405,國立臺東高級商業職業學校,公立,臺東區免試入學日間部,技高,不限,臺東縣,台東市,,,,商業經營科:17(不限)；會計事務科:24(不限)；資料處理科:19(不限)；廣告設計科:32(不限)；觀光事業科:20(不限)；電子商務科:21(不限)；應用英語科:13(不限),,146,,,115學年度臺東區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 14:44:32,請以各校當年度公告為準,
,140408,國立成功商業水產職業學校,公立,臺東區免試入學日間部,技高,不限,臺東縣,成功鎮,,,,綜合高中:104(不限),,104,,,115學年度臺東區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 14:44:32,請以各校當年度公告為準,
,140C01,國立臺東專科學校附設高級農工職業進修學校,公立,臺東區免試入學日間部,技高,不限,臺東縣,台東市,,,,電機科(夜間班):5(不限)；家政科(夜間班):5(不限),,10,,,115學年度臺東區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 14:44:32,請以各校當年度公告為準,
,140C05,國立臺東高級商業職業學校進修部,公立,臺東區免試入學進修部,技高,不限,臺東縣,台東市,,,,商業經營科(夜間班):17(不限)；資料處理科(夜間班):17(不限),,34,,,115學年度臺東區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 14:44:32,請以各校當年度公告為準,
,141301,均一學校財團法人臺東縣均一國際教育實驗高級中等學校,私立,臺東區免試入學日間部,高中,不限,臺東縣,台東市,,,,普通科:8(不限),,8,,,115學年度臺東區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 14:44:32,請以各校當年度公告為準,
,141406,臺東縣私立公東高級工業職業學校,私立,臺東區免試入學日間部,技高,不限,臺東縣,台東市,,,,機械科:34(不限)；電機科:36(不限)；家具木工科:26(不限)；室內空間設計科:31(不限)；時尚造型科:31(不限),,158,,,115學年度臺東區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 14:44:32,請以各校當年度公告為準,
,144322,臺東縣立蘭嶼高級中學,公立,臺東區免試入學日間部,高中,不限,臺東縣,蘭嶼鄉,,,,綜合高中:19(不限),,19,,,115學年度臺東區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 14:44:32,請以各校當年度公告為準,
