排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,最低錄取分數,分數年度,分數來源備註,資優班/特色班,排序分數
1,030305,國立中央大學附屬中壢高中,公立,桃連區日間部,高中,男女兼收,桃園市,中壢區,桃園市中壢區三光路115號,http://www.clhs.tyc.edu.tw,(03)4932181,普通科:612,612,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
2,030403,國立北科大附屬桃園農工,公立,桃連區日間部,技術型高中,男女兼收,桃園市,桃園區,桃園市桃園區成功路二段144號,http://www.tyai.tyc.edu.tw,(03)3333921,機械科:62；模具科:31；生物產業機電科:62；汽車科:52；動力機械科:31；電子科:62；電機科:62；化工科:62；農場經營科:26；園藝科:31；畜產保健科:31；進修部：機械科:24；模具科:24；汽車科:24；電子科:24；電機科:24；化工科:24,512,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
3,720301,國立馬祖高中,公立,桃連區日間部,綜合高中,男女兼收,連江縣,南竿鄉,連江縣南竿鄉介壽村374號,http://www.mssh.matsu.edu.tw,(0836)25668,綜合高中:33,33,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
4,033302,市立龍潭高中,公立,桃連區日間部,技術型高中,男女兼收,桃園市,龍潭區,桃園市龍潭區神龍路155號,http://www.ltsh.tyc.edu.tw/bin/home.php,(03)4792829,普通科:135；機械科:29；電子科:31；電機科:29；園藝科:29；造園科:28；畜產保健科:31；食品加工科:31；進修部：電機科:24；食品加工科:24,343,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
5,033304,市立桃園高中,公立,桃連區日間部,高中,男女兼收,桃園市,桃園區,桃園市桃園區成功路三段38號,http://www.tysh.tyc.edu.tw,(03)3946001,普通科:700,700,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
6,033306,市立武陵高中,公立,桃連區日間部,高中,男女兼收,桃園市,桃園區,桃園市桃園區中山路889號,http://www.wlsh.tyc.edu.tw,(03)3698170,普通科:651,651,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
7,033316,市立楊梅高中,公立,桃連區日間部,高中,男女兼收,桃園市,楊梅區,桃園市楊梅區高獅路5號,http://www.ymhs.tyc.edu.tw/,(03)4789618,普通科:447；資訊科:64；電子科:32,543,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
8,033325,市立陽明高中,公立,桃連區日間部,高中,男女兼收,桃園市,桃園區,桃園市桃園區德壽街8號,http://www.pymhs.tyc.edu.tw,(03)3672706,普通科:649,649,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
9,033327,市立內壢高中,公立,桃連區日間部,高中,男女兼收,桃園市,中壢區,桃園市中壢區成章四街120號,http://www.nlhs.tyc.edu.tw,(03)4528080,普通科:622,622,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
10,033407,市立中壢高商,公立,桃連區日間部,技術型高中,男女兼收,桃園市,中壢區,桃園市中壢區中央西路二段141巷100號,http://www.clvsc.tyc.edu.tw,(03)4929871,綜合高中:138；商業經營科:132；國際貿易科:132；資料處理科:99；多媒體設計科:33；進修部：商業經營科:18；資料處理科:18,534,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
11,033408,市立中壢家商,公立,桃連區日間部,技術型高中,男女兼收,桃園市,中壢區,桃園市中壢區德育路36號,https://www.clvs.tyc.edu.tw/ischool/publish_page/0/,(03)4271627,商業經營科:96；資料處理科:32；應用英語科:32；家政科:64；流行服飾科:64；進修部：服裝科:18,288,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
12,034306,市立南崁高中,公立,桃連區日間部,高中,男女兼收,桃園市,蘆竹區,桃園市蘆竹區仁愛路二段1號,https://www.nksh.tyc.edu.tw/ischool/publish_page/0/,(03)3525580,普通科:384,384,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
13,034312,市立大溪高中,公立,桃連區日間部,高中,男女兼收,桃園市,大溪區,桃園市大溪區康莊路641號,http://www.dssh.tyc.edu.tw,(03)3878628,普通科:350,350,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
14,034314,市立壽山高中,公立,桃連區日間部,技術型高中,男女兼收,桃園市,龜山區,桃園市龜山區大同路23號,http://www.sssh.tyc.edu.tw,(03)3501778,普通科:330；國際貿易科:61；應用英語科:61；廣告設計科:63,515,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
15,034319,市立平鎮高中,公立,桃連區日間部,高中,男女兼收,桃園市,平鎮,桃園市平鎮區環南路三段100號,https://www.pjhs.tyc.edu.tw/,(03)4287288,普通科:455,455,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
16,034332,市立觀音高中,公立,桃連區日間部,高中,男女兼收,桃園市,觀音區,桃園市觀音區新坡里中山路2段519號,http://www.gish.tyc.edu.tw,(03)4981464,普通科:126；化工科:60；多媒體動畫科:56,242,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
17,034335,市立新屋高中,公立,桃連區日間部,高中,男女兼收,桃園市,新屋區,桃園市新屋區中興路111號,https://www.swjh.tyc.edu.tw/,(03)4772029,普通科:143；華德福教育實驗班:25,168,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
