排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,最低錄取分數,分數年度,分數來源備註,資優/特色班,排序分數
1,170404,國立基隆商工,公立,基北區,高中,男女兼收,基隆市,七堵區,基隆市七堵區東新街22號,https://www.klcivs.kl.edu.tw/,(02)24567126,商業經營科:11；國際貿易科:11；資料處理科:11,33,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
2,170301,國立基隆女中,公立,基北區,高中,男女兼收,基隆市,信義區,基隆市信義區東信路324號,http://www.klgsh.kl.edu.tw,(02)24278274,普通科:202,202,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
3,170302,國立基隆高中,公立,基北區,高中,男女兼收,基隆市,暖暖區,基隆市暖暖區源遠路20號,https://www.klsh.kl.edu.tw/,(02)24582052,普通科:134,134,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
4,170403,國立海洋大學附屬基隆海事,公立,基北區,技術型高中,男女兼收,基隆市,中正區,基隆市中正區祥豐街246號,http://www.klms.ntou.edu.tw/,(02)24633655,食品科:8,8,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
5,173304,市立中山高中,公立,基北區,高中,男女兼收,基隆市,中山區,基隆市中山區文化路162號,https://csjh.kl.edu.tw/,(02)24248191,普通科:9,9,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
6,173314,市立八斗高中,公立,基北區,高中,男女兼收,基隆市,中正區,基隆市中正區新豐街100號,https://bdjh.kl.edu.tw/,(02)24692366,普通科:12,12,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
7,173306,市立安樂高中,公立,基北區,高中,男女兼收,基隆市,安樂區,基隆市安樂區安一路360號,https://aljh.kl.edu.tw/,(02)24236600,普通科:24,24,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
8,173307,市立暖暖高中,公立,基北區,高中,男女兼收,基隆市,暖暖區,基隆市暖暖區暖中路112號,https://nnjh.kl.edu.tw/,(02)24575534,普通科:6,6,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
9,171306,私立二信高中,私立,基北區,高中,男女兼收,基隆市,中正區,基隆市中正區立德路243號,https://www.essh.kl.edu.tw/,(02)24623131,普通科:128；機械科:15；電機科:9；商業經營科:10；資料處理科:15,177,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
10,171407,私立培德工家,私立,基北區,高中,男女兼收,基隆市,信義區,基隆市信義區培德路73號,http://www.ptvs.kl.edu.tw,(02)24652121,航海科:18；汽車科:6；餐飲管理科:18,42,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
11,171308,輔大聖心高中,私立,基北區,高中,男女兼收,基隆市,中山區,基隆市中山區西定路166號,http://www.shsh.kl.edu.tw,(02)24282454,廣告設計科:8；普通科:9,17,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
12,20409,國立頭城家商,公立,基北區共同就學區,高中,男女兼收,宜蘭縣,頭城鎮,宜蘭縣頭城鎮新興路111號,http://www.tcvs.ilc.edu.tw,(03)9771131,資料處理科:33；觀光事業科:33；美容科:66；普通科:1,133,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
13,10301,國立華僑高級中等學校,公立,基北區,高中,男女兼收,新北市,板橋區,新北市板橋區大觀路一段32號,http://www.nocsh.ntpc.edu.tw,(02)29684131,綜合高中:224,224,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
14,14357,市立三民高中,公立,基北區,高中,男女兼收,新北市,蘆洲區,新北市蘆洲區三民路96號,http://www.smsh.ntpc.edu.tw,(02)22894675,普通科:290,290,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
15,13430,市立三重商工,公立,基北區,高中,男女兼收,新北市,三重區,新北市三重區中正北路163號,http://www.scvs.ntpc.edu.tw,(02)29715606,建築科:32；機械科:32；板金科:5；模具科:30；製圖科:32；汽車科:32,163,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
